Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1717196234,"2024-05-31 22:57:14",B32C9,CA4182,0,5.5559998,174,116.60726928711,40.057445526123
1717196246,"2024-05-31 22:57:26",B32C9,CA4182,0,3.704,174,116.60702514648,40.057376861572
1717196256,"2024-05-31 22:57:36",B32C9,CA4182,0,3.704,174,116.60694885254,40.057361602783
1717196261,"2024-05-31 22:57:41",B32C9,CA4182,0,3.704,174,116.6068572998,40.057353973389
1717196278,"2024-05-31 22:57:58",B32C9,CA4182,0,5.5559998,174,116.60655212402,40.057319641113
1717196287,"2024-05-31 22:58:07",B32C9,CA4182,0,5.5559998,47,116.60640716553,40.057281494141
1717196292,"2024-05-31 22:58:12",B32C9,CA4182,0,5.5559998,47,116.60632324219,40.057247161865
1717196297,"2024-05-31 22:58:17",B32C9,CA4182,0,5.5559998,47,116.60626220703,40.057224273682
1717196302,"2024-05-31 22:58:22",B32C9,CA4182,0,5.5559998,47,116.60620117188,40.057163238525
1717196307,"2024-05-31 22:58:27",B32C9,CA4182,0,5.5559998,47,116.60615539551,40.057117462158
1717196334,"2024-05-31 22:58:54",B32C9,CA4182,0,0,47,116.60609436035,40.05704498291
1717196380,"2024-05-31 22:59:40",B32C9,CA4182,0,0,47,116.60609436035,40.05704498291
1717196390,"2024-05-31 22:59:50",B32C9,CA4182,0,0,47,116.60609436035,40.05704498291
1717196395,"2024-05-31 22:59:55",B32C9,CA4182,0,0,47,116.60609436035,40.057048797607
1717196415,"2024-05-31 23:00:15",B32C9,CA4182,0,0,47,116.60609436035,40.05704498291
1717196425,"2024-05-31 23:00:25",B32C9,CA4182,0,0,47,116.60609436035,40.05704498291
1717196435,"2024-05-31 23:00:35",B32C9,CA4182,0,0,47,116.60609436035,40.057048797607
1717196447,"2024-05-31 23:00:47",B32C9,CA4182,0,0,47,116.60607910156,40.05712890625
1717196452,"2024-05-31 23:00:52",B32C9,CA4182,0,7.408,47,116.60606384277,40.057224273682
1717196457,"2024-05-31 23:00:57",B32C9,CA4182,0,9.26,47,116.60604858398,40.057327270508
1717196462,"2024-05-31 23:01:02",B32C9,CA4182,0,11.112,47,116.6060333252,40.057468414307
1717196467,"2024-05-31 23:01:07",B32C9,CA4182,0,12.964,47,116.60600280762,40.0576171875
1717196471,"2024-05-31 23:01:11",B32C9,CA4182,0,12.964,47,116.60598754883,40.057769775391
1717196476,"2024-05-31 23:01:16",B32C9,CA4182,0,14.816,47,116.60594940186,40.057956695557
1717196489,"2024-05-31 23:01:29",B32C9,CA4182,0,16.668,47,116.60586547852,40.058498382568
1717196506,"2024-05-31 23:01:46",B32C9,CA4182,0,20.372,47,116.60578155518,40.059085845947
1717196524,"2024-05-31 23:02:04",B32C9,CA4182,0,24.076,47,116.60562133789,40.060085296631
1717196536,"2024-05-31 23:02:16",B32C9,CA4182,0,22.224,354,116.60548400879,40.060924530029
1717196567,"2024-05-31 23:02:47",B32C9,CA4182,0,14.816,354,116.60582733154,40.062076568604
1717196572,"2024-05-31 23:02:52",B32C9,CA4182,0,14.816,354,116.60604858398,40.062088012695
1717196582,"2024-05-31 23:03:02",B32C9,CA4182,0,18.52,354,116.60662841797,40.062126159668
1717196587,"2024-05-31 23:03:07",B32C9,CA4182,0,20.372,354,116.60693359375,40.062160491943
1717196592,"2024-05-31 23:03:12",B32C9,CA4182,0,22.224,354,116.60730743408,40.062191009521
1717196602,"2024-05-31 23:03:22",B32C9,CA4182,0,20.372,354,116.60790252686,40.062252044678
1717196997,"2024-05-31 23:09:57",B32C9,CA4182,0,59.264,354,116.6173248291,40.060878753662
1717197026,"2024-05-31 23:10:26",B32C9,CA4182,15.24,288.912,353,116.61517333984,40.074783325195
1717197041,"2024-05-31 23:10:41",B32C9,CA4182,144.78,307.432,352,116.61284637451,40.087188720703
1717197056,"2024-05-31 23:10:56",B32C9,CA4182,350.52,305.58,354,116.6107635498,40.098888397217
1717197671,"2024-05-31 23:21:11",B32C9,CA4182,6690.36,757.468,239,115.79138183594,39.919101715088
1717197686,"2024-05-31 23:21:26",B32C9,CA4182,6819.9,766.728,239,115.75982666016,39.904678344727
1717197701,"2024-05-31 23:21:41",B32C9,CA4182,6957.06,774.136,240,115.72808837891,39.890148162842
1717197716,"2024-05-31 23:21:56",B32C9,CA4182,7117.08,775.988,239,115.6953125,39.875160217285
1717197732,"2024-05-31 23:22:12",B32C9,CA4182,7330.44,768.58,239,115.6632232666,39.860366821289
1717197746,"2024-05-31 23:22:26",B32C9,CA4182,7574.28,755.616,239,115.63062286377,39.845306396484
1717197761,"2024-05-31 23:22:41",B32C9,CA4182,7757.16,750.06,240,115.59991455078,39.831211090088
1717197776,"2024-05-31 23:22:56",B32C9,CA4182,7871.46,757.468,239,115.56846618652,39.816879272461
1717197791,"2024-05-31 23:23:11",B32C9,CA4182,7993.38,763.024,239,115.53723907471,39.802505493164
1717197806,"2024-05-31 23:23:26",B32C9,CA4182,8161.02,757.468,239,115.50547790527,39.787902832031
1717197817,"2024-05-31 23:23:37",B32C9,CA4182,8267.7,755.616,239,115.48364257812,39.777770996094
1717197831,"2024-05-31 23:23:51",B32C9,CA4182,8404.86,751.912,240,115.45281982422,39.763710021973
1717197846,"2024-05-31 23:24:06",B32C9,CA4182,8496.3,750.06,243,115.41998291016,39.750259399414
1717197861,"2024-05-31 23:24:21",B32C9,CA4182,8572.5,757.468,243,115.38732910156,39.737548828125
1717197876,"2024-05-31 23:24:36",B32C9,CA4182,8648.7,763.024,243,115.35479736328,39.724655151367
1717197892,"2024-05-31 23:24:52",B32C9,CA4182,8724.9,768.58,243,115.32223510742,39.711776733398
1717197907,"2024-05-31 23:25:07",B32C9,CA4182,8793.48,774.136,243,115.28887939453,39.698539733887
1717197921,"2024-05-31 23:25:21",B32C9,CA4182,8869.68,770.432,243,115.2548828125,39.684906005859
1717197936,"2024-05-31 23:25:36",B32C9,CA4182,8945.88,766.728,243,115.22228240967,39.671905517578
1717197951,"2024-05-31 23:25:51",B32C9,CA4182,9022.08,764.876,243,115.18848419189,39.658493041992
1717197966,"2024-05-31 23:26:06",B32C9,CA4182,9098.28,755.616,243,115.1533203125,39.644439697266
1717197981,"2024-05-31 23:26:21",B32C9,CA4182,9174.48,750.06,243,115.1213760376,39.63166809082
1717198001,"2024-05-31 23:26:41",B32C9,CA4182,9265.92,744.504,243,115.08763885498,39.618209838867
1717198016,"2024-05-31 23:26:56",B32C9,CA4182,9342.12,738.948,243,115.05584716797,39.605571746826
1717198031,"2024-05-31 23:27:11",B32C9,CA4182,9425.94,738.948,243,115.02282714844,39.592399597168
1717198042,"2024-05-31 23:27:22",B32C9,CA4182,9479.28,738.948,243,115.00261688232,39.584251403809
1717198057,"2024-05-31 23:27:37",B32C9,CA4182,9547.86,735.244,243,114.96714782715,39.570053100586
1717198071,"2024-05-31 23:27:51",B32C9,CA4182,9624.06,733.392,243,114.93688964844,39.557949066162
1717198086,"2024-05-31 23:28:06",B32C9,CA4182,9707.88,731.54,243,114.90368652344,39.544635772705
1717198101,"2024-05-31 23:28:21",B32C9,CA4182,9768.84,733.392,243,114.87232971191,39.53205871582
1717198116,"2024-05-31 23:28:36",B32C9,CA4182,9784.08,733.392,242,114.83882904053,39.518600463867
1717198132,"2024-05-31 23:28:52",B32C9,CA4182,9784.08,733.392,242,114.80590820312,39.505344390869
1717198146,"2024-05-31 23:29:06",B32C9,CA4182,9784.08,737.096,242,114.77596282959,39.493194580078
1717198157,"2024-05-31 23:29:17",B32C9,CA4182,9784.08,737.096,242,114.75243377686,39.483627319336
1717198171,"2024-05-31 23:29:31",B32C9,CA4182,9784.08,737.096,243,114.72961425781,39.474388122559
1717198182,"2024-05-31 23:29:42",B32C9,CA4182,9784.08,737.096,243,114.70843505859,39.465915679932
1717198196,"2024-05-31 23:29:56",B32C9,CA4182,9784.08,740.8,243,114.67696380615,39.453231811523
1717198211,"2024-05-31 23:30:11",B32C9,CA4182,9784.08,738.948,243,114.64520263672,39.440452575684
1717198226,"2024-05-31 23:30:26",B32C9,CA4182,9784.08,738.948,242,114.61083984375,39.426486968994
1717198241,"2024-05-31 23:30:41",B32C9,CA4182,9784.08,738.948,242,114.58000183105,39.413864135742
1717198256,"2024-05-31 23:30:56",B32C9,CA4182,9784.08,737.096,242,114.54736328125,39.40055847168
1717198271,"2024-05-31 23:31:11",B32C9,CA4182,9784.08,738.948,242,114.51658630371,39.388046264648
1717198286,"2024-05-31 23:31:26",B32C9,CA4182,9784.08,740.8,242,114.48076629639,39.373489379883
1717198301,"2024-05-31 23:31:41",B32C9,CA4182,9784.08,740.8,242,114.44750976562,39.359939575195
1717198316,"2024-05-31 23:31:56",B32C9,CA4182,9791.7,738.948,242,114.41552734375,39.346836090088
1717198331,"2024-05-31 23:32:11",B32C9,CA4182,9791.7,738.948,242,114.38330078125,39.333614349365
1717198347,"2024-05-31 23:32:27",B32C9,CA4182,9791.7,738.948,242,114.35076904297,39.320255279541
1717198361,"2024-05-31 23:32:41",B32C9,CA4182,9791.7,740.8,242,114.32062530518,39.30793762207
1717198372,"2024-05-31 23:32:52",B32C9,CA4182,9791.7,738.948,242,114.29960632324,39.299331665039
1717198391,"2024-05-31 23:33:11",B32C9,CA4182,9784.08,740.8,242,114.26513671875,39.285152435303
1717198406,"2024-05-31 23:33:26",B32C9,CA4182,9784.08,750.06,236,114.23512268066,39.270858764648
1717198421,"2024-05-31 23:33:41",B32C9,CA4182,9784.08,763.024,230,114.20593261719,39.253406524658
1717198436,"2024-05-31 23:33:56",B32C9,CA4182,9784.08,775.988,224,114.17822265625,39.232688903809
1717198451,"2024-05-31 23:34:11",B32C9,CA4182,9784.08,790.804,217,114.15386962891,39.209880828857
1717198466,"2024-05-31 23:34:26",B32C9,CA4182,9784.08,807.472,210,114.1301574707,39.181182861328
1717198481,"2024-05-31 23:34:41",B32C9,CA4182,9791.7,818.584,203,114.11200714111,39.151290893555
1717198496,"2024-05-31 23:34:56",B32C9,CA4182,9784.08,827.844,196,114.09973144531,39.122688293457
1717198507,"2024-05-31 23:35:07",B32C9,CA4182,9784.08,825.992,195,114.09246826172,39.101970672607
1717198521,"2024-05-31 23:35:21",B32C9,CA4182,9784.08,825.992,196,114.08203125,39.072875976562
1717198532,"2024-05-31 23:35:32",B32C9,CA4182,9784.08,829.696,196,114.07482910156,39.053184509277
1717198546,"2024-05-31 23:35:46",B32C9,CA4182,9784.08,829.696,196,114.06365966797,39.022228240967
1717198561,"2024-05-31 23:36:01",B32C9,CA4182,9784.08,829.696,195,114.05307006836,38.992630004883
1717198572,"2024-05-31 23:36:12",B32C9,CA4182,9784.08,829.696,196,114.04614257812,38.973068237305
1717198586,"2024-05-31 23:36:26",B32C9,CA4182,9784.08,827.844,196,114.03527832031,38.942501068115
1717198602,"2024-05-31 23:36:42",B32C9,CA4182,9784.08,829.696,195,114.02490234375,38.913200378418
1717198616,"2024-05-31 23:36:56",B32C9,CA4182,9784.08,831.548,195,114.01428222656,38.883453369141
1717198631,"2024-05-31 23:37:11",B32C9,CA4182,9784.08,833.4,195,114.00357818604,38.853103637695
1717198646,"2024-05-31 23:37:26",B32C9,CA4182,9784.08,837.104,196,113.99258422852,38.822067260742
1717198661,"2024-05-31 23:37:41",B32C9,CA4182,9784.08,837.104,196,113.98229980469,38.792770385742
1717198676,"2024-05-31 23:37:56",B32C9,CA4182,9784.08,838.956,195,113.97106933594,38.760883331299
1717198687,"2024-05-31 23:38:07",B32C9,CA4182,9784.08,840.808,195,113.96429443359,38.74165725708
1717198701,"2024-05-31 23:38:21",B32C9,CA4182,9784.08,844.512,195,113.95342254639,38.710922241211
1717198716,"2024-05-31 23:38:36",B32C9,CA4182,9784.08,840.808,195,113.94303131104,38.681579589844
1717198731,"2024-05-31 23:38:51",B32C9,CA4182,9784.08,844.512,195,113.93231201172,38.651020050049
1717198746,"2024-05-31 23:39:06",B32C9,CA4182,9784.08,846.364,195,113.92144775391,38.620388031006
1717198761,"2024-05-31 23:39:21",B32C9,CA4182,9784.08,848.216,195,113.91027832031,38.588733673096
1717198776,"2024-05-31 23:39:36",B32C9,CA4182,9784.08,853.772,195,113.8994140625,38.558006286621
1717198787,"2024-05-31 23:39:47",B32C9,CA4182,9784.08,859.328,195,113.89221191406,38.537479400635
1717198801,"2024-05-31 23:40:01",B32C9,CA4182,9784.08,861.18,196,113.88159179688,38.507080078125
1717198816,"2024-05-31 23:40:16",B32C9,CA4182,9784.08,866.736,195,113.87066650391,38.476028442383
1717198831,"2024-05-31 23:40:31",B32C9,CA4182,9784.08,863.032,196,113.85980224609,38.445117950439
1717198846,"2024-05-31 23:40:46",B32C9,CA4182,9784.08,842.66,203,113.84594726562,38.414581298828
1717198861,"2024-05-31 23:41:01",B32C9,CA4182,9784.08,818.584,210,113.82759094238,38.386600494385
1717198881,"2024-05-31 23:41:21",B32C9,CA4182,9784.08,800.064,217,113.80367279053,38.35969543457
1717198897,"2024-05-31 23:41:37",B32C9,CA4182,9784.08,775.988,225,113.77926635742,38.338668823242
1717198911,"2024-05-31 23:41:51",B32C9,CA4182,9784.08,755.616,233,113.75202941895,38.320266723633
1717198926,"2024-05-31 23:42:06",B32C9,CA4182,9784.08,740.8,238,113.72210693359,38.304470062256
1717198941,"2024-05-31 23:42:21",B32C9,CA4182,9784.08,725.984,244,113.68956756592,38.291076660156
1717198956,"2024-05-31 23:42:36",B32C9,CA4182,9784.08,727.836,244,113.65899658203,38.279392242432
1717198971,"2024-05-31 23:42:51",B32C9,CA4182,9784.08,733.392,244,113.62773132324,38.267261505127
1717198986,"2024-05-31 23:43:06",B32C9,CA4182,9784.08,737.096,244,113.59594726562,38.254951477051
1717199001,"2024-05-31 23:43:21",B32C9,CA4182,9784.08,737.096,244,113.56455993652,38.242858886719
1717199014,"2024-05-31 23:43:34",B32C9,CA4182,9784.08,733.392,244,113.54405212402,38.234985351562
1717199026,"2024-05-31 23:43:46",B32C9,CA4182,9784.08,727.836,245,113.51235198975,38.222877502441
1717199041,"2024-05-31 23:44:01",B32C9,CA4182,9784.08,724.132,244,113.4813079834,38.211055755615
1717199056,"2024-05-31 23:44:16",B32C9,CA4182,9784.08,727.836,244,113.45001983643,38.199138641357
1717199071,"2024-05-31 23:44:31",B32C9,CA4182,9784.08,727.836,245,113.41855621338,38.187171936035
1717199086,"2024-05-31 23:44:46",B32C9,CA4182,9784.08,725.984,244,113.3883972168,38.175628662109
1717199101,"2024-05-31 23:45:01",B32C9,CA4182,9784.08,727.836,244,113.35765075684,38.163898468018
1717199117,"2024-05-31 23:45:17",B32C9,CA4182,9784.08,727.836,245,113.32480621338,38.151561737061
1717199131,"2024-05-31 23:45:31",B32C9,CA4182,9784.08,725.984,246,113.29531097412,38.14070892334
1717199146,"2024-05-31 23:45:46",B32C9,CA4182,9784.08,722.28,245,113.26396179199,38.129100799561
1717199161,"2024-05-31 23:46:01",B32C9,CA4182,9784.08,720.428,245,113.23310089111,38.117610931396
1717199176,"2024-05-31 23:46:16",B32C9,CA4182,9784.08,720.428,245,113.20217132568,38.106079101562
1717199191,"2024-05-31 23:46:31",B32C9,CA4182,9784.08,720.428,245,113.17110443115,38.094497680664
1717199206,"2024-05-31 23:46:46",B32C9,CA4182,9784.08,716.724,245,113.14037322998,38.082988739014
1717199221,"2024-05-31 23:47:01",B32C9,CA4182,9784.08,714.872,245,113.108253479,38.070980072021
1717199236,"2024-05-31 23:47:16",B32C9,CA4182,9784.08,716.724,245,113.07794952393,38.059619903564
1717199251,"2024-05-31 23:47:31",B32C9,CA4182,9784.08,716.724,245,113.04773712158,38.048221588135
1717199266,"2024-05-31 23:47:46",B32C9,CA4182,9784.08,714.872,245,113.01713562012,38.036716461182
1717199281,"2024-05-31 23:48:01",B32C9,CA4182,9784.08,718.576,245,112.98632049561,38.025123596191
1717199296,"2024-05-31 23:48:16",B32C9,CA4182,9784.08,720.428,245,112.95539855957,38.013439178467
