Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1720049452,"2024-07-03 23:30:52",B6115,TV6219,0,3.704,143,116.60762023926,40.078525543213
1720049457,"2024-07-03 23:30:57",B6115,TV6219,0,3.704,143,116.6075592041,40.078578948975
1720049462,"2024-07-03 23:31:02",B6115,TV6219,0,3.704,143,116.60751342773,40.078628540039
1720049467,"2024-07-03 23:31:07",B6115,TV6219,0,5.5559998,143,116.60748291016,40.078685760498
1720049479,"2024-07-03 23:31:19",B6115,TV6219,0,3.704,137,116.60737609863,40.078811645508
1720049484,"2024-07-03 23:31:24",B6115,TV6219,0,3.704,129,116.60732269287,40.078857421875
1720049494,"2024-07-03 23:31:34",B6115,TV6219,0,1.852,120,116.60726165771,40.078941345215
1720049507,"2024-07-03 23:31:47",B6115,TV6219,0,3.704,120,116.60710144043,40.079029083252
1720049521,"2024-07-03 23:32:01",B6115,TV6219,0,3.704,112,116.60684204102,40.079090118408
1720049530,"2024-07-03 23:32:10",B6115,TV6219,0,3.704,112,116.60678100586,40.079109191895
1720049532,"2024-07-03 23:32:12",B6115,TV6219,0,5.5559998,120,116.60668945312,40.079124450684
1720049537,"2024-07-03 23:32:17",B6115,TV6219,0,3.704,123,116.60662078857,40.079139709473
1720049546,"2024-07-03 23:32:26",B6115,TV6219,0,3.704,123,116.60653686523,40.079166412354
1720049575,"2024-07-03 23:32:55",B6115,TV6219,0,3.704,163,116.60618591309,40.079357147217
1720049587,"2024-07-03 23:33:07",B6115,TV6219,0,3.704,163,116.60614013672,40.079452514648
1720049601,"2024-07-03 23:33:21",B6115,TV6219,0,0,174,116.60609436035,40.079509735107
1720049720,"2024-07-03 23:35:20",B6115,TV6219,0,1.852,174,116.60612487793,40.079395294189
1720049732,"2024-07-03 23:35:32",B6115,TV6219,0,7.408,163,116.60618591309,40.079246520996
1720049736,"2024-07-03 23:35:36",B6115,TV6219,0,9.26,163,116.6063079834,40.07914352417
1720049741,"2024-07-03 23:35:41",B6115,TV6219,0,9.26,163,116.60643768311,40.079090118408
1720049749,"2024-07-03 23:35:49",B6115,TV6219,0,9.26,109,116.60668945312,40.079090118408
1720049757,"2024-07-03 23:35:57",B6115,TV6219,0,11.112,109,116.60691833496,40.079212188721
1720049772,"2024-07-03 23:36:12",B6115,TV6219,0,14.816,53,116.60736083984,40.079498291016
1720049781,"2024-07-03 23:36:21",B6115,TV6219,0,16.668,53,116.6076965332,40.079704284668
1720049791,"2024-07-03 23:36:31",B6115,TV6219,0,20.372,53,116.60802459717,40.079895019531
1720049802,"2024-07-03 23:36:42",B6115,TV6219,0,18.52,53,116.60877990723,40.080322265625
1720049814,"2024-07-03 23:36:54",B6115,TV6219,0,20.372,53,116.6095123291,40.08073425293
1720049819,"2024-07-03 23:36:59",B6115,TV6219,0,14.816,53,116.60972595215,40.080837249756
1720049829,"2024-07-03 23:37:09",B6115,TV6219,0,14.816,53,116.61000823975,40.080883026123
