Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1719357469,"2024-06-25 23:17:49",B326C,ZH4358,0,29.632,264,116.60768127441,40.063098907471
1719357478,"2024-06-25 23:17:58",B326C,ZH4358,0,37.04,264,116.6067199707,40.063007354736
1719357491,"2024-06-25 23:18:11",B326C,ZH4358,0,37.04,264,116.60552978516,40.062900543213
1719357504,"2024-06-25 23:18:24",B326C,ZH4358,0,22.224,264,116.60415649414,40.062774658203
1719357509,"2024-06-25 23:18:29",B326C,ZH4358,0,18.52,264,116.60383605957,40.062744140625
1719357514,"2024-06-25 23:18:34",B326C,ZH4358,0,20.372,264,116.60346984863,40.06270980835
1719357519,"2024-06-25 23:18:39",B326C,ZH4358,0,20.372,264,116.60319519043,40.062686920166
1719357524,"2024-06-25 23:18:44",B326C,ZH4358,0,22.224,264,116.60284423828,40.062652587891
1719357531,"2024-06-25 23:18:51",B326C,ZH4358,0,22.224,264,116.6024017334,40.062618255615
1719357536,"2024-06-25 23:18:56",B326C,ZH4358,0,22.224,264,116.60202026367,40.062576293945
1719357541,"2024-06-25 23:19:01",B326C,ZH4358,0,16.668,261,116.60160827637,40.062469482422
1719357550,"2024-06-25 23:19:10",B326C,ZH4358,0,18.52,233,116.60145568848,40.062099456787
1719357565,"2024-06-25 23:19:25",B326C,ZH4358,0,22.224,174,116.60158538818,40.061309814453
1719357570,"2024-06-25 23:19:30",B326C,ZH4358,0,24.076,174,116.60163879395,40.061004638672
1719357575,"2024-06-25 23:19:35",B326C,ZH4358,0,24.076,174,116.60167694092,40.06071472168
1719357580,"2024-06-25 23:19:40",B326C,ZH4358,0,22.224,174,116.60173034668,40.060443878174
1719357594,"2024-06-25 23:19:54",B326C,ZH4358,0,18.52,174,116.6018371582,40.05978012085
1719357600,"2024-06-25 23:20:00",B326C,ZH4358,0,16.668,174,116.60186767578,40.059574127197
1719357604,"2024-06-25 23:20:04",B326C,ZH4358,0,14.816,174,116.60189819336,40.059379577637
1719357614,"2024-06-25 23:20:14",B326C,ZH4358,0,16.668,174,116.60194396973,40.059001922607
1719357619,"2024-06-25 23:20:19",B326C,ZH4358,0,14.816,174,116.60198974609,40.058769226074
1719357629,"2024-06-25 23:20:29",B326C,ZH4358,0,12.964,174,116.60202026367,40.058513641357
1719357634,"2024-06-25 23:20:34",B326C,ZH4358,0,9.26,174,116.60205078125,40.058353424072
1719357639,"2024-06-25 23:20:39",B326C,ZH4358,0,11.112,174,116.60206604004,40.058223724365
1719357644,"2024-06-25 23:20:44",B326C,ZH4358,0,11.112,174,116.60209655762,40.058082580566
1719357649,"2024-06-25 23:20:49",B326C,ZH4358,0,7.408,174,116.60211181641,40.057991027832
1719357654,"2024-06-25 23:20:54",B326C,ZH4358,0,1.852,174,116.60211181641,40.057956695557
1719357659,"2024-06-25 23:20:59",B326C,ZH4358,0,0,174,116.60211181641,40.057956695557
1719357664,"2024-06-25 23:21:04",B326C,ZH4358,0,0,174,116.60211181641,40.057956695557
1719357669,"2024-06-25 23:21:09",B326C,ZH4358,0,0,174,116.60211181641,40.057956695557
1719357684,"2024-06-25 23:21:24",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357694,"2024-06-25 23:21:34",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357699,"2024-06-25 23:21:39",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357709,"2024-06-25 23:21:49",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357719,"2024-06-25 23:21:59",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357729,"2024-06-25 23:22:09",B326C,ZH4358,0,0,174,116.60211181641,40.057960510254
1719357734,"2024-06-25 23:22:14",B326C,ZH4358,0,0,174,116.60211181641,40.057926177979
1719357750,"2024-06-25 23:22:30",B326C,ZH4358,0,9.26,174,116.60217285156,40.0576171875
1719357760,"2024-06-25 23:22:40",B326C,ZH4358,0,12.964,174,116.60218811035,40.057422637939
1719357765,"2024-06-25 23:22:45",B326C,ZH4358,0,11.112,174,116.60214233398,40.057292938232
1719357786,"2024-06-25 23:23:06",B326C,ZH4358,0,0,174,116.60163116455,40.057163238525
1719358011,"2024-06-25 23:26:51",B326C,ZH4358,0,9.26,258,116.60137939453,40.057140350342
1719358093,"2024-06-25 23:28:13",B326C,ZH4358,45.72,222.24,353,116.59832763672,40.067001342773
1719358113,"2024-06-25 23:28:33",B326C,ZH4358,83.82,331.508,353,116.59588623047,40.082336425781
1719358128,"2024-06-25 23:28:48",B326C,ZH4358,281.94,316.692,352,116.59371948242,40.093948364258
1719358143,"2024-06-25 23:29:03",B326C,ZH4358,464.82,320.396,353,116.59159851074,40.105869293213
1719358158,"2024-06-25 23:29:18",B326C,ZH4358,632.46,325.952,353,116.58966064453,40.117740631104
1719358173,"2024-06-25 23:29:33",B326C,ZH4358,822.96,324.1,354,116.58766174316,40.130168914795
1719358188,"2024-06-25 23:29:48",B326C,ZH4358,1005.84,325.952,354,116.58581542969,40.142028808594
1719358203,"2024-06-25 23:30:03",B326C,ZH4358,1120.14,361.14,353,116.58367919922,40.155029296875
1719358218,"2024-06-25 23:30:18",B326C,ZH4358,1242.06,396.328,353,116.58135986328,40.169269561768
1719358233,"2024-06-25 23:30:33",B326C,ZH4358,1348.74,440.776,353,116.57867431641,40.185699462891
1719358248,"2024-06-25 23:30:48",B326C,ZH4358,1478.28,479.668,353,116.57580566406,40.202976226807
1719358263,"2024-06-25 23:31:03",B326C,ZH4358,1623.06,513.004,353,116.57280731201,40.220989227295
1719358278,"2024-06-25 23:31:18",B326C,ZH4358,1844.04,514.856,336,116.56591796875,40.239944458008
1719358293,"2024-06-25 23:31:33",B326C,ZH4358,2011.68,511.152,308,116.54974365234,40.254364013672
1719358308,"2024-06-25 23:31:48",B326C,ZH4358,2095.5,509.3,279,116.52655029297,40.260589599609
1719358323,"2024-06-25 23:32:03",B326C,ZH4358,2247.9,501.892,249,116.50296020508,40.257160186768
1719358338,"2024-06-25 23:32:18",B326C,ZH4358,2468.88,507.448,238,116.48191833496,40.247581481934
1719358353,"2024-06-25 23:32:33",B326C,ZH4358,2667,525.968,240,116.45944976807,40.237289428711
1719358368,"2024-06-25 23:32:48",B326C,ZH4358,2880.36,537.08,240,116.43737792969,40.227401733398
