Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718676320,"2024-06-18 02:05:20",B6845,3U8734,91.44,216.684,195,113.28968811035,23.399850845337
1718676335,"2024-06-18 02:05:35",B6845,3U8734,76.2,324.1,194,113.28701782227,23.389980316162
1718676350,"2024-06-18 02:05:50",B6845,3U8734,266.7,333.36,195,113.28386688232,23.378269195557
1718676365,"2024-06-18 02:06:05",B6845,3U8734,518.16,325.952,199,113.28032684326,23.366380691528
1718676380,"2024-06-18 02:06:20",B6845,3U8734,754.38,318.544,209,113.27417755127,23.355350494385
1718676392,"2024-06-18 02:06:32",B6845,3U8734,853.44,314.84,210,113.26973724365,23.348009109497
1718676405,"2024-06-18 02:06:45",B6845,3U8734,998.22,316.692,209,113.26374816895,23.337980270386
1718676420,"2024-06-18 02:07:00",B6845,3U8734,1097.28,333.36,210,113.25733947754,23.327280044556
1718676435,"2024-06-18 02:07:15",B6845,3U8734,1219.2,346.324,224,113.24904632568,23.316900253296
1718676450,"2024-06-18 02:07:30",B6845,3U8734,1379.22,351.88,250,113.23667907715,23.310419082642
1718676465,"2024-06-18 02:07:45",B6845,3U8734,1531.62,370.4,282,113.22200012207,23.310060501099
1718676480,"2024-06-18 02:08:00",B6845,3U8734,1668.78,390.772,309,113.20851898193,23.316789627075
1718676495,"2024-06-18 02:08:15",B6845,3U8734,1828.8,394.476,313,113.19597625732,23.326810836792
1718676510,"2024-06-18 02:08:30",B6845,3U8734,1973.58,396.328,312,113.18444824219,23.336469650269
1718676525,"2024-06-18 02:08:45",B6845,3U8734,2103.12,400.032,326,113.17346191406,23.347639083862
1718676540,"2024-06-18 02:09:00",B6845,3U8734,2164.08,409.292,345,113.16761779785,23.361970901489
1718676555,"2024-06-18 02:09:15",B6845,3U8734,2164.08,412.996,347,113.16332244873,23.377759933472
1718676570,"2024-06-18 02:09:30",B6845,3U8734,2263.14,418.552,347,113.15957641602,23.392459869385
1718676585,"2024-06-18 02:09:45",B6845,3U8734,2354.58,440.776,348,113.15547180176,23.408470153809
1718676600,"2024-06-18 02:10:00",B6845,3U8734,2430.78,466.704,347,113.15119171143,23.424806594849
1718676615,"2024-06-18 02:10:15",B6845,3U8734,2506.98,498.188,347,113.14650726318,23.442680358887
1718676630,"2024-06-18 02:10:30",B6845,3U8734,2590.8,524.116,345,113.14119720459,23.46190071106
1718676645,"2024-06-18 02:10:45",B6845,3U8734,2705.1,531.524,320,113.13041687012,23.478879928589
1718676660,"2024-06-18 02:11:00",B6845,3U8734,2903.22,518.56,302,113.11348724365,23.490140914917
1718676675,"2024-06-18 02:11:15",B6845,3U8734,3078.48,520.412,300,113.09510803223,23.499620437622
1718676690,"2024-06-18 02:11:30",B6845,3U8734,3185.16,538.932,300,113.07582092285,23.509490966797
1718676705,"2024-06-18 02:11:45",B6845,3U8734,3345.18,546.34,300,113.05641174316,23.519529342651
1718676720,"2024-06-18 02:12:00",B6845,3U8734,3497.58,555.6,300,113.03688049316,23.529649734497
1718676731,"2024-06-18 02:12:11",B6845,3U8734,3604.26,559.304,300,113.02382659912,23.536390304565
1718676745,"2024-06-18 02:12:25",B6845,3U8734,3756.66,563.008,300,113.00360870361,23.546869277954
1718676760,"2024-06-18 02:12:40",B6845,3U8734,3901.44,572.268,300,112.98303985596,23.557479858398
1718676775,"2024-06-18 02:12:55",B6845,3U8734,4030.98,583.38,300,112.96262359619,23.568050384521
1718676790,"2024-06-18 02:13:10",B6845,3U8734,4183.38,585.232,300,112.94178771973,23.578800201416
