Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1700271499,"2023-11-18 01:38:19",B30AL,CZ3437,0,22.224,340,113.29882049561,23.404708862305
1700271499,"2023-11-18 01:38:19",B30AL,CZ3437,0,22.224,340,113.29879760742,23.404777526855
1700271499,"2023-11-18 01:38:19",B30AL,CZ3437,0,20.372,340,113.29876708984,23.40482711792
1700271510,"2023-11-18 01:38:30",B30AL,CZ3437,0,18.52,340,113.2985534668,23.405149459839
1700271510,"2023-11-18 01:38:30",B30AL,CZ3437,0,18.52,320,113.29851531982,23.405172348022
1700271515,"2023-11-18 01:38:35",B30AL,CZ3437,0,18.52,300,113.29831695557,23.405216217041
1700271524,"2023-11-18 01:38:44",B30AL,CZ3437,0,20.372,284,113.29774475098,23.405307769775
1700271529,"2023-11-18 01:38:49",B30AL,CZ3437,0,22.224,284,113.29763031006,23.405330657959
1700271529,"2023-11-18 01:38:49",B30AL,CZ3437,0,20.372,284,113.29753875732,23.405359268188
1700271529,"2023-11-18 01:38:49",B30AL,CZ3437,0,20.372,284,113.29748535156,23.405364990234
1700271529,"2023-11-18 01:38:49",B30AL,CZ3437,0,20.372,284,113.2974319458,23.405376434326
1700271536,"2023-11-18 01:38:56",B30AL,CZ3437,0,18.52,284,113.29730987549,23.405410766602
1700271536,"2023-11-18 01:38:56",B30AL,CZ3437,0,16.668,284,113.29727172852,23.405418395996
1700271545,"2023-11-18 01:39:05",B30AL,CZ3437,0,14.816,284,113.29686737061,23.405511856079
1700271545,"2023-11-18 01:39:05",B30AL,CZ3437,0,14.816,284,113.29680633545,23.40552520752
1700271549,"2023-11-18 01:39:09",B30AL,CZ3437,0,16.668,284,113.29662322998,23.405557632446
1700271553,"2023-11-18 01:39:13",B30AL,CZ3437,0,18.52,284,113.29650878906,23.40559387207
1700271553,"2023-11-18 01:39:13",B30AL,CZ3437,0,18.52,284,113.29641723633,23.405616760254
1700271565,"2023-11-18 01:39:25",B30AL,CZ3437,0,20.372,284,113.29570770264,23.405776977539
1700271570,"2023-11-18 01:39:30",B30AL,CZ3437,0,18.52,284,113.29565429688,23.405790328979
1700271570,"2023-11-18 01:39:30",B30AL,CZ3437,0,18.52,284,113.29557800293,23.405801773071
1700271580,"2023-11-18 01:39:40",B30AL,CZ3437,0,16.668,281,113.29518127441,23.405857086182
1700271599,"2023-11-18 01:39:59",B30AL,CZ3437,0,20.372,199,113.29481506348,23.40509223938
1700271611,"2023-11-18 01:40:11",B30AL,CZ3437,0,25.928,194,113.29462432861,23.404382705688
1700272033,"2023-11-18 01:47:13",B30AL,CZ3437,0,12.964,194,113.28664398193,23.38158416748
1700272060,"2023-11-18 01:47:40",B30AL,CZ3437,0,11.112,194,113.28637695312,23.380605697632
1700272343,"2023-11-18 01:52:23",B30AL,CZ3437,0,9.26,194,113.28563690186,23.377784729004
1700272348,"2023-11-18 01:52:28",B30AL,CZ3437,0,7.408,194,113.28562164307,23.377738952637
1700272353,"2023-11-18 01:52:33",B30AL,CZ3437,0,3.704,194,113.28561401367,23.377683639526
1700272674,"2023-11-18 01:57:54",B30AL,CZ3437,0,18.52,255,113.28488922119,23.376710891724
1700272674,"2023-11-18 01:57:54",B30AL,CZ3437,0,14.816,264,113.28479003906,23.376739501953
1700272674,"2023-11-18 01:57:54",B30AL,CZ3437,0,14.816,267,113.28476715088,23.376750946045
1700272677,"2023-11-18 01:57:57",B30AL,CZ3437,0,9.26,275,113.28466796875,23.376789093018
1700272693,"2023-11-18 01:58:13",B30AL,CZ3437,0,11.112,281,113.28430175781,23.376880645752
1700272712,"2023-11-18 01:58:32",B30AL,CZ3437,0,16.668,292,113.28366851807,23.377090454102
1700272728,"2023-11-18 01:58:48",B30AL,CZ3437,0,12.964,343,113.28359985352,23.377479553223
1700272780,"2023-11-18 01:59:40",B30AL,CZ3437,-99.06,229.648,14,113.28632354736,23.387369155884
1700272794,"2023-11-18 01:59:54",B30AL,CZ3437,-53.34,294.468,13,113.28883361816,23.396879196167
1700272809,"2023-11-18 02:00:09",B30AL,CZ3437,152.4,283.356,14,113.29155731201,23.406650543213
1700272824,"2023-11-18 02:00:24",B30AL,CZ3437,358.14,277.8,15,113.29457855225,23.416799545288
1700272839,"2023-11-18 02:00:39",B30AL,CZ3437,579.12,264.836,15,113.29772949219,23.426860809326
