Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1703904942,"2023-12-30 02:55:42",B32DC,EU2236,-38.1,144.456,194,113.29019927979,23.401859283447
1703904957,"2023-12-30 02:55:57",B32DC,EU2236,-38.1,262.984,195,113.28846740723,23.395519256592
1703904972,"2023-12-30 02:56:12",B32DC,EU2236,60.96,305.58,194,113.28552246094,23.384349822998
1703904987,"2023-12-30 02:56:27",B32DC,EU2236,236.22,305.58,194,113.28256988525,23.37313079834
1703905002,"2023-12-30 02:56:42",B32DC,EU2236,426.72,305.58,215,113.27728271484,23.362798690796
1703905017,"2023-12-30 02:56:57",B32DC,EU2236,632.46,298.172,221,113.26943969727,23.353912353516
1703905031,"2023-12-30 02:57:11",B32DC,EU2236,815.34,298.172,221,113.26204681396,23.345989227295
1703905046,"2023-12-30 02:57:26",B32DC,EU2236,998.22,312.988,221,113.25401306152,23.33757019043
1703905061,"2023-12-30 02:57:41",B32DC,EU2236,1143,348.176,222,113.24452209473,23.327728271484
1703905076,"2023-12-30 02:57:56",B32DC,EU2236,1318.26,372.252,231,113.23438262939,23.318252563477
1703905091,"2023-12-30 02:58:11",B32DC,EU2236,1531.62,374.104,265,113.22046661377,23.313970565796
1703905106,"2023-12-30 02:58:26",B32DC,EU2236,1752.6,383.364,304,113.20628356934,23.318759918213
1703905121,"2023-12-30 02:58:41",B32DC,EU2236,2011.68,379.66,314,113.19463348389,23.328769683838
1703905136,"2023-12-30 02:58:56",B32DC,EU2236,2194.56,398.18,311,113.18280029297,23.338489532471
1703905151,"2023-12-30 02:59:11",B32DC,EU2236,2331.72,431.516,310,113.1695022583,23.348789215088
1703905166,"2023-12-30 02:59:26",B32DC,EU2236,2491.74,464.852,311,113.15551757812,23.359769821167
1703905181,"2023-12-30 02:59:41",B32DC,EU2236,2636.52,500.04,311,113.14041137695,23.371740341187
1703905196,"2023-12-30 02:59:56",B32DC,EU2236,2842.26,518.56,311,113.12502288818,23.384029388428
1703905211,"2023-12-30 03:00:11",B32DC,EU2236,3063.24,529.672,311,113.10831451416,23.397386550903
1703905226,"2023-12-30 03:00:26",B32DC,EU2236,3230.88,557.452,317,113.09246063232,23.411500930786
1703905240,"2023-12-30 03:00:40",B32DC,EU2236,3337.56,596.344,320,113.07733917236,23.427829742432
1703905255,"2023-12-30 03:00:55",B32DC,EU2236,3451.86,622.272,320,113.06214904785,23.444139480591
1703905270,"2023-12-30 03:01:10",B32DC,EU2236,3589.02,648.2,320,113.04503631592,23.462509155273
1703905285,"2023-12-30 03:01:25",B32DC,EU2236,3810,659.312,320,113.02754211426,23.481349945068
1703905299,"2023-12-30 03:01:39",B32DC,EU2236,4015.74,668.572,320,113.00991821289,23.500350952148
1703905314,"2023-12-30 03:01:54",B32DC,EU2236,4175.76,683.388,320,112.99269104004,23.518840789795
1703905329,"2023-12-30 03:02:09",B32DC,EU2236,4427.22,681.536,321,112.97501373291,23.537929534912
1703905344,"2023-12-30 03:02:24",B32DC,EU2236,4663.44,685.24,319,112.95654296875,23.557889938354
1703905359,"2023-12-30 03:02:39",B32DC,EU2236,4846.32,694.5,320,112.93826293945,23.577590942383
1703905374,"2023-12-30 03:02:54",B32DC,EU2236,5074.92,690.796,320,112.91982269287,23.59753036499
1703905389,"2023-12-30 03:03:09",B32DC,EU2236,5257.8,674.128,321,112.90187072754,23.616989135742
1703905404,"2023-12-30 03:03:24",B32DC,EU2236,5372.1,674.128,320,112.88426208496,23.635969161987
1703905419,"2023-12-30 03:03:39",B32DC,EU2236,5417.82,674.128,320,112.86656951904,23.655029296875
1703905434,"2023-12-30 03:03:54",B32DC,EU2236,5539.74,685.24,320,112.84851074219,23.674390792847
1703905449,"2023-12-30 03:04:09",B32DC,EU2236,5707.38,694.5,320,112.82943725586,23.694902420044
1703905464,"2023-12-30 03:04:24",B32DC,EU2236,5913.12,696.352,320,112.81163787842,23.714040756226
1703905479,"2023-12-30 03:04:39",B32DC,EU2236,6103.62,700.056,320,112.79292297363,23.734180450439
1703905494,"2023-12-30 03:04:54",B32DC,EU2236,6286.5,705.612,320,112.77429962158,23.754259109497
1703905509,"2023-12-30 03:05:09",B32DC,EU2236,6438.9,713.02,320,112.75496673584,23.775020599365
1703905524,"2023-12-30 03:05:24",B32DC,EU2236,6614.16,716.724,320,112.73621368408,23.795179367065
1703905539,"2023-12-30 03:05:39",B32DC,EU2236,6789.42,722.28,320,112.71729278564,23.815570831299
1703905554,"2023-12-30 03:05:54",B32DC,EU2236,6964.68,727.836,319,112.69749450684,23.836841583252
1703905569,"2023-12-30 03:06:09",B32DC,EU2236,7162.8,727.836,319,112.67790985107,23.857839584351
1703905584,"2023-12-30 03:06:24",B32DC,EU2236,7368.54,722.28,320,112.65904998779,23.878051757812
1703905599,"2023-12-30 03:06:39",B32DC,EU2236,7528.56,727.836,319,112.63939666748,23.899030685425
1703905614,"2023-12-30 03:06:54",B32DC,EU2236,7650.48,718.576,311,112.61840820312,23.917240142822
1703905629,"2023-12-30 03:07:09",B32DC,EU2236,7787.64,703.76,300,112.59410858154,23.931993484497
1703905644,"2023-12-30 03:07:24",B32DC,EU2236,7993.38,683.388,295,112.56769561768,23.94319152832
1703905659,"2023-12-30 03:07:39",B32DC,EU2236,8176.26,683.388,295,112.5428237915,23.953628540039
1703905674,"2023-12-30 03:07:54",B32DC,EU2236,8282.94,687.092,295,112.51731109619,23.964210510254
1703905688,"2023-12-30 03:08:08",B32DC,EU2236,8420.1,687.092,295,112.49311065674,23.974220275879
1703905703,"2023-12-30 03:08:23",B32DC,EU2236,8648.7,670.424,294,112.46820831299,23.984569549561
1703905718,"2023-12-30 03:08:38",B32DC,EU2236,8907.78,648.2,295,112.44354248047,23.994873046875
1703905733,"2023-12-30 03:08:53",B32DC,EU2236,9029.7,651.904,295,112.41800689697,24.005355834961
1703905748,"2023-12-30 03:09:08",B32DC,EU2236,9098.28,659.312,295,112.39465332031,24.014860153198
1703905763,"2023-12-30 03:09:23",B32DC,EU2236,9174.48,666.72,295,112.37004852295,24.024856567383
1703905778,"2023-12-30 03:09:38",B32DC,EU2236,9250.68,674.128,294,112.3450012207,24.035110473633
1703905793,"2023-12-30 03:09:53",B32DC,EU2236,9326.88,681.536,294,112.31929779053,24.045627593994
1703905808,"2023-12-30 03:10:08",B32DC,EU2236,9403.08,687.092,295,112.29299163818,24.056400299072
1703905823,"2023-12-30 03:10:23",B32DC,EU2236,9471.66,692.648,294,112.26809692383,24.066579818726
1703905838,"2023-12-30 03:10:38",B32DC,EU2236,9547.86,698.204,295,112.24172210693,24.077320098877
1703905853,"2023-12-30 03:10:53",B32DC,EU2236,9616.44,700.056,294,112.21565246582,24.088035583496
1703905868,"2023-12-30 03:11:08",B32DC,EU2236,9692.64,696.352,294,112.18885803223,24.099020004272
1703905883,"2023-12-30 03:11:23",B32DC,EU2236,9761.22,696.352,294,112.16323852539,24.109449386597
1703905898,"2023-12-30 03:11:38",B32DC,EU2236,9784.08,692.648,294,112.13765716553,24.119934082031
1703905913,"2023-12-30 03:11:53",B32DC,EU2236,9784.08,687.092,294,112.11156463623,24.130599975586
1703905928,"2023-12-30 03:12:08",B32DC,EU2236,9784.08,688.944,294,112.08557891846,24.141149520874
1703905943,"2023-12-30 03:12:23",B32DC,EU2236,9784.08,690.796,294,112.06065368652,24.151290893555
1703905958,"2023-12-30 03:12:38",B32DC,EU2236,9784.08,694.5,294,112.03427124023,24.162008285522
