Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1701494675,"2023-12-02 05:24:35",B6719,G58726,0,16.668,317,113.28360748291,23.377170562744
1701494690,"2023-12-02 05:24:50",B6719,G58726,0,0,14,113.28366851807,23.377521514893
1701494690,"2023-12-02 05:24:50",B6719,G58726,0,0,14,113.28366088867,23.377521514893
1701494695,"2023-12-02 05:24:55",B6719,G58726,0,0,14,113.28366088867,23.377521514893
1701494695,"2023-12-02 05:24:55",B6719,G58726,0,0,14,113.28366851807,23.377521514893
1701494700,"2023-12-02 05:25:00",B6719,G58726,0,0,14,113.28366851807,23.377519607544
1701494700,"2023-12-02 05:25:00",B6719,G58726,0,3.704,14,113.28366851807,23.377532958984
1701494725,"2023-12-02 05:25:25",B6719,G58726,-38.1,192.608,13,113.28517150879,23.383050918579
1701494740,"2023-12-02 05:25:40",B6719,G58726,-45.72,294.468,14,113.28742218018,23.391359329224
1701494754,"2023-12-02 05:25:54",B6719,G58726,38.1,337.064,14,113.29042053223,23.402389526367
1701494769,"2023-12-02 05:26:09",B6719,G58726,304.8,325.952,355,113.29219055176,23.414699554443
1701494784,"2023-12-02 05:26:24",B6719,G58726,518.16,331.508,358,113.29096221924,23.426759719849
1701494799,"2023-12-02 05:26:39",B6719,G58726,723.9,335.212,359,113.29065704346,23.439237594604
1701494814,"2023-12-02 05:26:54",B6719,G58726,838.2,362.992,0,113.29067230225,23.452060699463
1701494829,"2023-12-02 05:27:09",B6719,G58726,929.64,401.884,0,113.29071807861,23.466751098633
1701494844,"2023-12-02 05:27:24",B6719,G58726,1028.7,446.332,359,113.29051971436,23.48291015625
1701494859,"2023-12-02 05:27:39",B6719,G58726,1234.44,459.296,0,113.29025268555,23.500082015991
1701494874,"2023-12-02 05:27:54",B6719,G58726,1455.42,474.112,0,113.28994750977,23.517305374146
1701494889,"2023-12-02 05:28:09",B6719,G58726,1684.02,481.52,359,113.28958892822,23.535600662231
1701494904,"2023-12-02 05:28:24",B6719,G58726,1889.76,477.816,359,113.28923797607,23.553129196167
1701494919,"2023-12-02 05:28:39",B6719,G58726,2004.06,475.964,339,113.28552246094,23.571399688721
1701494934,"2023-12-02 05:28:54",B6719,G58726,2042.16,494.484,313,113.27438354492,23.585586547852
1701494949,"2023-12-02 05:29:09",B6719,G58726,2042.16,503.744,306,113.25868225098,23.597660064697
1701494964,"2023-12-02 05:29:24",B6719,G58726,2118.36,513.004,296,113.2405090332,23.606739044189
1701494979,"2023-12-02 05:29:39",B6719,G58726,2339.34,520.412,296,113.22110748291,23.615299224854
1701494994,"2023-12-02 05:29:54",B6719,G58726,2590.8,522.264,297,113.20246124268,23.623672485352
1701495009,"2023-12-02 05:30:09",B6719,G58726,2811.78,533.376,296,113.18265533447,23.632568359375
1701495024,"2023-12-02 05:30:24",B6719,G58726,3078.48,524.116,296,113.16268920898,23.641529083252
1701495039,"2023-12-02 05:30:39",B6719,G58726,3268.98,535.228,297,113.14447784424,23.649629592896
1701495054,"2023-12-02 05:30:54",B6719,G58726,3360.42,570.416,296,113.12407684326,23.65864944458
1701495069,"2023-12-02 05:31:09",B6719,G58726,3429,601.9,296,113.10211181641,23.668350219727
1701495084,"2023-12-02 05:31:24",B6719,G58726,3505.2,629.68,296,113.07952880859,23.678379058838
1701495099,"2023-12-02 05:31:39",B6719,G58726,3604.26,653.756,296,113.05584716797,23.688850402832
1701495114,"2023-12-02 05:31:54",B6719,G58726,3794.76,657.46,297,113.03076171875,23.699979782104
1701495129,"2023-12-02 05:32:09",B6719,G58726,4023.36,650.052,297,113.00685119629,23.710559844971
1701495144,"2023-12-02 05:32:24",B6719,G58726,4236.72,648.2,297,112.98345184326,23.720972061157
1701495159,"2023-12-02 05:32:39",B6719,G58726,4411.98,655.608,297,112.95779418945,23.732284545898
1701495174,"2023-12-02 05:32:54",B6719,G58726,4564.38,659.312,297,112.93549346924,23.742139816284
1701495189,"2023-12-02 05:33:09",B6719,G58726,4785.36,655.608,296,112.9108505249,23.753000259399
1701495204,"2023-12-02 05:33:24",B6719,G58726,4930.14,663.016,297,112.8868637085,23.763570785522
1701495219,"2023-12-02 05:33:39",B6719,G58726,5059.68,672.276,297,112.86224365234,23.774370193481
1701495234,"2023-12-02 05:33:54",B6719,G58726,5250.18,668.572,297,112.83736419678,23.785306930542
1701495249,"2023-12-02 05:34:09",B6719,G58726,5433.06,666.72,296,112.81233215332,23.79628944397
1701495264,"2023-12-02 05:34:24",B6719,G58726,5577.84,675.98,296,112.78787231445,23.806999206543
1701495279,"2023-12-02 05:34:39",B6719,G58726,5707.38,681.536,296,112.76268768311,23.818029403687
1701495294,"2023-12-02 05:34:54",B6719,G58726,5836.92,688.944,297,112.73569488525,23.829940795898
1701495309,"2023-12-02 05:35:09",B6719,G58726,5875.02,709.316,295,112.71080780029,23.840890884399
1701495324,"2023-12-02 05:35:24",B6719,G58726,5966.46,720.428,296,112.68579864502,23.851819992065
1701495339,"2023-12-02 05:35:39",B6719,G58726,6134.1,714.872,297,112.65759277344,23.864259719849
1701495354,"2023-12-02 05:35:54",B6719,G58726,6339.84,705.612,296,112.6304397583,23.876131057739
1701495369,"2023-12-02 05:36:09",B6719,G58726,6454.14,707.464,296,112.60643768311,23.886600494385
1701495384,"2023-12-02 05:36:24",B6719,G58726,6545.58,716.724,295,112.5798034668,23.898242950439
1701495399,"2023-12-02 05:36:39",B6719,G58726,6644.64,722.28,295,112.55361175537,23.909683227539
1701495414,"2023-12-02 05:36:54",B6719,G58726,6766.56,722.28,296,112.52741241455,23.921129226685
1701495429,"2023-12-02 05:37:09",B6719,G58726,6888.48,724.132,295,112.49990081787,23.93316078186
1701495444,"2023-12-02 05:37:24",B6719,G58726,6979.92,727.836,295,112.47325134277,23.944749832153
1701495459,"2023-12-02 05:37:39",B6719,G58726,7071.36,731.54,296,112.44609069824,23.956510543823
1701495474,"2023-12-02 05:37:54",B6719,G58726,7162.8,737.096,296,112.4197769165,23.967979431152
1701495488,"2023-12-02 05:38:08",B6719,G58726,7254.24,740.8,296,112.39349365234,23.979400634766
1701495503,"2023-12-02 05:38:23",B6719,G58726,7353.3,744.504,295,112.36663818359,23.991170883179
1701495518,"2023-12-02 05:38:38",B6719,G58726,7459.98,748.208,295,112.33821105957,24.003540039062
1701495533,"2023-12-02 05:38:53",B6719,G58726,7566.66,748.208,296,112.31085205078,24.01541519165
1701495548,"2023-12-02 05:39:08",B6719,G58726,7703.82,748.208,296,112.27905273438,24.029251098633
1701495563,"2023-12-02 05:39:23",B6719,G58726,7780.02,753.764,296,112.25514221191,24.039621353149
1701495578,"2023-12-02 05:39:38",B6719,G58726,7840.98,761.172,296,112.22671508789,24.051956176758
1701495593,"2023-12-02 05:39:53",B6719,G58726,7894.32,768.58,296,112.19802856445,24.064340591431
1701495608,"2023-12-02 05:40:08",B6719,G58726,8001,772.284,295,112.16652679443,24.07802772522
1701495624,"2023-12-02 05:40:24",B6719,G58726,8107.68,768.58,296,112.14221954346,24.088499069214
1701495638,"2023-12-02 05:40:38",B6719,G58726,8252.46,763.024,295,112.11380004883,24.100799560547
1701495653,"2023-12-02 05:40:53",B6719,G58726,8366.76,759.32,295,112.08583831787,24.112894058228
1701495668,"2023-12-02 05:41:08",B6719,G58726,8404.86,759.32,295,112.05696868896,24.125371932983
1701495683,"2023-12-02 05:41:23",B6719,G58726,8420.1,755.616,295,112.02955627441,24.137195587158
1701495698,"2023-12-02 05:41:38",B6719,G58726,8412.48,755.616,295,112.00162506104,24.149206161499
1701495713,"2023-12-02 05:41:53",B6719,G58726,8412.48,755.616,295,111.97306060791,24.161499023438
1701495728,"2023-12-02 05:42:08",B6719,G58726,8412.48,755.616,295,111.94255065918,24.17462348938
1701495743,"2023-12-02 05:42:23",B6719,G58726,8412.48,755.616,295,111.91665649414,24.185760498047
1701495758,"2023-12-02 05:42:38",B6719,G58726,8412.48,755.616,295,111.88934326172,24.197525024414
1701495773,"2023-12-02 05:42:53",B6719,G58726,8412.48,755.616,295,111.86175537109,24.209398269653
1701495788,"2023-12-02 05:43:08",B6719,G58726,8412.48,757.468,295,111.83143615723,24.22243309021
