Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1719021547,"2024-06-22 01:59:07",B309W,GJ5237,68.58,224.092,195,113.2896194458,23.399599075317
1719021568,"2024-06-22 01:59:28",B309W,GJ5237,83.82,240.76,194,113.28636932373,23.387559890747
1719021588,"2024-06-22 01:59:48",B309W,GJ5237,350.52,305.58,196,113.28212738037,23.371950149536
1719021603,"2024-06-22 02:00:03",B309W,GJ5237,525.78,311.136,208,113.27728271484,23.361190795898
1719021618,"2024-06-22 02:00:18",B309W,GJ5237,723.9,307.432,210,113.27113342285,23.351160049438
1719021633,"2024-06-22 02:00:33",B309W,GJ5237,899.16,311.136,212,113.26482391357,23.340965270996
1719021648,"2024-06-22 02:00:48",B309W,GJ5237,1082.04,322.248,211,113.25836181641,23.330570220947
1719021663,"2024-06-22 02:01:03",B309W,GJ5237,1135.38,375.956,212,113.25141143799,23.319440841675
1719021678,"2024-06-22 02:01:18",B309W,GJ5237,1242.06,422.256,245,113.2405090332,23.30818939209
1719021693,"2024-06-22 02:01:33",B309W,GJ5237,1463.04,429.664,281,113.22408294678,23.305589675903
1719021708,"2024-06-22 02:01:48",B309W,GJ5237,1645.92,459.296,308,113.20771789551,23.312940597534
1719021723,"2024-06-22 02:02:03",B309W,GJ5237,1798.32,487.076,314,113.19243621826,23.325120925903
1719021738,"2024-06-22 02:02:18",B309W,GJ5237,1996.44,500.04,315,113.17845916748,23.337659835815
1719021753,"2024-06-22 02:02:33",B309W,GJ5237,2217.42,500.04,315,113.16407012939,23.350570678711
1719021768,"2024-06-22 02:02:48",B309W,GJ5237,2461.26,496.336,314,113.14930725098,23.363359451294
1719021783,"2024-06-22 02:03:03",B309W,GJ5237,2636.52,511.152,313,113.13375854492,23.376300811768
1719021798,"2024-06-22 02:03:18",B309W,GJ5237,2849.88,513.004,312,113.11808013916,23.389099121094
1719021813,"2024-06-22 02:03:33",B309W,GJ5237,3040.38,516.708,312,113.10254669189,23.401609420776
