Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1715841698,"2024-05-16 06:41:38",B6770,HO5861,30.48,233.352,14,113.28663635254,23.388589859009
1715841712,"2024-05-16 06:41:52",B6770,HO5861,38.1,329.656,13,113.28883361816,23.396919250488
1715841727,"2024-05-16 06:42:07",B6770,HO5861,236.22,337.064,10,113.29173278809,23.408929824829
1715841742,"2024-05-16 06:42:22",B6770,HO5861,472.44,335.212,359,113.29141998291,23.421569824219
1715841758,"2024-05-16 06:42:38",B6770,HO5861,685.8,335.212,0,113.29141998291,23.434019088745
1715841772,"2024-05-16 06:42:52",B6770,HO5861,807.72,344.472,359,113.29116821289,23.446559906006
1715841787,"2024-05-16 06:43:07",B6770,HO5861,952.5,348.176,0,113.29081726074,23.460250854492
1715841802,"2024-05-16 06:43:22",B6770,HO5861,1005.84,388.92,0,113.29061126709,23.473829269409
1715841813,"2024-05-16 06:43:33",B6770,HO5861,1074.42,412.996,359,113.29036712646,23.483549118042
1715841827,"2024-05-16 06:43:47",B6770,HO5861,1196.34,451.888,359,113.2899017334,23.500129699707
1715841842,"2024-05-16 06:44:02",B6770,HO5861,1402.08,466.704,0,113.28958892822,23.517120361328
1715841857,"2024-05-16 06:44:17",B6770,HO5861,1630.68,474.112,0,113.28923797607,23.535280227661
1715841872,"2024-05-16 06:44:32",B6770,HO5861,1866.9,475.964,0,113.28888702393,23.553009033203
1715841883,"2024-05-16 06:44:43",B6770,HO5861,1981.2,474.112,350,113.28759765625,23.564790725708
1715841897,"2024-05-16 06:44:57",B6770,HO5861,2095.5,485.224,320,113.27852630615,23.581729888916
1715841912,"2024-05-16 06:45:12",B6770,HO5861,2202.18,503.744,311,113.26421356201,23.593780517578
1715841927,"2024-05-16 06:45:27",B6770,HO5861,2407.92,503.744,311,113.24857330322,23.605709075928
1715841942,"2024-05-16 06:45:42",B6770,HO5861,2651.76,505.596,311,113.23287963867,23.617769241333
1715841957,"2024-05-16 06:45:57",B6770,HO5861,2910.84,503.744,304,113.21669769287,23.629400253296
1715841968,"2024-05-16 06:46:08",B6770,HO5861,3086.1,496.336,297,113.20484161377,23.635410308838
1715841982,"2024-05-16 06:46:22",B6770,HO5861,3307.08,501.892,297,113.18643951416,23.643459320068
1715841997,"2024-05-16 06:46:37",B6770,HO5861,3444.24,518.56,297,113.16789245605,23.651660919189
1715842008,"2024-05-16 06:46:48",B6770,HO5861,3550.92,525.968,296,113.15389251709,23.657850265503
1715842022,"2024-05-16 06:47:02",B6770,HO5861,3741.42,527.82,296,113.13507843018,23.666090011597
1715842037,"2024-05-16 06:47:17",B6770,HO5861,3931.92,533.376,296,113.11528778076,23.674789428711
1715842052,"2024-05-16 06:47:32",B6770,HO5861,4130.04,533.376,297,113.0962677002,23.683130264282
1715842067,"2024-05-16 06:47:47",B6770,HO5861,4312.92,538.932,296,113.0756072998,23.692199707031
1715842082,"2024-05-16 06:48:02",B6770,HO5861,4450.08,550.044,296,113.05605316162,23.700719833374
1715842097,"2024-05-16 06:48:17",B6770,HO5861,4594.86,561.156,296,113.03495788574,23.709939956665
1715842112,"2024-05-16 06:48:32",B6770,HO5861,4747.26,566.712,296,113.01452636719,23.718839645386
1715842127,"2024-05-16 06:48:47",B6770,HO5861,4907.28,574.12,296,112.99334716797,23.728090286255
1715842142,"2024-05-16 06:49:02",B6770,HO5861,5059.68,581.528,296,112.97231292725,23.737270355225
1715842157,"2024-05-16 06:49:17",B6770,HO5861,5204.46,587.084,296,112.95043945312,23.746759414673
1715842172,"2024-05-16 06:49:32",B6770,HO5861,5356.86,590.788,296,112.92872619629,23.756210327148
1715842187,"2024-05-16 06:49:47",B6770,HO5861,5509.26,596.344,296,112.9068069458,23.765710830688
1715842203,"2024-05-16 06:50:03",B6770,HO5861,5669.28,596.344,296,112.88452148438,23.775419235229
1715842217,"2024-05-16 06:50:17",B6770,HO5861,5814.06,600.048,296,112.86151123047,23.785449981689
1715842232,"2024-05-16 06:50:32",B6770,HO5861,5943.6,609.308,296,112.84017181396,23.79474067688
1715842247,"2024-05-16 06:50:47",B6770,HO5861,6004.56,629.68,296,112.81728363037,23.804630279541
1715842262,"2024-05-16 06:51:02",B6770,HO5861,6012.18,659.312,296,112.79347991943,23.814929962158
1715842277,"2024-05-16 06:51:17",B6770,HO5861,6004.56,687.092,296,112.76880645752,23.825639724731
1715842292,"2024-05-16 06:51:32",B6770,HO5861,6004.56,714.872,296,112.74253082275,23.837070465088
1715842307,"2024-05-16 06:51:47",B6770,HO5861,6019.8,722.28,296,112.71588897705,23.848659515381
1715842322,"2024-05-16 06:52:02",B6770,HO5861,6103.62,724.132,296,112.68950653076,23.860120773315
1715842337,"2024-05-16 06:52:17",B6770,HO5861,6210.3,725.984,296,112.66214752197,23.871940612793
1715842352,"2024-05-16 06:52:32",B6770,HO5861,6316.98,725.984,296,112.63530731201,23.883529663086
1715842367,"2024-05-16 06:52:47",B6770,HO5861,6431.28,727.836,296,112.60830688477,23.895170211792
1715842382,"2024-05-16 06:53:02",B6770,HO5861,6545.58,731.54,296,112.58167266846,23.906620025635
1715842397,"2024-05-16 06:53:17",B6770,HO5861,6659.88,733.392,296,112.55415344238,23.918493270874
1715842412,"2024-05-16 06:53:32",B6770,HO5861,6766.56,738.948,296,112.52668762207,23.930360794067
1715842427,"2024-05-16 06:53:47",B6770,HO5861,6880.86,738.948,296,112.49994659424,23.941909790039
1715842442,"2024-05-16 06:54:02",B6770,HO5861,6995.16,738.948,296,112.47135925293,23.95426940918
1715842457,"2024-05-16 06:54:17",B6770,HO5861,7109.46,738.948,296,112.44397735596,23.966020584106
1715842472,"2024-05-16 06:54:32",B6770,HO5861,7216.14,740.8,296,112.41652679443,23.977800369263
1715842487,"2024-05-16 06:54:47",B6770,HO5861,7299.96,746.356,296,112.38941955566,23.989429473877
1715842502,"2024-05-16 06:55:02",B6770,HO5861,7383.78,751.912,296,112.36225891113,24.001100540161
1715842517,"2024-05-16 06:55:17",B6770,HO5861,7459.98,755.616,296,112.33277130127,24.013790130615
1715842532,"2024-05-16 06:55:32",B6770,HO5861,7536.18,761.172,296,112.30541229248,24.025520324707
1715842547,"2024-05-16 06:55:47",B6770,HO5861,7612.38,764.876,296,112.27799224854,24.037250518799
1715842558,"2024-05-16 06:55:58",B6770,HO5861,7665.72,770.432,296,112.25742340088,24.046049118042
1715842572,"2024-05-16 06:56:12",B6770,HO5861,7741.92,774.136,295,112.22966766357,24.057998657227
1715842587,"2024-05-16 06:56:27",B6770,HO5861,7818.12,777.84,296,112.19943237305,24.070949554443
1715842602,"2024-05-16 06:56:42",B6770,HO5861,7886.7,781.544,296,112.17253112793,24.082450866699
1715842617,"2024-05-16 06:56:57",B6770,HO5861,7962.9,785.248,296,112.14263153076,24.095249176025
1715842632,"2024-05-16 06:57:12",B6770,HO5861,8031.48,790.804,295,112.11421203613,24.107389450073
1715842647,"2024-05-16 06:57:27",B6770,HO5861,8107.68,790.804,296,112.08409881592,24.120210647583
1715842662,"2024-05-16 06:57:42",B6770,HO5861,8183.88,794.508,296,112.05500030518,24.132680892944
1715842677,"2024-05-16 06:57:57",B6770,HO5861,8267.7,796.36,295,112.02400970459,24.145854949951
1715842692,"2024-05-16 06:58:12",B6770,HO5861,8351.52,796.36,295,111.99554443359,24.158020019531
1715842707,"2024-05-16 06:58:27",B6770,HO5861,8458.2,794.508,296,111.96430969238,24.171340942383
1715842722,"2024-05-16 06:58:42",B6770,HO5861,8557.26,792.656,295,111.93715667725,24.182859420776
1715842737,"2024-05-16 06:58:57",B6770,HO5861,8671.56,788.952,295,111.9079284668,24.195293426514
1715842752,"2024-05-16 06:59:12",B6770,HO5861,8785.86,787.1,298,111.87895965576,24.208187103271
1715842767,"2024-05-16 06:59:27",B6770,HO5861,8900.16,783.396,302,111.84968566895,24.223968505859
1715842782,"2024-05-16 06:59:42",B6770,HO5861,9014.46,777.84,307,111.82496643066,24.239889144897
1715842797,"2024-05-16 06:59:57",B6770,HO5861,9121.14,774.136,308,111.79972839355,24.2578125
1715842812,"2024-05-16 07:00:12",B6770,HO5861,9235.44,770.432,308,111.77439117432,24.275756835938
1715842827,"2024-05-16 07:00:27",B6770,HO5861,9349.74,763.024,308,111.74997711182,24.293060302734
1715842842,"2024-05-16 07:00:42",B6770,HO5861,9471.66,759.32,308,111.72453308105,24.311069488525
1715842857,"2024-05-16 07:00:57",B6770,HO5861,9578.34,755.616,308,111.69924163818,24.328990936279
1715842872,"2024-05-16 07:01:12",B6770,HO5861,9692.64,751.912,309,111.67607879639,24.34534072876
1715842887,"2024-05-16 07:01:27",B6770,HO5861,9776.46,751.912,308,111.65130615234,24.36283493042
1715842902,"2024-05-16 07:01:42",B6770,HO5861,9791.7,764.876,308,111.62715911865,24.379871368408
1715842917,"2024-05-16 07:01:57",B6770,HO5861,9784.08,777.84,308,111.60186767578,24.397794723511
1715842933,"2024-05-16 07:02:13",B6770,HO5861,9784.08,788.952,308,111.57471466064,24.416975021362
1715842947,"2024-05-16 07:02:27",B6770,HO5861,9784.08,800.064,309,111.55072021484,24.433919906616
1715842962,"2024-05-16 07:02:42",B6770,HO5861,9784.08,814.88,308,111.5239944458,24.452819824219
1715842977,"2024-05-16 07:02:57",B6770,HO5861,9784.08,818.584,308,111.49770355225,24.471410751343
1715842992,"2024-05-16 07:03:12",B6770,HO5861,9784.08,818.584,308,111.47091674805,24.490341186523
1715843007,"2024-05-16 07:03:27",B6770,HO5861,9784.08,818.584,307,111.44449615479,24.508895874023
1715843022,"2024-05-16 07:03:42",B6770,HO5861,9784.08,816.732,308,111.41790008545,24.52766418457
1715843037,"2024-05-16 07:03:57",B6770,HO5861,9784.08,814.88,307,111.39170074463,24.54606628418
1715843052,"2024-05-16 07:04:12",B6770,HO5861,9784.08,814.88,307,111.36452484131,24.565149307251
1715843067,"2024-05-16 07:04:27",B6770,HO5861,9784.08,814.88,307,111.33808898926,24.583724975586
1715843082,"2024-05-16 07:04:42",B6770,HO5861,9784.08,814.88,307,111.31174468994,24.602233886719
1715843097,"2024-05-16 07:04:57",B6770,HO5861,9784.08,814.88,308,111.28471374512,24.621198654175
1715843112,"2024-05-16 07:05:12",B6770,HO5861,9784.08,814.88,307,111.2582321167,24.639867782593
1715843127,"2024-05-16 07:05:27",B6770,HO5861,9784.08,816.732,308,111.23163604736,24.658493041992
1715843142,"2024-05-16 07:05:42",B6770,HO5861,9784.08,814.88,307,111.20552825928,24.676828384399
1715843157,"2024-05-16 07:05:57",B6770,HO5861,9784.08,818.584,307,111.17832183838,24.695915222168
1715843172,"2024-05-16 07:06:12",B6770,HO5861,9784.08,816.732,307,111.15158081055,24.714660644531
1715843187,"2024-05-16 07:06:27",B6770,HO5861,9784.08,816.732,307,111.12483978271,24.73334312439
1715843202,"2024-05-16 07:06:42",B6770,HO5861,9784.08,816.732,307,111.09903717041,24.751405715942
1715843217,"2024-05-16 07:06:57",B6770,HO5861,9776.46,814.88,308,111.07209014893,24.770259857178
1715843232,"2024-05-16 07:07:12",B6770,HO5861,9784.08,816.732,307,111.04364013672,24.79013633728
1715843247,"2024-05-16 07:07:27",B6770,HO5861,9784.08,818.584,307,111.01850128174,24.807687759399
1715843261,"2024-05-16 07:07:41",B6770,HO5861,9784.08,816.732,307,110.99217987061,24.826028823853
1715843276,"2024-05-16 07:07:56",B6770,HO5861,9784.08,816.732,307,110.96725463867,24.843486785889
1715843291,"2024-05-16 07:08:11",B6770,HO5861,9784.08,818.584,307,110.93988800049,24.862573623657
1715843306,"2024-05-16 07:08:26",B6770,HO5861,9784.08,816.732,307,110.91339111328,24.881057739258
1715843321,"2024-05-16 07:08:41",B6770,HO5861,9784.08,816.732,307,110.88729095459,24.899208068848
1715843336,"2024-05-16 07:08:56",B6770,HO5861,9784.08,816.732,307,110.86054229736,24.917816162109
1715843351,"2024-05-16 07:09:11",B6770,HO5861,9791.7,814.88,307,110.83339691162,24.936729431152
1715843363,"2024-05-16 07:09:23",B6770,HO5861,9791.7,814.88,307,110.81588745117,24.94889831543
1715843376,"2024-05-16 07:09:36",B6770,HO5861,9791.7,811.176,307,110.78903198242,24.967575073242
1715843391,"2024-05-16 07:09:51",B6770,HO5861,9791.7,813.028,307,110.76203155518,24.986307144165
1715843406,"2024-05-16 07:10:06",B6770,HO5861,9784.08,813.028,307,110.73608398438,25.004287719727
1715843421,"2024-05-16 07:10:21",B6770,HO5861,9784.08,809.324,307,110.70892333984,25.023147583008
1715843436,"2024-05-16 07:10:36",B6770,HO5861,9784.08,811.176,307,110.68283081055,25.041275024414
1715843451,"2024-05-16 07:10:51",B6770,HO5861,9784.08,811.176,307,110.65533447266,25.060373306274
1715843452,"2024-05-16 07:10:52",B6770,HO5861,9784.08,811.176,307,110.64940643311,25.064479827881
1715843466,"2024-05-16 07:11:06",B6770,HO5861,9784.08,811.176,307,110.62967681885,25.078125
1715843481,"2024-05-16 07:11:21",B6770,HO5861,9784.08,813.028,309,110.6030960083,25.096870422363
1715843496,"2024-05-16 07:11:36",B6770,HO5861,9776.46,816.732,318,110.57900238037,25.118097305298
1715843511,"2024-05-16 07:11:51",B6770,HO5861,9784.08,820.436,328,110.55918121338,25.142623901367
1715843526,"2024-05-16 07:12:06",B6770,HO5861,9784.08,825.992,336,110.54391479492,25.170795440674
1715843541,"2024-05-16 07:12:21",B6770,HO5861,9791.7,822.288,334,110.52992248535,25.19877243042
1715843556,"2024-05-16 07:12:36",B6770,HO5861,9791.7,820.436,330,110.5138092041,25.225772857666
1715843571,"2024-05-16 07:12:51",B6770,HO5861,9791.7,818.584,325,110.49530029297,25.251846313477
1715843582,"2024-05-16 07:13:02",B6770,HO5861,9791.7,814.88,322,110.4822769165,25.267776489258
1715843596,"2024-05-16 07:13:16",B6770,HO5861,9791.7,811.176,318,110.46015167236,25.291534423828
1715843611,"2024-05-16 07:13:31",B6770,HO5861,9791.7,810.8056,313.6,110.43690490723,25.312965393066
1715843626,"2024-05-16 07:13:46",B6770,HO5861,9791.7,807.472,309,110.41176605225,25.332889556885
1715843641,"2024-05-16 07:14:01",B6770,HO5861,9791.7,805.62,307,110.38543701172,25.351364135742
1715843656,"2024-05-16 07:14:16",B6770,HO5861,9784.08,803.768,307,110.35863494873,25.369812011719
1715843671,"2024-05-16 07:14:31",B6770,HO5861,9784.08,801.916,307,110.33237457275,25.387914657593
1715843686,"2024-05-16 07:14:46",B6770,HO5861,9784.08,800.064,307,110.3059387207,25.406158447266
1715843701,"2024-05-16 07:15:01",B6770,HO5861,9776.46,800.064,307,110.27947235107,25.424409866333
1715843716,"2024-05-16 07:15:16",B6770,HO5861,9776.46,798.212,307,110.25304412842,25.44255065918
1715843731,"2024-05-16 07:15:31",B6770,HO5861,9776.46,800.064,307,110.22634887695,25.460861206055
1715843746,"2024-05-16 07:15:46",B6770,HO5861,9776.46,798.212,308,110.20007324219,25.478923797607
1715843761,"2024-05-16 07:16:01",B6770,HO5861,9776.46,798.212,308,110.17436981201,25.49656867981
1715843776,"2024-05-16 07:16:16",B6770,HO5861,9776.46,798.212,307,110.14765167236,25.514919281006
1715843791,"2024-05-16 07:16:31",B6770,HO5861,9784.08,796.36,307,110.12114715576,25.533111572266
1715843806,"2024-05-16 07:16:46",B6770,HO5861,9784.08,796.36,307,110.09518432617,25.550846099854
1715843821,"2024-05-16 07:17:01",B6770,HO5861,9784.08,796.36,307,110.06839752197,25.569189071655
1715843836,"2024-05-16 07:17:16",B6770,HO5861,9784.08,796.36,307,110.04216766357,25.587158203125
1715843851,"2024-05-16 07:17:31",B6770,HO5861,9784.08,796.36,307,110.01584625244,25.605127334595
1715843866,"2024-05-16 07:17:46",B6770,HO5861,9784.08,795.9896,307.1,109.98941802979,25.623229980469
1715843881,"2024-05-16 07:18:01",B6770,HO5861,9784.08,794.8784,306.9,109.96311950684,25.641220092773
1715843896,"2024-05-16 07:18:16",B6770,HO5861,9784.08,794.508,307,109.93418121338,25.660903930664
1715843911,"2024-05-16 07:18:31",B6770,HO5861,9784.08,794.8784,306.9,109.91114044189,25.676605224609
1715843926,"2024-05-16 07:18:46",B6770,HO5861,9784.08,794.508,307,109.88413238525,25.695053100586
1715843941,"2024-05-16 07:19:01",B6770,HO5861,9784.08,794.508,307,109.85788726807,25.712905883789
1715843956,"2024-05-16 07:19:16",B6770,HO5861,9784.08,794.508,307,109.83130645752,25.731004714966
1715843971,"2024-05-16 07:19:31",B6770,HO5861,9784.08,794.508,307,109.80504608154,25.748931884766
1715843986,"2024-05-16 07:19:46",B6770,HO5861,9784.08,792.656,307,109.77927398682,25.766384124756
1715844001,"2024-05-16 07:20:01",B6770,HO5861,9784.08,794.508,307,109.75269317627,25.784450531006
1715844016,"2024-05-16 07:20:16",B6770,HO5861,9784.08,792.656,306,109.72635650635,25.802215576172
1715844036,"2024-05-16 07:20:36",B6770,HO5861,9784.08,792.656,303,109.68658447266,25.825927734375
1715844051,"2024-05-16 07:20:51",B6770,HO5861,9784.08,794.508,298,109.66148376465,25.838790893555
1715844066,"2024-05-16 07:21:06",B6770,HO5861,9784.08,794.508,295,109.63150787354,25.852270126343
1715844081,"2024-05-16 07:21:21",B6770,HO5861,9791.7,792.656,292,109.60104370117,25.864000320435
1715844095,"2024-05-16 07:21:35",B6770,HO5861,9791.7,794.508,289,109.57260894775,25.873350143433
1715844108,"2024-05-16 07:21:48",B6770,HO5861,9791.7,794.508,287,109.54303741455,25.881549835205
1715844122,"2024-05-16 07:22:02",B6770,HO5861,9784.08,796.36,287,109.51421356201,25.889240264893
1715844137,"2024-05-16 07:22:17",B6770,HO5861,9784.08,796.36,287,109.48265075684,25.897659301758
1715844152,"2024-05-16 07:22:32",B6770,HO5861,9791.7,796.36,287,109.44790649414,25.906930923462
1715844167,"2024-05-16 07:22:47",B6770,HO5861,9791.7,794.508,287,109.419921875,25.914419174194
1715844182,"2024-05-16 07:23:02",B6770,HO5861,9791.7,796.36,287,109.38407897949,25.923929214478
1715844197,"2024-05-16 07:23:17",B6770,HO5861,9791.7,796.36,287,109.3558883667,25.931400299072
1715844212,"2024-05-16 07:23:32",B6770,HO5861,9784.08,794.508,287,109.32459259033,25.939680099487
