Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1713144521,"2024-04-15 01:28:41",B6387,MF5558,22.86,205.572,195,113.29006958008,23.401340484619
1713144536,"2024-04-15 01:28:56",B6387,MF5558,22.86,305.58,194,113.28756713867,23.392139434814
1713144551,"2024-04-15 01:29:11",B6387,MF5558,152.4,327.804,194,113.28462219238,23.381099700928
1713144566,"2024-04-15 01:29:26",B6387,MF5558,388.62,322.248,201,113.28102874756,23.369159698486
1713144581,"2024-04-15 01:29:41",B6387,MF5558,609.6,316.692,217,113.27438354492,23.358655929565
1713144596,"2024-04-15 01:29:56",B6387,MF5558,769.62,320.396,221,113.26599884033,23.349010467529
1713144611,"2024-04-15 01:30:11",B6387,MF5558,944.88,324.1,221,113.25756072998,23.33989906311
1713144626,"2024-04-15 01:30:26",B6387,MF5558,1089.66,329.656,222,113.24904632568,23.330959320068
1713144641,"2024-04-15 01:30:41",B6387,MF5558,1257.3,331.508,233,113.23934173584,23.321739196777
1713144654,"2024-04-15 01:30:54",B6387,MF5558,1348.74,342.62,254,113.23100280762,23.318429946899
1713144666,"2024-04-15 01:31:06",B6387,MF5558,1447.8,368.548,260,113.21726226807,23.315599441528
1713144681,"2024-04-15 01:31:21",B6387,MF5558,1630.68,361.14,258,113.20202636719,23.312759399414
1713144696,"2024-04-15 01:31:36",B6387,MF5558,1775.46,370.4,258,113.18798828125,23.3099193573
1713144707,"2024-04-15 01:31:47",B6387,MF5558,1836.42,387.068,258,113.17765808105,23.307769775391
1713144722,"2024-04-15 01:32:02",B6387,MF5558,1912.62,418.552,258,113.16172027588,23.304470062256
1713144736,"2024-04-15 01:32:16",B6387,MF5558,2011.68,448.184,258,113.14309692383,23.300670623779
1713144751,"2024-04-15 01:32:31",B6387,MF5558,2110.74,477.816,259,113.12570953369,23.297210693359
1713144766,"2024-04-15 01:32:46",B6387,MF5558,2263.14,488.928,260,113.10590362549,23.293529510498
1713144781,"2024-04-15 01:33:01",B6387,MF5558,2446.02,494.484,259,113.08651733398,23.290010452271
1713144796,"2024-04-15 01:33:16",B6387,MF5558,2613.66,500.04,259,113.06658935547,23.286249160767
1713144807,"2024-04-15 01:33:27",B6387,MF5558,2727.96,505.596,259,113.05354309082,23.283750534058
1713144821,"2024-04-15 01:33:41",B6387,MF5558,2918.46,507.448,259,113.03243255615,23.27965927124
1713144836,"2024-04-15 01:33:56",B6387,MF5558,3101.34,511.152,258,113.0124130249,23.275680541992
1713144851,"2024-04-15 01:34:11",B6387,MF5558,3215.64,527.82,262,112.99179077148,23.271560668945
1713144866,"2024-04-15 01:34:26",B6387,MF5558,3444.24,516.708,284,112.97016906738,23.27267074585
1713144881,"2024-04-15 01:34:41",B6387,MF5558,3703.32,505.596,308,112.95166015625,23.281099319458
1713144896,"2024-04-15 01:34:56",B6387,MF5558,3870.96,525.968,330,112.93849182129,23.295249938965
1713144911,"2024-04-15 01:35:11",B6387,MF5558,3962.4,551.896,336,112.92861938477,23.31348991394
1713144926,"2024-04-15 01:35:26",B6387,MF5558,4046.22,579.676,336,112.91893005371,23.332719802856
1713144941,"2024-04-15 01:35:41",B6387,MF5558,4145.28,598.196,336,112.90863037109,23.353210449219
1713144953,"2024-04-15 01:35:53",B6387,MF5558,4236.72,605.604,336,112.90187072754,23.366569519043
1713144956,"2024-04-15 01:35:56",B6387,MF5558,4320.54,611.16,336,112.89546203613,23.379140853882
1713144971,"2024-04-15 01:36:11",B6387,MF5558,4411.98,620.42,336,112.88761901855,23.394500732422
1713144986,"2024-04-15 01:36:26",B6387,MF5558,4564.38,625.976,336,112.87663269043,23.416030883789
1713145001,"2024-04-15 01:36:41",B6387,MF5558,4709.16,631.532,336,112.86585235596,23.437189102173
1713145016,"2024-04-15 01:36:56",B6387,MF5558,4853.94,637.088,336,112.85472106934,23.458980560303
1713145031,"2024-04-15 01:37:11",B6387,MF5558,5029.2,635.236,336,112.84393310547,23.480060577393
1713145046,"2024-04-15 01:37:26",B6387,MF5558,5204.46,635.236,336,112.83284759521,23.501760482788
1713145061,"2024-04-15 01:37:41",B6387,MF5558,5379.72,633.384,336,112.82154846191,23.523969650269
1713145076,"2024-04-15 01:37:56",B6387,MF5558,5524.5,638.94,336,112.81041717529,23.545700073242
1713145091,"2024-04-15 01:38:11",B6387,MF5558,5631.18,648.2,336,112.79921722412,23.567459106445
1713145106,"2024-04-15 01:38:26",B6387,MF5558,5768.34,653.756,335,112.78791809082,23.589509963989
1713145121,"2024-04-15 01:38:41",B6387,MF5558,5905.5,657.46,336,112.7763671875,23.612089157104
1713145136,"2024-04-15 01:38:56",B6387,MF5558,6019.8,666.72,336,112.76486206055,23.634569168091
1713145151,"2024-04-15 01:39:11",B6387,MF5558,6103.62,685.24,336,112.75318908691,23.657180786133
1713145166,"2024-04-15 01:39:26",B6387,MF5558,6217.92,690.796,336,112.74053192139,23.681949615479
1713145181,"2024-04-15 01:39:41",B6387,MF5558,6339.84,696.352,336,112.72882843018,23.704790115356
1713145196,"2024-04-15 01:39:56",B6387,MF5558,6469.38,698.204,335,112.7170791626,23.727680206299
1713145211,"2024-04-15 01:40:11",B6387,MF5558,6583.68,705.612,336,112.70453643799,23.752019882202
1713145227,"2024-04-15 01:40:27",B6387,MF5558,6659.88,716.724,336,112.69194793701,23.776460647583
1713145241,"2024-04-15 01:40:41",B6387,MF5558,6705.6,733.392,336,112.67919158936,23.801240921021
1713145256,"2024-04-15 01:40:56",B6387,MF5558,6766.56,748.208,335,112.66645050049,23.82599067688
1713145271,"2024-04-15 01:41:11",B6387,MF5558,6812.28,764.876,335,112.65309906006,23.85186958313
1713145286,"2024-04-15 01:41:26",B6387,MF5558,6858,777.84,335,112.63996887207,23.877319335938
1713145297,"2024-04-15 01:41:37",B6387,MF5558,6896.1,781.544,327,112.6280670166,23.896999359131
1713145311,"2024-04-15 01:41:51",B6387,MF5558,6979.92,774.136,315,112.60935211182,23.917877197266
1713145327,"2024-04-15 01:42:07",B6387,MF5558,7063.74,768.58,300,112.58477783203,23.934930801392
1713145341,"2024-04-15 01:42:21",B6387,MF5558,7170.42,766.728,295,112.55638122559,23.947359085083
1713145356,"2024-04-15 01:42:36",B6387,MF5558,7261.86,772.284,294,112.52700805664,23.959533691406
1713145372,"2024-04-15 01:42:52",B6387,MF5558,7353.3,777.84,296,112.49771881104,23.971750259399
1713145386,"2024-04-15 01:43:06",B6387,MF5558,7459.98,779.692,296,112.46988677979,23.983430862427
1713145401,"2024-04-15 01:43:21",B6387,MF5558,7581.9,777.84,295,112.44091796875,23.995489120483
1713145416,"2024-04-15 01:43:36",B6387,MF5558,7680.96,779.692,295,112.41149902344,24.007690429688
1713145431,"2024-04-15 01:43:51",B6387,MF5558,7787.64,781.544,295,112.38226318359,24.019739151001
1713145446,"2024-04-15 01:44:06",B6387,MF5558,7856.22,788.952,295,112.35321044922,24.031719207764
