Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1719901256,"2024-07-02 06:20:56",B6845,MU3464,91.44,201.868,194,113.29019927979,23.401620864868
1719901271,"2024-07-02 06:21:11",B6845,MU3464,91.44,283.356,194,113.28832244873,23.394649505615
1719901286,"2024-07-02 06:21:26",B6845,MU3464,266.7,333.36,196,113.28481292725,23.382400512695
1719901301,"2024-07-02 06:21:41",B6845,MU3464,571.5,331.508,195,113.28137969971,23.370029449463
1719901316,"2024-07-02 06:21:56",B6845,MU3464,876.3,305.58,204,113.27671813965,23.359069824219
1719901331,"2024-07-02 06:22:11",B6845,MU3464,1036.32,305.58,207,113.27139282227,23.348920822144
1719901346,"2024-07-02 06:22:26",B6845,MU3464,1135.38,335.212,211,113.26494598389,23.337890625
1719901361,"2024-07-02 06:22:41",B6845,MU3464,1234.44,372.252,246,113.25370788574,23.330020904541
1719901376,"2024-07-02 06:22:56",B6845,MU3464,1356.36,401.884,271,113.23753356934,23.328369140625
1719901391,"2024-07-02 06:23:11",B6845,MU3464,1531.62,401.884,273,113.22132873535,23.328859329224
1719901406,"2024-07-02 06:23:26",B6845,MU3464,1699.26,405.588,273,113.2048034668,23.329469680786
1719901421,"2024-07-02 06:23:41",B6845,MU3464,1866.9,407.44,273,113.18818664551,23.329929351807
1719901436,"2024-07-02 06:23:56",B6845,MU3464,2004.06,420.404,283,113.17150878906,23.331159591675
1719901451,"2024-07-02 06:24:11",B6845,MU3464,2118.36,451.888,303,113.15538024902,23.338623046875
1719901466,"2024-07-02 06:24:26",B6845,MU3464,2171.7,481.52,296,113.13855743408,23.346950531006
1719901481,"2024-07-02 06:24:41",B6845,MU3464,2186.94,509.3,292,113.12017822266,23.354049682617
1719901492,"2024-07-02 06:24:52",B6845,MU3464,2247.9,514.856,292,113.10704040527,23.358810424805
1719901506,"2024-07-02 06:25:06",B6845,MU3464,2446.02,518.56,293,113.08721923828,23.366090774536
1719901521,"2024-07-02 06:25:21",B6845,MU3464,2667,514.856,293,113.06803131104,23.373229980469
1719901536,"2024-07-02 06:25:36",B6845,MU3464,2857.5,518.56,293,113.04830169678,23.3805809021
1719901551,"2024-07-02 06:25:51",B6845,MU3464,3025.14,529.672,293,113.02848815918,23.387880325317
1719901566,"2024-07-02 06:26:06",B6845,MU3464,3154.68,544.488,293,113.00811767578,23.395429611206
1719901581,"2024-07-02 06:26:21",B6845,MU3464,3268.98,566.712,292,112.98654174805,23.403350830078
1719901592,"2024-07-02 06:26:32",B6845,MU3464,3352.8,579.676,292,112.97221374512,23.408699035645
1719901606,"2024-07-02 06:26:46",B6845,MU3464,3467.1,600.048,292,112.94967651367,23.416940689087
1719901621,"2024-07-02 06:27:01",B6845,MU3464,3573.78,614.864,292,112.92677307129,23.42527961731
1719901636,"2024-07-02 06:27:16",B6845,MU3464,3688.08,633.384,292,112.90294647217,23.433750152588
1719901651,"2024-07-02 06:27:31",B6845,MU3464,3802.38,648.2,292,112.87698364258,23.442720413208
