Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1700538274,"2023-11-21 03:44:34",B6081,TV6264,-30.48,224.092,14,113.2862701416,23.387279510498
1700538288,"2023-11-21 03:44:48",B6081,TV6264,-45.72,311.136,13,113.28871917725,23.396350860596
1700538303,"2023-11-21 03:45:03",B6081,TV6264,152.4,309.284,14,113.29197692871,23.408090591431
1700538318,"2023-11-21 03:45:18",B6081,TV6264,342.9,309.284,14,113.29496002197,23.418689727783
1700538333,"2023-11-21 03:45:33",B6081,TV6264,556.26,303.728,14,113.29830932617,23.430360794067
1700538348,"2023-11-21 03:45:48",B6081,TV6264,708.66,311.136,14,113.3012008667,23.441070556641
1700538363,"2023-11-21 03:46:03",B6081,TV6264,853.44,316.692,14,113.30423736572,23.452739715576
1700538378,"2023-11-21 03:46:18",B6081,TV6264,998.22,324.1,13,113.30725097656,23.464370727539
1700538393,"2023-11-21 03:46:33",B6081,TV6264,1059.18,366.696,13,113.31049346924,23.47686958313
1700538408,"2023-11-21 03:46:48",B6081,TV6264,1165.86,403.736,14,113.31428527832,23.491104125977
1700538423,"2023-11-21 03:47:03",B6081,TV6264,1379.22,407.44,14,113.31828308105,23.506164550781
1700538438,"2023-11-21 03:47:18",B6081,TV6264,1592.58,416.7,11,113.32208251953,23.520809173584
1700538453,"2023-11-21 03:47:33",B6081,TV6264,1684.02,463,342,113.32036590576,23.538114547729
1700538468,"2023-11-21 03:47:48",B6081,TV6264,1790.7,500.04,324,113.31064605713,23.553268432617
1700538483,"2023-11-21 03:48:03",B6081,TV6264,1958.34,516.708,322,113.29808807373,23.568279266357
1700538498,"2023-11-21 03:48:18",B6081,TV6264,2049.78,516.708,327,113.28572845459,23.584487915039
1700538513,"2023-11-21 03:48:33",B6081,TV6264,2065.02,520.412,332,113.27529907227,23.600740432739
1700538528,"2023-11-21 03:48:48",B6081,TV6264,2065.02,522.8196,334.6,113.26578521729,23.618133544922
1700538543,"2023-11-21 03:49:03",B6081,TV6264,2065.02,521.5232,335.9,113.25643157959,23.63703918457
1700538558,"2023-11-21 03:49:18",B6081,TV6264,2065.02,524.116,335,113.24754333496,23.655330657959
1700538573,"2023-11-21 03:49:33",B6081,TV6264,2065.02,518.56,313,113.23571777344,23.669719696045
1700538588,"2023-11-21 03:49:48",B6081,TV6264,2179.32,513.004,290,113.21598052979,23.678749084473
