Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1714122124,"2024-04-26 09:02:04",B6822,CA8232,129.54,203.72,195,113.31227874756,23.401300430298
1714122139,"2024-04-26 09:02:19",B6822,CA8232,121.92,281.504,194,113.31034088135,23.394149780273
1714122154,"2024-04-26 09:02:34",B6822,CA8232,182.88,329.656,195,113.30699157715,23.381790161133
1714122169,"2024-04-26 09:02:49",B6822,CA8232,381,311.136,193,113.30400085449,23.370939254761
1714122184,"2024-04-26 09:03:04",B6822,CA8232,548.64,312.988,176,113.30319976807,23.359310150146
1714122199,"2024-04-26 09:03:19",B6822,CA8232,693.42,314.84,163,113.30632781982,23.347810745239
1714122214,"2024-04-26 09:03:34",B6822,CA8232,830.58,322.248,177,113.30811309814,23.335660934448
1714122229,"2024-04-26 09:03:49",B6822,CA8232,967.74,325.952,178,113.30866241455,23.323459625244
1714122240,"2024-04-26 09:04:00",B6822,CA8232,1059.18,329.656,178,113.30884552002,23.315460205078
1714122254,"2024-04-26 09:04:14",B6822,CA8232,1120.14,370.4,162,113.31130981445,23.302188873291
1714122265,"2024-04-26 09:04:25",B6822,CA8232,1143,400.032,141,113.3171081543,23.293994903564
1714122279,"2024-04-26 09:04:39",B6822,CA8232,1173.48,453.74,107,113.33206176758,23.286640167236
1714122294,"2024-04-26 09:04:54",B6822,CA8232,1264.92,490.78,101,113.35118865967,23.282539367676
1714122309,"2024-04-26 09:05:09",B6822,CA8232,1371.6,527.82,102,113.37213897705,23.278400421143
1714122324,"2024-04-26 09:05:24",B6822,CA8232,1539.24,542.636,103,113.39324188232,23.273899078369
1714122339,"2024-04-26 09:05:39",B6822,CA8232,1729.74,553.748,104,113.41497039795,23.268995285034
1714122354,"2024-04-26 09:05:54",B6822,CA8232,1920.24,561.156,91,113.43743133545,23.266300201416
1714122369,"2024-04-26 09:06:09",B6822,CA8232,2095.5,570.416,68,113.46035003662,23.27161026001
1714122384,"2024-04-26 09:06:24",B6822,CA8232,2194.56,572.268,64,113.4810333252,23.28039932251
1714122399,"2024-04-26 09:06:39",B6822,CA8232,2217.42,570.416,63,113.50179290771,23.28989982605
1714122410,"2024-04-26 09:06:50",B6822,CA8232,2263.14,568.564,51,113.51480865479,23.298278808594
1714122424,"2024-04-26 09:07:04",B6822,CA8232,2438.4,568.564,39,113.52886962891,23.315229415894
1714122435,"2024-04-26 09:07:15",B6822,CA8232,2575.56,555.6,14,113.53398895264,23.329559326172
1714122449,"2024-04-26 09:07:29",B6822,CA8232,2743.2,559.304,11,113.53815460205,23.348833084106
1714122464,"2024-04-26 09:07:44",B6822,CA8232,2933.7,563.008,11,113.54242706299,23.369499206543
1714122479,"2024-04-26 09:07:59",B6822,CA8232,3108.96,570.416,11,113.54669952393,23.39035987854
1714122494,"2024-04-26 09:08:14",B6822,CA8232,3208.02,596.344,11,113.55113983154,23.412549972534
1714122509,"2024-04-26 09:08:29",B6822,CA8232,3284.22,627.828,11,113.55619049072,23.43736076355
1714122523,"2024-04-26 09:08:43",B6822,CA8232,3345.18,646.348,3,113.55902862549,23.458969116211
1714122538,"2024-04-26 09:08:58",B6822,CA8232,3406.14,659.312,346,113.55583953857,23.481899261475
