Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1715748041,"2024-05-15 04:40:41",B1950,CZ3348,7.62,205.572,14,113.30740356445,23.383350372314
1715748056,"2024-05-15 04:40:56",B1950,CZ3348,30.48,298.172,14,113.31004333496,23.393199920654
1715748071,"2024-05-15 04:41:11",B1950,CZ3348,220.98,309.284,14,113.31304168701,23.404859542847
1715748086,"2024-05-15 04:41:26",B1950,CZ3348,426.72,312.988,15,113.31597900391,23.415710449219
1715748101,"2024-05-15 04:41:41",B1950,CZ3348,624.84,311.136,16,113.31952667236,23.427150726318
1715748116,"2024-05-15 04:41:56",B1950,CZ3348,769.62,327.804,16,113.32322692871,23.439329147339
1715748131,"2024-05-15 04:42:11",B1950,CZ3348,982.98,327.804,17,113.3268737793,23.450450897217
1715748146,"2024-05-15 04:42:26",B1950,CZ3348,1082.04,361.14,16,113.33101654053,23.463180541992
1715748161,"2024-05-15 04:42:41",B1950,CZ3348,1211.58,398.18,16,113.33557128906,23.477640151978
1715748176,"2024-05-15 04:42:56",B1950,CZ3348,1463.04,398.18,17,113.34024810791,23.492029190063
1715748191,"2024-05-15 04:43:11",B1950,CZ3348,1737.36,396.328,15,113.34487915039,23.506509780884
1715748206,"2024-05-15 04:43:26",B1950,CZ3348,1897.38,424.108,13,113.34858703613,23.520679473877
1715748221,"2024-05-15 04:43:41",B1950,CZ3348,1981.2,466.704,14,113.35318756104,23.538160324097
1715748236,"2024-05-15 04:43:56",B1950,CZ3348,2065.02,474.112,13,113.35771179199,23.554969787598
1715748251,"2024-05-15 04:44:11",B1950,CZ3348,2103.12,481.52,14,113.36226654053,23.57200050354
1715748252,"2024-05-15 04:44:12",B1950,CZ3348,2095.5,481.52,13,113.36324310303,23.575559616089
1715748266,"2024-05-15 04:44:26",B1950,CZ3348,2095.5,479.668,13,113.36705780029,23.589979171753
1715748281,"2024-05-15 04:44:41",B1950,CZ3348,2095.5,477.816,14,113.37184143066,23.607879638672
1715748292,"2024-05-15 04:44:52",B1950,CZ3348,2095.5,477.816,14,113.37476348877,23.618740081787
1715748306,"2024-05-15 04:45:06",B1950,CZ3348,2095.5,477.816,14,113.37940979004,23.636259078979
1715748321,"2024-05-15 04:45:21",B1950,CZ3348,2095.5,475.964,14,113.38414001465,23.654119491577
1715748336,"2024-05-15 04:45:36",B1950,CZ3348,2118.36,477.816,14,113.38880157471,23.671720504761
1715748351,"2024-05-15 04:45:51",B1950,CZ3348,2240.28,483.372,14,113.39350128174,23.689729690552
1715748367,"2024-05-15 04:46:07",B1950,CZ3348,2453.64,492.632,14,113.39813232422,23.706769943237
1715748381,"2024-05-15 04:46:21",B1950,CZ3348,2659.38,507.448,13,113.40306854248,23.725109100342
1715748396,"2024-05-15 04:46:36",B1950,CZ3348,2865.12,518.56,14,113.40843963623,23.744569778442
1715748411,"2024-05-15 04:46:51",B1950,CZ3348,3093.72,525.968,13,113.41333770752,23.762699127197
1715748426,"2024-05-15 04:47:06",B1950,CZ3348,3208.02,553.748,14,113.41877746582,23.783109664917
1715748441,"2024-05-15 04:47:21",B1950,CZ3348,3284.22,592.64,14,113.42446136475,23.804210662842
1715748442,"2024-05-15 04:47:22",B1950,CZ3348,3307.08,600.048,13,113.42595672607,23.809930801392
1715748456,"2024-05-15 04:47:36",B1950,CZ3348,3360.42,625.976,14,113.43079376221,23.82751083374
1715748471,"2024-05-15 04:47:51",B1950,CZ3348,3497.58,648.2,15,113.43699645996,23.849739074707
1715748486,"2024-05-15 04:48:06",B1950,CZ3348,3672.84,661.164,14,113.44355010986,23.873249053955
1715748501,"2024-05-15 04:48:21",B1950,CZ3348,3886.2,664.868,14,113.4504699707,23.898380279541
1715748517,"2024-05-15 04:48:37",B1950,CZ3348,4076.7,675.98,14,113.45687866211,23.922359466553
1715748531,"2024-05-15 04:48:51",B1950,CZ3348,4274.82,685.24,13,113.46353149414,23.947769165039
1715748546,"2024-05-15 04:49:06",B1950,CZ3348,4518.66,685.24,5,113.4672088623,23.973289489746
1715748561,"2024-05-15 04:49:21",B1950,CZ3348,4716.78,688.944,357,113.46705627441,23.998979568481
1715748576,"2024-05-15 04:49:36",B1950,CZ3348,4930.14,694.5,354,113.46379852295,24.025089263916
1715748591,"2024-05-15 04:49:51",B1950,CZ3348,5105.4,705.612,354,113.46034240723,24.051679611206
1715748607,"2024-05-15 04:50:07",B1950,CZ3348,5288.28,714.872,354,113.45694732666,24.077659606934
1715748621,"2024-05-15 04:50:21",B1950,CZ3348,5471.16,725.984,353,113.4532699585,24.105030059814
1715748636,"2024-05-15 04:50:36",B1950,CZ3348,5631.18,740.8,354,113.44966125488,24.131610870361
1715748637,"2024-05-15 04:50:37",B1950,CZ3348,5669.28,742.652,354,113.44892120361,24.137239456177
1715748651,"2024-05-15 04:50:51",B1950,CZ3348,5829.3,744.504,354,113.44596099854,24.159259796143
1715748666,"2024-05-15 04:51:06",B1950,CZ3348,6057.9,742.652,345,113.44042205811,24.187149047852
1715748681,"2024-05-15 04:51:21",B1950,CZ3348,6301.74,731.54,340,113.42974090576,24.212749481201
1715748697,"2024-05-15 04:51:37",B1950,CZ3348,6522.72,731.54,341,113.41938781738,24.238679885864
1715748711,"2024-05-15 04:51:51",B1950,CZ3348,6697.98,737.096,342,113.40917205811,24.265550613403
1715748726,"2024-05-15 04:52:06",B1950,CZ3348,6858,744.504,341,113.39952850342,24.291049957275
1715748741,"2024-05-15 04:52:21",B1950,CZ3348,7002.78,753.764,342,113.38932037354,24.318050384521
1715748757,"2024-05-15 04:52:37",B1950,CZ3348,7147.56,757.468,341,113.37925720215,24.344650268555
1715748771,"2024-05-15 04:52:51",B1950,CZ3348,7315.2,763.024,341,113.36898803711,24.371519088745
1715748786,"2024-05-15 04:53:06",B1950,CZ3348,7467.6,761.172,341,113.35864257812,24.39845085144
1715748801,"2024-05-15 04:53:21",B1950,CZ3348,7505.7,757.468,341,113.34828948975,24.425489425659
1715748816,"2024-05-15 04:53:36",B1950,CZ3348,7505.7,757.468,341,113.33795928955,24.452360153198
1715748831,"2024-05-15 04:53:51",B1950,CZ3348,7498.08,757.468,341,113.32763671875,24.479049682617
1715748846,"2024-05-15 04:54:06",B1950,CZ3348,7498.08,757.468,341,113.31703186035,24.506540298462
1715748861,"2024-05-15 04:54:21",B1950,CZ3348,7498.08,759.32,342,113.30683135986,24.533159255981
1715748872,"2024-05-15 04:54:32",B1950,CZ3348,7498.08,757.468,341,113.29821777344,24.555330276489
1715748886,"2024-05-15 04:54:46",B1950,CZ3348,7498.08,763.024,346,113.29015350342,24.579069137573
1715748901,"2024-05-15 04:55:01",B1950,CZ3348,7498.08,770.432,353,113.2845916748,24.606809616089
1715748912,"2024-05-15 04:55:12",B1950,CZ3348,7498.08,774.136,357,113.28302764893,24.62640953064
