Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1717858558,"2024-06-08 14:55:58",B5192,MF4641,68.58,220.388,195,113.28948974609,23.399110794067
1717858578,"2024-06-08 14:56:18",B5192,MF4641,68.58,318.544,195,113.28659057617,23.388399124146
1717858593,"2024-06-08 14:56:33",B5192,MF4641,251.46,325.952,196,113.28257751465,23.374599456787
1717858608,"2024-06-08 14:56:48",B5192,MF4641,457.2,324.1,207,113.2781829834,23.363159179688
1717858623,"2024-06-08 14:57:03",B5192,MF4641,678.18,322.248,230,113.26889038086,23.354610443115
1717858638,"2024-06-08 14:57:18",B5192,MF4641,861.06,314.84,231,113.25911712646,23.346790313721
1717858649,"2024-06-08 14:57:29",B5192,MF4641,952.5,338.916,255,113.25131988525,23.343149185181
1717858664,"2024-06-08 14:57:44",B5192,MF4641,1036.32,390.772,288,113.23663330078,23.344299316406
1717858678,"2024-06-08 14:57:58",B5192,MF4641,1127.76,429.664,325,113.22367095947,23.354230880737
1717858693,"2024-06-08 14:58:13",B5192,MF4641,1249.68,453.74,347,113.21736907959,23.370109558105
1717858706,"2024-06-08 14:58:26",B5192,MF4641,1363.98,463,347,113.21437072754,23.381280899048
1717858719,"2024-06-08 14:58:39",B5192,MF4641,1546.86,474.112,347,113.20977020264,23.398639678955
1717858733,"2024-06-08 14:58:53",B5192,MF4641,1722.12,485.224,348,113.20511627197,23.416120529175
1717858748,"2024-06-08 14:59:08",B5192,MF4641,1920.24,490.78,357,113.20278167725,23.434799194336
1717858763,"2024-06-08 14:59:23",B5192,MF4641,2133.6,500.04,358,113.20155334473,23.452880859375
1717858778,"2024-06-08 14:59:38",B5192,MF4641,2369.82,503.744,357,113.20037841797,23.471639633179
1717858793,"2024-06-08 14:59:53",B5192,MF4641,2590.8,509.3,358,113.19931030273,23.491329193115
1717858808,"2024-06-08 15:00:08",B5192,MF4641,2796.54,518.56,358,113.19839477539,23.510229110718
1717858823,"2024-06-08 15:00:23",B5192,MF4641,3017.52,522.264,351,113.19657897949,23.529689788818
1717858838,"2024-06-08 15:00:38",B5192,MF4641,3223.26,524.116,338,113.18933868408,23.548450469971
1717858849,"2024-06-08 15:00:49",B5192,MF4641,3276.6,546.34,332,113.18283081055,23.560180664062
1717858863,"2024-06-08 15:01:03",B5192,MF4641,3368.04,579.676,326,113.16970825195,23.578170776367
1717858878,"2024-06-08 15:01:18",B5192,MF4641,3444.24,613.012,326,113.15582275391,23.597120285034
1717858890,"2024-06-08 15:01:30",B5192,MF4641,3512.82,631.532,327,113.14672088623,23.609529495239
1717858905,"2024-06-08 15:01:45",B5192,MF4641,3703.32,640.792,327,113.13182067871,23.629779815674
1717858918,"2024-06-08 15:01:58",B5192,MF4641,3886.2,651.904,327,113.11670684814,23.650085449219
1717858933,"2024-06-08 15:02:13",B5192,MF4641,4076.7,657.46,330,113.10186004639,23.670700073242
1717858948,"2024-06-08 15:02:28",B5192,MF4641,4259.58,666.72,348,113.09259796143,23.693759918213
1717858963,"2024-06-08 15:02:43",B5192,MF4641,4450.08,670.424,6,113.09209442139,23.718521118164
1717858978,"2024-06-08 15:02:58",B5192,MF4641,4648.2,675.98,24,113.1003112793,23.742530822754
1717858993,"2024-06-08 15:03:13",B5192,MF4641,4823.46,679.684,25,113.11222839355,23.765523910522
1717859004,"2024-06-08 15:03:24",B5192,MF4641,4930.14,683.388,25,113.12041473389,23.781442642212
1717859018,"2024-06-08 15:03:38",B5192,MF4641,5074.92,694.5,26,113.13264465332,23.805044174194
1717859029,"2024-06-08 15:03:49",B5192,MF4641,5166.36,701.908,26,113.14063262939,23.820360183716
1717859043,"2024-06-08 15:04:03",B5192,MF4641,5311.14,711.168,26,113.15303039551,23.844089508057
1717859054,"2024-06-08 15:04:14",B5192,MF4641,5410.2,718.576,26,113.16197967529,23.861093521118
1717859068,"2024-06-08 15:04:28",B5192,MF4641,5486.4,737.096,26,113.17488098145,23.885629653931
1717859084,"2024-06-08 15:04:44",B5192,MF4641,5554.98,759.32,25,113.18817138672,23.910739898682
1717859098,"2024-06-08 15:04:58",B5192,MF4641,5661.66,772.284,26,113.20214080811,23.937110900879
1717859114,"2024-06-08 15:05:14",B5192,MF4641,5707.38,777.84,26,113.21604156494,23.963289260864
1717859129,"2024-06-08 15:05:29",B5192,MF4641,5699.76,777.84,26,113.22997283936,23.989530563354
1717859143,"2024-06-08 15:05:43",B5192,MF4641,5737.86,781.544,26,113.24365997314,24.015520095825
1717859163,"2024-06-08 15:06:03",B5192,MF4641,5890.26,785.248,25,113.26039886475,24.047149658203
1717859178,"2024-06-08 15:06:18",B5192,MF4641,6027.42,790.804,26,113.27438354492,24.073699951172
1717859194,"2024-06-08 15:06:34",B5192,MF4641,6172.2,792.656,26,113.28862762451,24.100700378418
1717859208,"2024-06-08 15:06:48",B5192,MF4641,6301.74,798.212,25,113.3034286499,24.12858581543
1717859219,"2024-06-08 15:06:59",B5192,MF4641,6385.56,801.916,25,113.31243133545,24.145610809326
1717859233,"2024-06-08 15:07:13",B5192,MF4641,6507.48,807.472,26,113.32703399658,24.173133850098
1717859249,"2024-06-08 15:07:29",B5192,MF4641,6621.78,814.88,25,113.34162139893,24.200729370117
