Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1711965103,"2024-04-01 09:51:43",B5589,MU2541,91.44,298.172,196,113.30889129639,23.3890209198
1711965118,"2024-04-01 09:51:58",B5589,MU2541,220.98,298.172,196,113.30638122559,23.380439758301
1711965133,"2024-04-01 09:52:13",B5589,MU2541,419.1,296.32,195,113.30335235596,23.369569778442
1711965148,"2024-04-01 09:52:28",B5589,MU2541,617.22,281.504,178,113.30225372314,23.358810424805
1711965163,"2024-04-01 09:52:43",B5589,MU2541,800.1,274.096,171,113.30358123779,23.34822845459
1711965178,"2024-04-01 09:52:58",B5589,MU2541,937.26,274.096,174,113.30519866943,23.338073730469
1711965193,"2024-04-01 09:53:13",B5589,MU2541,1082.04,274.096,175,113.30581665039,23.327789306641
1711965208,"2024-04-01 09:53:28",B5589,MU2541,1158.24,303.728,166,113.30828857422,23.317110061646
1711965223,"2024-04-01 09:53:43",B5589,MU2541,1234.44,337.064,156,113.31259155273,23.305849075317
1711965238,"2024-04-01 09:53:58",B5589,MU2541,1318.26,379.66,136,113.32082366943,23.294790267944
1711965253,"2024-04-01 09:54:13",B5589,MU2541,1394.46,442.628,108,113.33506011963,23.287105560303
1711965268,"2024-04-01 09:54:28",B5589,MU2541,1470.66,481.52,104,113.3537902832,23.282501220703
1711965283,"2024-04-01 09:54:43",B5589,MU2541,1577.34,505.596,103,113.3729019165,23.278259277344
1711965298,"2024-04-01 09:54:58",B5589,MU2541,1706.88,524.116,104,113.3938369751,23.273670196533
1711965313,"2024-04-01 09:55:13",B5589,MU2541,1828.8,540.784,103,113.41461181641,23.269090652466
1711965328,"2024-04-01 09:55:28",B5589,MU2541,1988.82,563.008,88,113.43744659424,23.2669506073
1711965343,"2024-04-01 09:55:43",B5589,MU2541,2125.98,592.64,69,113.45975494385,23.271560668945
1711965358,"2024-04-01 09:55:58",B5589,MU2541,2171.7,600.048,65,113.48261260986,23.280914306641
1711965373,"2024-04-01 09:56:13",B5589,MU2541,2164.08,598.196,57,113.50370025635,23.290832519531
1711965388,"2024-04-01 09:56:28",B5589,MU2541,2164.08,601.9,38,113.52182769775,23.306749343872
1711965403,"2024-04-01 09:56:43",B5589,MU2541,2186.94,596.344,18,113.53350830078,23.327819824219
1711965418,"2024-04-01 09:56:58",B5589,MU2541,2278.38,594.492,10,113.53816223145,23.347949981689
1711965433,"2024-04-01 09:57:13",B5589,MU2541,2468.88,592.64,10,113.54270172119,23.369979858398
1711965448,"2024-04-01 09:57:28",B5589,MU2541,2689.86,590.788,11,113.54740142822,23.392040252686
