Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1720602784,"2024-07-10 09:13:04",B6822,ZH4710,91.44,261.132,194,113.28868103027,23.395990371704
1720602799,"2024-07-10 09:13:19",B6822,ZH4710,129.54,320.396,195,113.28568267822,23.384960174561
1720602815,"2024-07-10 09:13:35",B6822,ZH4710,327.66,305.58,194,113.28256988525,23.373510360718
1720602829,"2024-07-10 09:13:49",B6822,ZH4710,510.54,322.248,209,113.27743530273,23.361145019531
1720602845,"2024-07-10 09:14:05",B6822,ZH4710,670.56,320.396,211,113.27108764648,23.350940704346
1720602859,"2024-07-10 09:14:19",B6822,ZH4710,822.96,327.804,211,113.2639465332,23.339679718018
1720602870,"2024-07-10 09:14:30",B6822,ZH4710,914.4,329.656,211,113.25926208496,23.332260131836
1720602884,"2024-07-10 09:14:44",B6822,ZH4710,1036.32,327.804,211,113.25428771973,23.324390411377
1720602895,"2024-07-10 09:14:55",B6822,ZH4710,1097.28,344.472,220,113.24857330322,23.317289352417
1720602909,"2024-07-10 09:15:09",B6822,ZH4710,1150.62,387.068,247,113.23663330078,23.31010055542
1720602924,"2024-07-10 09:15:24",B6822,ZH4710,1203.96,440.776,286,113.21959686279,23.309879302979
1720602939,"2024-07-10 09:15:39",B6822,ZH4710,1424.94,444.48,312,113.20435333252,23.319650650024
1720602950,"2024-07-10 09:15:50",B6822,ZH4710,1592.58,442.628,315,113.19574737549,23.327140808105
1720602964,"2024-07-10 09:16:04",B6822,ZH4710,1828.8,438.924,336,113.18659973145,23.340999603271
1720602980,"2024-07-10 09:16:20",B6822,ZH4710,1996.44,453.74,338,113.17919921875,23.357120513916
1720603000,"2024-07-10 09:16:40",B6822,ZH4710,2240.28,472.26,343,113.17077636719,23.378530502319
1720603014,"2024-07-10 09:16:54",B6822,ZH4710,2453.64,470.408,344,113.1653213501,23.395660400391
1720603029,"2024-07-10 09:17:09",B6822,ZH4710,2651.76,475.964,343,113.15962982178,23.413284301758
1720603044,"2024-07-10 09:17:24",B6822,ZH4710,2827.02,487.076,344,113.15409088135,23.430349349976
1720603060,"2024-07-10 09:17:40",B6822,ZH4710,3017.52,494.484,344,113.14835357666,23.448459625244
1720603074,"2024-07-10 09:17:54",B6822,ZH4710,3192.78,503.744,344,113.14295196533,23.466020584106
1720603089,"2024-07-10 09:18:09",B6822,ZH4710,3291.84,533.376,344,113.13716125488,23.485149383545
1720603105,"2024-07-10 09:18:25",B6822,ZH4710,3368.04,563.008,344,113.13105773926,23.504470825195
1720603119,"2024-07-10 09:18:39",B6822,ZH4710,3489.96,588.936,353,113.12551116943,23.525590896606
1720603130,"2024-07-10 09:18:50",B6822,ZH4710,3619.5,592.64,5,113.12586212158,23.540679931641
1720603144,"2024-07-10 09:19:04",B6822,ZH4710,3741.42,607.456,8,113.12911987305,23.563810348511
1720603155,"2024-07-10 09:19:15",B6822,ZH4710,3802.38,624.124,8,113.1315612793,23.579219818115
1720603170,"2024-07-10 09:19:30",B6822,ZH4710,3886.2,651.904,8,113.13544464111,23.60333442688
1720603184,"2024-07-10 09:19:44",B6822,ZH4710,3909.06,688.944,8,113.13934326172,23.628479003906
1720603204,"2024-07-10 09:20:04",B6822,ZH4710,3893.82,729.688,7,113.14456939697,23.663059234619
1720603215,"2024-07-10 09:20:15",B6822,ZH4710,3893.82,738.948,8,113.14715576172,23.680704116821
1720603229,"2024-07-10 09:20:29",B6822,ZH4710,3901.44,735.244,8,113.15125274658,23.709150314331
1720603244,"2024-07-10 09:20:44",B6822,ZH4710,3901.44,735.244,8,113.15528869629,23.737409591675
1720603259,"2024-07-10 09:20:59",B6822,ZH4710,3901.44,731.54,7,113.15949249268,23.767520904541
1720603275,"2024-07-10 09:21:15",B6822,ZH4710,3939.54,731.54,7,113.16338348389,23.795179367065
1720603290,"2024-07-10 09:21:30",B6822,ZH4710,4091.94,737.096,8,113.16751861572,23.823709487915
1720603305,"2024-07-10 09:21:45",B6822,ZH4710,4259.58,738.948,8,113.17169189453,23.850860595703
1720603325,"2024-07-10 09:22:05",B6822,ZH4710,4381.5,753.764,7,113.17623138428,23.882230758667
1720603339,"2024-07-10 09:22:19",B6822,ZH4710,4488.18,764.876,7,113.18016815186,23.912389755249
1720603354,"2024-07-10 09:22:34",B6822,ZH4710,4663.44,766.728,7,113.18395233154,23.942890167236
1720603369,"2024-07-10 09:22:49",B6822,ZH4710,4785.36,777.84,7,113.18840789795,23.97599029541
1720603390,"2024-07-10 09:23:10",B6822,ZH4710,4945.38,779.692,7,113.19306945801,24.009780883789
1720603404,"2024-07-10 09:23:24",B6822,ZH4710,5082.54,783.396,7,113.19696044922,24.037759780884
1720603419,"2024-07-10 09:23:39",B6822,ZH4710,5212.08,787.1,8,113.20149993896,24.069080352783
1720603434,"2024-07-10 09:23:54",B6822,ZH4710,5334,790.804,8,113.20581817627,24.098880767822
1720603449,"2024-07-10 09:24:09",B6822,ZH4710,5455.92,796.36,8,113.21025085449,24.129230499268
1720603460,"2024-07-10 09:24:20",B6822,ZH4710,5524.5,796.36,7,113.21304321289,24.14826965332
1720603474,"2024-07-10 09:24:34",B6822,ZH4710,5661.66,798.212,7,113.21766662598,24.179670333862
1720603489,"2024-07-10 09:24:49",B6822,ZH4710,5775.96,803.768,7,113.2225112915,24.212610244751
1720603500,"2024-07-10 09:25:00",B6822,ZH4710,5829.3,809.324,8,113.22534942627,24.231990814209
1720603515,"2024-07-10 09:25:15",B6822,ZH4710,5928.36,814.88,7,113.2297744751,24.26252746582
1720603530,"2024-07-10 09:25:30",B6822,ZH4710,6065.52,814.88,8,113.23422241211,24.293050765991
1720603544,"2024-07-10 09:25:44",B6822,ZH4710,6164.58,814.88,7,113.23847198486,24.322660446167
1720603565,"2024-07-10 09:26:05",B6822,ZH4710,6248.4,824.14,7,113.24314880371,24.355869293213
1720603579,"2024-07-10 09:26:19",B6822,ZH4710,6347.46,829.696,7,113.24784851074,24.389089584351
1720603595,"2024-07-10 09:26:35",B6822,ZH4710,6461.76,829.696,7,113.25199890137,24.419170379639
1720603609,"2024-07-10 09:26:49",B6822,ZH4710,6576.06,831.548,7,113.2562789917,24.45080947876
1720603624,"2024-07-10 09:27:04",B6822,ZH4710,6659.88,838.956,7,113.26049804688,24.482070922852
1720603639,"2024-07-10 09:27:19",B6822,ZH4710,6736.08,842.66,7,113.26481628418,24.513059616089
1720603654,"2024-07-10 09:27:34",B6822,ZH4710,6858,838.956,8,113.26930236816,24.544099807739
1720603669,"2024-07-10 09:27:49",B6822,ZH4710,6972.3,838.956,7,113.27397918701,24.575910568237
1720603685,"2024-07-10 09:28:05",B6822,ZH4710,7040.88,844.512,7,113.27852630615,24.606908798218
1720603699,"2024-07-10 09:28:19",B6822,ZH4710,7132.32,850.068,7,113.28344726562,24.641309738159
1720603715,"2024-07-10 09:28:35",B6822,ZH4710,7193.28,857.476,7,113.28826904297,24.674320220947
1720603729,"2024-07-10 09:28:49",B6822,ZH4710,7269.48,863.032,7,113.29293060303,24.706439971924
1720603745,"2024-07-10 09:29:05",B6822,ZH4710,7345.68,866.736,7,113.29749298096,24.737630844116
1720603760,"2024-07-10 09:29:20",B6822,ZH4710,7414.26,870.44,7,113.30214691162,24.769779205322
1720603774,"2024-07-10 09:29:34",B6822,ZH4710,7482.84,874.144,7,113.30682373047,24.801919937134
1720603789,"2024-07-10 09:29:49",B6822,ZH4710,7505.7,885.256,7,113.311668396,24.835010528564
1720603800,"2024-07-10 09:30:00",B6822,ZH4710,7498.08,896.368,8,113.31481933594,24.856929779053
1720603814,"2024-07-10 09:30:14",B6822,ZH4710,7498.08,905.628,7,113.31984710693,24.891220092773
1720603829,"2024-07-10 09:30:29",B6822,ZH4710,7498.08,905.628,7,113.32465362549,24.924249649048
1720603840,"2024-07-10 09:30:40",B6822,ZH4710,7498.08,907.48,7,113.32788848877,24.946559906006
1720603854,"2024-07-10 09:30:54",B6822,ZH4710,7498.08,907.48,7,113.33287811279,24.980939865112
1720603868,"2024-07-10 09:31:08",B6822,ZH4710,7498.08,907.48,7,113.33715057373,25.010009765625
1720603884,"2024-07-10 09:31:24",B6822,ZH4710,7498.08,905.628,7,113.34242248535,25.046030044556
1720603898,"2024-07-10 09:31:38",B6822,ZH4710,7498.08,905.628,7,113.34736633301,25.080049514771
1720603909,"2024-07-10 09:31:49",B6822,ZH4710,7498.08,903.776,7,113.35066223145,25.102319717407
1720603924,"2024-07-10 09:32:04",B6822,ZH4710,7498.08,903.776,7,113.3556137085,25.136119842529
1720603940,"2024-07-10 09:32:20",B6822,ZH4710,7498.08,901.924,7,113.36054229736,25.170040130615
1720603953,"2024-07-10 09:32:33",B6822,ZH4710,7498.08,903.776,7,113.36573028564,25.205379486084
1720603964,"2024-07-10 09:32:44",B6822,ZH4710,7498.08,905.628,7,113.36817932129,25.222190856934
1720603979,"2024-07-10 09:32:59",B6822,ZH4710,7498.08,900.072,7,113.37306213379,25.2555103302
1720603993,"2024-07-10 09:33:13",B6822,ZH4710,7498.08,905.628,7,113.37886047363,25.295099258423
1720604008,"2024-07-10 09:33:28",B6822,ZH4710,7498.08,907.48,7,113.38408660889,25.330799102783
1720604024,"2024-07-10 09:33:44",B6822,ZH4710,7498.08,903.776,7,113.38912200928,25.364919662476
1720604038,"2024-07-10 09:33:58",B6822,ZH4710,7498.08,901.924,7,113.39414215088,25.398809432983
1720604054,"2024-07-10 09:34:14",B6822,ZH4710,7498.08,900.072,7,113.39869689941,25.430139541626
1720604065,"2024-07-10 09:34:25",B6822,ZH4710,7498.08,900.072,7,113.40255737305,25.456190109253
1720604089,"2024-07-10 09:34:49",B6822,ZH4710,7498.08,900.072,7,113.40979003906,25.505229949951
1720604132,"2024-07-10 09:35:32",B6822,ZH4710,7498.08,903.776,7,113.42513275146,25.609130859375
1720604152,"2024-07-10 09:35:52",B6822,ZH4710,7498.08,907.48,7,113.4309387207,25.648509979248
1720604168,"2024-07-10 09:36:08",B6822,ZH4710,7498.08,905.628,7,113.43653106689,25.686309814453
1720604179,"2024-07-10 09:36:19",B6822,ZH4710,7498.08,907.48,7,113.43984222412,25.708919525146
1720604193,"2024-07-10 09:36:33",B6822,ZH4710,7498.08,907.48,7,113.4440612793,25.737630844116
1720604204,"2024-07-10 09:36:44",B6822,ZH4710,7498.08,903.776,7,113.44731140137,25.759590148926
1720604219,"2024-07-10 09:36:59",B6822,ZH4710,7498.08,905.628,7,113.4538269043,25.803359985352
1720604234,"2024-07-10 09:37:14",B6822,ZH4710,7498.08,903.776,6,113.45845031738,25.836399078369
1720604249,"2024-07-10 09:37:29",B6822,ZH4710,7498.08,903.776,4,113.46073150635,25.86049079895
1720604263,"2024-07-10 09:37:43",B6822,ZH4710,7498.08,903.776,0,113.46198272705,25.897520065308
1720604278,"2024-07-10 09:37:58",B6822,ZH4710,7498.08,905.628,359,113.46087646484,25.935649871826
1720604298,"2024-07-10 09:38:18",B6822,ZH4710,7498.08,901.924,359,113.45948791504,25.973789215088
1720604313,"2024-07-10 09:38:33",B6822,ZH4710,7498.08,901.924,359,113.45809173584,26.010219573975
1720604328,"2024-07-10 09:38:48",B6822,ZH4710,7498.08,901.924,359,113.4567565918,26.045560836792
1720604343,"2024-07-10 09:39:03",B6822,ZH4710,7498.08,901.924,359,113.45559692383,26.075319290161
1720604359,"2024-07-10 09:39:19",B6822,ZH4710,7498.08,900.072,358,113.45423126221,26.110820770264
1720604373,"2024-07-10 09:39:33",B6822,ZH4710,7498.08,900.072,358,113.45301055908,26.142709732056
1720604388,"2024-07-10 09:39:48",B6822,ZH4710,7498.08,900.072,358,113.45150756836,26.182069778442
1720604408,"2024-07-10 09:40:08",B6822,ZH4710,7498.08,903.776,359,113.44999694824,26.221670150757
1720604423,"2024-07-10 09:40:23",B6822,ZH4710,7498.08,905.628,359,113.44847106934,26.261329650879
1720604434,"2024-07-10 09:40:34",B6822,ZH4710,7498.08,903.776,359,113.44761657715,26.283489227295
1720604448,"2024-07-10 09:40:48",B6822,ZH4710,7498.08,905.628,359,113.44613647461,26.321800231934
1720604463,"2024-07-10 09:41:03",B6822,ZH4710,7498.08,903.776,359,113.44487762451,26.356889724731
1720604479,"2024-07-10 09:41:19",B6822,ZH4710,7498.08,901.924,359,113.44393920898,26.380970001221
1720604493,"2024-07-10 09:41:33",B6822,ZH4710,7498.08,903.776,359,113.44264984131,26.414840698242
1720604509,"2024-07-10 09:41:49",B6822,ZH4710,7498.08,903.776,359,113.44133758545,26.448509216309
1720604523,"2024-07-10 09:42:03",B6822,ZH4710,7498.08,905.628,359,113.43963623047,26.493160247803
1720604543,"2024-07-10 09:42:23",B6822,ZH4710,7498.08,903.776,359,113.43824005127,26.528959274292
1720604558,"2024-07-10 09:42:38",B6822,ZH4710,7505.7,901.924,359,113.43685150146,26.563919067383
1720604573,"2024-07-10 09:42:53",B6822,ZH4710,7498.08,907.48,359,113.43544006348,26.602430343628
1720604598,"2024-07-10 09:43:18",B6822,ZH4710,7498.08,907.48,359,113.43351745605,26.652460098267
1720604613,"2024-07-10 09:43:33",B6822,ZH4710,7498.08,907.48,359,113.43202209473,26.692249298096
1720604632,"2024-07-10 09:43:52",B6822,ZH4710,7498.08,909.332,359,113.43055725098,26.731090545654
1720604647,"2024-07-10 09:44:07",B6822,ZH4710,7498.08,909.332,359,113.42897796631,26.772699356079
1720604668,"2024-07-10 09:44:28",B6822,ZH4710,7498.08,909.332,358,113.42736053467,26.814380645752
1720604682,"2024-07-10 09:44:42",B6822,ZH4710,7498.08,907.48,359,113.4259185791,26.851280212402
1720604698,"2024-07-10 09:44:58",B6822,ZH4710,7498.08,903.776,359,113.42453765869,26.886569976807
1720604711,"2024-07-10 09:45:11",B6822,ZH4710,7498.08,903.776,359,113.42353057861,26.912200927734
1720604730,"2024-07-10 09:45:30",B6822,ZH4710,7498.08,903.776,359,113.42196655273,26.952669143677
1720604741,"2024-07-10 09:45:41",B6822,ZH4710,7498.08,905.628,359,113.42111206055,26.976560592651
1720604756,"2024-07-10 09:45:56",B6822,ZH4710,7498.08,905.628,359,113.4196395874,27.013870239258
1720604771,"2024-07-10 09:46:11",B6822,ZH4710,7498.08,901.924,359,113.41815185547,27.052619934082
1720604786,"2024-07-10 09:46:26",B6822,ZH4710,7498.08,905.628,359,113.41683959961,27.086610794067
1720604801,"2024-07-10 09:46:41",B6822,ZH4710,7498.08,901.924,359,113.41555786133,27.120170593262
1720604816,"2024-07-10 09:46:56",B6822,ZH4710,7498.08,898.22,358,113.41414642334,27.155639648438
1720604832,"2024-07-10 09:47:12",B6822,ZH4710,7498.08,898.22,358,113.41281890869,27.189859390259
1720604846,"2024-07-10 09:47:26",B6822,ZH4710,7498.08,900.072,358,113.4115524292,27.22380065918
1720604861,"2024-07-10 09:47:41",B6822,ZH4710,7498.08,900.072,359,113.41020965576,27.258499145508
1720604872,"2024-07-10 09:47:52",B6822,ZH4710,7498.08,901.924,359,113.40937805176,27.279790878296
1720604887,"2024-07-10 09:48:07",B6822,ZH4710,7498.08,901.924,359,113.40811920166,27.314390182495
1720604901,"2024-07-10 09:48:21",B6822,ZH4710,7498.08,903.776,0,113.4079284668,27.34753036499
