Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1701515090,"2023-12-02 11:04:50",B7882,3U5144,144.78,281.504,353,116.59546,40.08609
1701515104,"2023-12-02 11:05:04",B7882,3U5144,373.38,279.652,355,116.59406,40.09698
1701515118,"2023-12-02 11:05:18",B7882,3U5144,617.22,277.8,353,116.59259,40.10793
1701515133,"2023-12-02 11:05:33",B7882,3U5144,853.44,275.948,350,116.590515,40.118408
1701515148,"2023-12-02 11:05:48",B7882,3U5144,1066.8,283.356,351,116.5882,40.12903
1701515163,"2023-12-02 11:06:03",B7882,3U5144,1203.96,316.692,352,116.586103,40.139807
1701515178,"2023-12-02 11:06:18",B7882,3U5144,1272.54,377.808,352,116.58362,40.15306
1701515193,"2023-12-02 11:06:33",B7882,3U5144,1424.94,422.256,352,116.580811,40.168304
1701515207,"2023-12-02 11:06:47",B7882,3U5144,1569.72,444.48,352,116.578552,40.180023
1701515222,"2023-12-02 11:07:02",B7882,3U5144,1790.7,466.704,346,116.574768,40.197052
1701515237,"2023-12-02 11:07:17",B7882,3U5144,2156.46,451.888,322,116.56464,40.21193
1701515252,"2023-12-02 11:07:32",B7882,3U5144,2415.54,477.816,295,116.545105,40.222687
1701515267,"2023-12-02 11:07:47",B7882,3U5144,2575.56,518.56,270,116.52063,40.225662
1701515282,"2023-12-02 11:08:02",B7882,3U5144,2941.32,513.004,247,116.496033,40.220215
1701515297,"2023-12-02 11:08:17",B7882,3U5144,3215.64,522.264,240,116.47394,40.21101
1701515312,"2023-12-02 11:08:32",B7882,3U5144,3329.94,574.12,238,116.450806,40.200165
1701515327,"2023-12-02 11:08:47",B7882,3U5144,3406.14,625.976,239,116.42524,40.188174
1701515342,"2023-12-02 11:09:02",B7882,3U5144,3703.32,637.088,239,116.39921,40.17607
1701515357,"2023-12-02 11:09:17",B7882,3U5144,4015.74,653.756,239,116.37218,40.16359
1701515371,"2023-12-02 11:09:31",B7882,3U5144,4297.68,672.276,240,116.344216,40.150746
1701515386,"2023-12-02 11:09:46",B7882,3U5144,4655.82,677.832,239,116.315,40.13731
1701515401,"2023-12-02 11:10:01",B7882,3U5144,5006.34,681.536,239,116.287537,40.124631
1701515416,"2023-12-02 11:10:16",B7882,3U5144,5349.24,688.944,239,116.25848,40.11122
1701515431,"2023-12-02 11:10:31",B7882,3U5144,5669.28,692.648,239,116.228577,40.097488
1701515446,"2023-12-02 11:10:46",B7882,3U5144,5943.6,701.908,240,116.200806,40.0849
1701515461,"2023-12-02 11:11:01",B7882,3U5144,6035.04,733.392,240,116.17068,40.07137
1701515476,"2023-12-02 11:11:16",B7882,3U5144,6004.56,748.208,239,116.137573,40.056427
1701515491,"2023-12-02 11:11:31",B7882,3U5144,6012.18,735.244,239,116.10801,40.04275
1701515506,"2023-12-02 11:11:46",B7882,3U5144,6004.56,744.504,240,116.075613,40.027988
1701515521,"2023-12-02 11:12:01",B7882,3U5144,6004.56,751.912,232,116.04626,40.01248
1701515541,"2023-12-02 11:12:21",B7882,3U5144,6004.56,768.58,214,116.01813,39.98598
1701515556,"2023-12-02 11:12:36",B7882,3U5144,6004.56,781.544,196,116.004077,39.959277
1701515571,"2023-12-02 11:12:51",B7882,3U5144,6004.56,794.508,180,116.00014,39.93079
1701515586,"2023-12-02 11:13:06",B7882,3U5144,6004.56,801.916,162,116.00751,39.90053
1701515601,"2023-12-02 11:13:21",B7882,3U5144,6012.18,800.064,158,116.021,39.87291
1701515616,"2023-12-02 11:13:36",B7882,3U5144,6004.56,798.212,157,116.0376,39.8415
1701515631,"2023-12-02 11:13:51",B7882,3U5144,6004.56,796.36,156,116.0527,39.81427
1701515646,"2023-12-02 11:14:06",B7882,3U5144,6004.56,796.36,157,116.06972,39.78346
1701515661,"2023-12-02 11:14:21",B7882,3U5144,6004.56,796.36,157,116.08417,39.75719
1701515676,"2023-12-02 11:14:36",B7882,3U5144,6004.56,796.36,157,116.09747,39.73257
1701515691,"2023-12-02 11:14:51",B7882,3U5144,6042.66,805.62,157,116.1145,39.70073
1701515706,"2023-12-02 11:15:06",B7882,3U5144,6256.02,813.028,157,116.12939,39.67261
1701515721,"2023-12-02 11:15:21",B7882,3U5144,6507.48,820.436,157,116.14298,39.64696
1701515736,"2023-12-02 11:15:36",B7882,3U5144,6705.6,833.4,157,116.15887,39.61684
1701515751,"2023-12-02 11:15:51",B7882,3U5144,6827.52,851.92,158,116.17475,39.58649
1701515766,"2023-12-02 11:16:06",B7882,3U5144,6880.86,863.032,158,116.19051,39.55614
1701515781,"2023-12-02 11:16:21",B7882,3U5144,6888.48,864.884,158,116.20154,39.53495
1701515796,"2023-12-02 11:16:36",B7882,3U5144,6888.48,857.476,157,116.2168,39.50553
1701515811,"2023-12-02 11:16:51",B7882,3U5144,6888.48,851.92,157,116.23249,39.47557
1701515826,"2023-12-02 11:17:06",B7882,3U5144,6888.48,851.92,158,116.24801,39.44577
1701515841,"2023-12-02 11:17:21",B7882,3U5144,6888.48,850.068,157,116.26343,39.41625
1701515856,"2023-12-02 11:17:36",B7882,3U5144,6888.48,851.92,157,116.27911,39.38627
1701515872,"2023-12-02 11:17:52",B7882,3U5144,6888.48,855.624,158,116.296021,39.353772
1701515887,"2023-12-02 11:18:07",B7882,3U5144,6888.48,855.624,158,116.31354,39.32002
1701515901,"2023-12-02 11:18:21",B7882,3U5144,6888.48,855.624,157,116.32983,39.28892
1701515915,"2023-12-02 11:18:35",B7882,3U5144,6888.48,855.624,158,116.343384,39.262995
1701515930,"2023-12-02 11:18:50",B7882,3U5144,6888.48,855.624,157,116.35583,39.23921
1701515945,"2023-12-02 11:19:05",B7882,3U5144,6888.48,855.624,158,116.373099,39.206039
1701515956,"2023-12-02 11:19:16",B7882,3U5144,6888.48,855.624,158,116.384705,39.183717
1701515970,"2023-12-02 11:19:30",B7882,3U5144,6888.48,855.624,158,116.397042,39.160034
1701515985,"2023-12-02 11:19:45",B7882,3U5144,6888.48,851.92,157,116.41321,39.12883
1701516000,"2023-12-02 11:20:00",B7882,3U5144,6888.48,851.92,158,116.431641,39.093266
1701516015,"2023-12-02 11:20:15",B7882,3U5144,6888.48,851.92,158,116.444749,39.067886
1701516030,"2023-12-02 11:20:30",B7882,3U5144,6888.48,851.92,158,116.462952,39.032748
1701516045,"2023-12-02 11:20:45",B7882,3U5144,6888.48,853.772,157,116.47821,39.00328
1701516060,"2023-12-02 11:21:00",B7882,3U5144,6888.48,855.624,158,116.48941,38.981598
1701516075,"2023-12-02 11:21:15",B7882,3U5144,6888.48,855.624,158,116.505711,38.949921
1701516090,"2023-12-02 11:21:30",B7882,3U5144,6888.48,851.92,158,116.52417,38.914179
1701516105,"2023-12-02 11:21:45",B7882,3U5144,6888.48,853.772,158,116.539062,38.88527
1701516120,"2023-12-02 11:22:00",B7882,3U5144,6888.48,855.624,158,116.554552,38.855301
1701516135,"2023-12-02 11:22:15",B7882,3U5144,6896.1,855.624,158,116.565777,38.833466
1701516150,"2023-12-02 11:22:30",B7882,3U5144,7040.88,863.032,158,116.581242,38.803345
1701516165,"2023-12-02 11:22:45",B7882,3U5144,7292.34,870.44,158,116.596288,38.774048
1701516179,"2023-12-02 11:22:59",B7882,3U5144,7513.32,877.848,158,116.611932,38.743835
1701516194,"2023-12-02 11:23:14",B7882,3U5144,7673.34,896.368,158,116.627808,38.712794
