Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1689903640,"2023-07-21 01:40:40",B7879,CA1507,160.02,305.58,352,116.59546,40.08467
1689903651,"2023-07-21 01:40:51",B7879,CA1507,259.08,312.988,352,116.59391,40.09325
1689903665,"2023-07-21 01:41:05",B7879,CA1507,426.72,311.136,352,116.59178,40.10452
1689903676,"2023-07-21 01:41:16",B7879,CA1507,518.16,320.396,352,116.590332,40.112137
1689903690,"2023-07-21 01:41:30",B7879,CA1507,662.94,329.656,351,116.58804,40.12426
1689903706,"2023-07-21 01:41:46",B7879,CA1507,883.92,325.952,352,116.58551,40.13649
1689903720,"2023-07-21 01:42:00",B7879,CA1507,1089.66,325.952,353,116.58342,40.14833
1689903735,"2023-07-21 01:42:15",B7879,CA1507,1226.82,362.992,352,116.58118,40.16116
1689903750,"2023-07-21 01:42:30",B7879,CA1507,1318.26,411.144,351,116.57824,40.17561
1689903766,"2023-07-21 01:42:46",B7879,CA1507,1455.42,451.888,352,116.5753,40.19153
1689903781,"2023-07-21 01:43:01",B7879,CA1507,1592.58,490.78,352,116.57202,40.20914
1689903795,"2023-07-21 01:43:15",B7879,CA1507,1744.98,520.412,356,116.56903,40.22841
1689903810,"2023-07-21 01:43:30",B7879,CA1507,1897.38,524.116,12,116.5705,40.24259
1689903825,"2023-07-21 01:43:45",B7879,CA1507,2042.16,527.82,37,116.58167,40.26047
1689903841,"2023-07-21 01:44:01",B7879,CA1507,2125.98,527.82,62,116.601379,40.272903
1689903855,"2023-07-21 01:44:15",B7879,CA1507,2148.84,522.264,79,116.62599,40.27853
1689903870,"2023-07-21 01:44:30",B7879,CA1507,2148.84,522.264,80,116.65033,40.28188
1689903885,"2023-07-21 01:44:45",B7879,CA1507,2141.22,518.56,79,116.677429,40.285629
1689903900,"2023-07-21 01:45:00",B7879,CA1507,2156.46,520.412,79,116.703,40.28943
1689903915,"2023-07-21 01:45:15",B7879,CA1507,2141.22,518.56,80,116.727489,40.29287
1689903930,"2023-07-21 01:45:30",B7879,CA1507,2141.22,513.004,80,116.75233,40.29627
1689903945,"2023-07-21 01:45:45",B7879,CA1507,2141.22,513.004,80,116.777427,40.299714
1689903960,"2023-07-21 01:46:00",B7879,CA1507,2141.22,514.856,80,116.802209,40.303112
1689903975,"2023-07-21 01:46:15",B7879,CA1507,2141.22,518.56,80,116.827178,40.30651
1689903990,"2023-07-21 01:46:30",B7879,CA1507,2141.22,522.264,80,116.851868,40.309799
1689904005,"2023-07-21 01:46:45",B7879,CA1507,2141.22,520.412,80,116.87749,40.31326
1689904020,"2023-07-21 01:47:00",B7879,CA1507,2141.22,520.412,80,116.90258,40.31671
1689904035,"2023-07-21 01:47:15",B7879,CA1507,2141.22,518.56,79,116.92804,40.320328
1689904050,"2023-07-21 01:47:30",B7879,CA1507,2141.22,520.412,79,116.952147,40.323781
1689904065,"2023-07-21 01:47:45",B7879,CA1507,2141.22,522.264,80,116.977783,40.327377
1689904082,"2023-07-21 01:48:02",B7879,CA1507,2141.22,522.264,80,117.00293,40.330902
1689904095,"2023-07-21 01:48:15",B7879,CA1507,2141.22,518.56,79,117.027954,40.334335
1689904110,"2023-07-21 01:48:30",B7879,CA1507,2141.22,518.56,80,117.05246,40.33775
1689904125,"2023-07-21 01:48:45",B7879,CA1507,2141.22,518.56,79,117.077637,40.341248
1689904140,"2023-07-21 01:49:00",B7879,CA1507,2141.22,518.56,79,117.102398,40.34473
1689904155,"2023-07-21 01:49:15",B7879,CA1507,2141.22,520.412,80,117.127429,40.348314
1689904171,"2023-07-21 01:49:31",B7879,CA1507,2141.22,520.412,79,117.152523,40.351899
1689904185,"2023-07-21 01:49:45",B7879,CA1507,2179.32,522.264,80,117.178589,40.355621
1689904200,"2023-07-21 01:50:00",B7879,CA1507,2247.9,492.632,80,117.202881,40.359009
1689904215,"2023-07-21 01:50:15",B7879,CA1507,2316.48,492.632,80,117.225806,40.36214
1689904226,"2023-07-21 01:50:26",B7879,CA1507,2362.2,494.484,80,117.241821,40.364273
1689904241,"2023-07-21 01:50:41",B7879,CA1507,2446.02,492.632,79,117.265747,40.367615
1689904255,"2023-07-21 01:50:55",B7879,CA1507,2575.56,507.448,55,117.288635,40.374664
1689904271,"2023-07-21 01:51:11",B7879,CA1507,2735.58,514.856,31,117.30533,40.38863
1689904285,"2023-07-21 01:51:25",B7879,CA1507,2880.36,524.116,4,117.312439,40.407074
1689904300,"2023-07-21 01:51:40",B7879,CA1507,3048,525.968,337,117.30758,40.42722
1689904315,"2023-07-21 01:51:55",B7879,CA1507,3208.02,522.264,311,117.291724,40.443141
1689904330,"2023-07-21 01:52:10",B7879,CA1507,3375.66,509.3,283,117.26904,40.45152
1689904341,"2023-07-21 01:52:21",B7879,CA1507,3528.06,498.188,266,117.25221,40.45213
1689904355,"2023-07-21 01:52:35",B7879,CA1507,3741.42,485.224,237,117.230738,40.446074
1689904371,"2023-07-21 01:52:51",B7879,CA1507,3977.64,479.668,208,117.21532,40.43267
1689904386,"2023-07-21 01:53:06",B7879,CA1507,4168.14,496.336,180,117.21002,40.41486
1689904400,"2023-07-21 01:53:20",B7879,CA1507,4366.26,507.448,170,117.212885,40.396263
1689904411,"2023-07-21 01:53:31",B7879,CA1507,4495.8,513.004,169,117.21594,40.38387
1689904425,"2023-07-21 01:53:45",B7879,CA1507,4671.06,522.264,170,117.22058,40.3645
1689904441,"2023-07-21 01:54:01",B7879,CA1507,4853.94,525.968,170,117.22512,40.34557
1689904455,"2023-07-21 01:54:15",B7879,CA1507,5067.3,525.968,170,117.229736,40.32605
1689904470,"2023-07-21 01:54:30",B7879,CA1507,5250.18,529.672,170,117.23431,40.30632
1689904481,"2023-07-21 01:54:41",B7879,CA1507,5356.86,537.08,170,117.23723,40.29334
1689904495,"2023-07-21 01:54:55",B7879,CA1507,5433.06,563.008,171,117.2417,40.27313
1689904510,"2023-07-21 01:55:10",B7879,CA1507,5494.02,590.788,170,117.246406,40.251625
1689904521,"2023-07-21 01:55:21",B7879,CA1507,5539.74,611.16,170,117.249756,40.236374
1689904535,"2023-07-21 01:55:35",B7879,CA1507,5608.32,637.088,170,117.25476,40.21326
1689904550,"2023-07-21 01:55:50",B7879,CA1507,5684.52,659.312,171,117.259889,40.189711
1689904565,"2023-07-21 01:56:05",B7879,CA1507,5753.1,681.536,174,117.26445,40.16411
1689904580,"2023-07-21 01:56:20",B7879,CA1507,5829.3,703.76,176,117.26713,40.138783
1689904595,"2023-07-21 01:56:35",B7879,CA1507,5943.6,718.576,176,117.269531,40.11232
1689904610,"2023-07-21 01:56:50",B7879,CA1507,6004.56,716.724,176,117.27191,40.08545
1689904626,"2023-07-21 01:57:06",B7879,CA1507,6004.56,707.464,176,117.27418,40.05867
1689904640,"2023-07-21 01:57:20",B7879,CA1507,6004.56,709.316,175,117.276806,40.031433
1689904656,"2023-07-21 01:57:36",B7879,CA1507,5996.94,711.168,175,117.27993,40.0042
1689904670,"2023-07-21 01:57:50",B7879,CA1507,5996.94,705.612,175,117.28305,39.97711
1689904685,"2023-07-21 01:58:05",B7879,CA1507,5996.94,701.908,175,117.28604,39.9508
1689904700,"2023-07-21 01:58:20",B7879,CA1507,6004.56,701.908,175,117.28894,39.92331
1689904715,"2023-07-21 01:58:35",B7879,CA1507,6050.28,711.168,176,117.29153,39.8958
1689904730,"2023-07-21 01:58:50",B7879,CA1507,6149.34,720.428,176,117.29388,39.86952
1689904745,"2023-07-21 01:59:05",B7879,CA1507,6271.26,725.984,176,117.29631,39.84224
1689904762,"2023-07-21 01:59:22",B7879,CA1507,6423.66,731.54,177,117.29828,39.81552
1689904776,"2023-07-21 01:59:36",B7879,CA1507,6530.34,735.244,177,117.2998,39.79504
1689904791,"2023-07-21 01:59:51",B7879,CA1507,6652.26,742.652,176,117.30204,39.76721
1689904806,"2023-07-21 02:00:06",B7879,CA1507,6781.8,751.912,176,117.30449,39.7381
1689904820,"2023-07-21 02:00:20",B7879,CA1507,6903.72,759.32,176,117.30688,39.70892
1689904835,"2023-07-21 02:00:35",B7879,CA1507,7025.64,763.024,177,117.30914,39.68122
1689904850,"2023-07-21 02:00:50",B7879,CA1507,7155.18,768.58,177,117.31112,39.65277
1689904865,"2023-07-21 02:01:05",B7879,CA1507,7269.48,772.284,177,117.31297,39.62393
1689904879,"2023-07-21 02:01:19",B7879,CA1507,7376.16,781.544,177,117.31506,39.59468
1689904894,"2023-07-21 02:01:34",B7879,CA1507,7467.6,790.804,174,117.31824,39.56098
1689904909,"2023-07-21 02:01:49",B7879,CA1507,7597.14,794.508,174,117.32196,39.53137
1689904920,"2023-07-21 02:02:00",B7879,CA1507,7680.96,796.36,174,117.32455,39.51178
1689904934,"2023-07-21 02:02:14",B7879,CA1507,7787.64,801.916,174,117.32843,39.48157
1689904949,"2023-07-21 02:02:29",B7879,CA1507,7894.32,805.62,174,117.33231,39.4519
1689904963,"2023-07-21 02:02:43",B7879,CA1507,8001,803.768,174,117.33496,39.43044
1689904978,"2023-07-21 02:02:58",B7879,CA1507,8100.06,801.916,174,117.33844,39.40042
1689904989,"2023-07-21 02:03:09",B7879,CA1507,8107.68,796.36,175,117.34082,39.37891
1689905003,"2023-07-21 02:03:23",B7879,CA1507,8100.06,796.36,175,117.34419,39.35019
1689905014,"2023-07-21 02:03:34",B7879,CA1507,8100.06,811.176,175,117.34646,39.33014
1689905029,"2023-07-21 02:03:49",B7879,CA1507,8107.68,831.548,174,117.35005,39.29906
1689905043,"2023-07-21 02:04:03",B7879,CA1507,8107.68,848.216,168,117.35846,39.26678
1689905059,"2023-07-21 02:04:19",B7879,CA1507,8100.06,877.848,150,117.37703,39.23378
