Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1677569997,"2023-02-28 07:39:57",B5946,CA1515,-22.86,290.764,354,116.6145,40.07938
1677570002,"2023-02-28 07:40:02",B5946,CA1515,68.58,283.356,355,116.61401,40.08316
1677570017,"2023-02-28 07:40:17",B5946,CA1515,312.42,270.392,356,116.61276,40.09349
1677570032,"2023-02-28 07:40:32",B5946,CA1515,533.4,266.688,3,116.61237,40.10394
1677570047,"2023-02-28 07:40:47",B5946,CA1515,678.18,292.616,24,116.61694,40.11365
1677570062,"2023-02-28 07:41:02",B5946,CA1515,868.68,292.616,27,116.62306,40.12342
1677570077,"2023-02-28 07:41:17",B5946,CA1515,1028.7,303.728,29,116.63,40.13315
1677570092,"2023-02-28 07:41:32",B5946,CA1515,1120.14,353.732,28,116.63798,40.14418
1677570107,"2023-02-28 07:41:47",B5946,CA1515,1188.72,403.736,32,116.64715,40.15675
1677570122,"2023-02-28 07:42:02",B5946,CA1515,1280.16,457.444,60,116.66232,40.16755
1677570137,"2023-02-28 07:42:17",B5946,CA1515,1463.04,488.928,84,116.68517,40.17151
1677570152,"2023-02-28 07:42:32",B5946,CA1515,1691.64,505.596,85,116.70957,40.17295
1677570167,"2023-02-28 07:42:47",B5946,CA1515,1912.62,514.856,84,116.7345,40.17467
1677570182,"2023-02-28 07:43:02",B5946,CA1515,2179.32,518.56,85,116.7602,40.17658
1677570197,"2023-02-28 07:43:17",B5946,CA1515,2407.92,538.932,107,116.78535,40.17477
1677570212,"2023-02-28 07:43:32",B5946,CA1515,2667,548.192,129,116.80792,40.16451
1677570227,"2023-02-28 07:43:47",B5946,CA1515,2987.04,542.636,147,116.82489,40.14839
1677570242,"2023-02-28 07:44:02",B5946,CA1515,3185.16,551.896,170,116.8335,40.12958
1677570257,"2023-02-28 07:44:17",B5946,CA1515,3390.9,561.156,187,116.83221,40.1082
1677570272,"2023-02-28 07:44:32",B5946,CA1515,3543.3,585.232,186,116.82928,40.0865
1677570287,"2023-02-28 07:44:47",B5946,CA1515,3741.42,601.9,185,116.82672,40.0648
1677570302,"2023-02-28 07:45:02",B5946,CA1515,3985.26,605.604,185,116.82424,40.04219
1677570317,"2023-02-28 07:45:17",B5946,CA1515,4175.76,620.42,185,116.82172,40.0193
