Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1700708673,"2023-11-23 03:04:33",B7881,HO5325,15.24,268.54,354,116.596652,40.078451
1700708688,"2023-11-23 03:04:48",B7881,HO5325,251.46,255.576,354,116.59534,40.08827
1700708703,"2023-11-23 03:05:03",B7881,HO5325,457.2,255.576,352,116.59359,40.09796
1700708718,"2023-11-23 03:05:18",B7881,HO5325,678.18,259.28,353,116.5918,40.1076
1700708733,"2023-11-23 03:05:33",B7881,HO5325,906.78,262.984,352,116.59015,40.11731
1700708748,"2023-11-23 03:05:48",B7881,HO5325,1059.18,294.468,353,116.58822,40.12775
1700708763,"2023-11-23 03:06:03",B7881,HO5325,1181.1,338.916,352,116.586121,40.13974
1700708778,"2023-11-23 03:06:18",B7881,HO5325,1318.26,377.808,352,116.58379,40.15303
1700708793,"2023-11-23 03:06:33",B7881,HO5325,1463.04,420.404,352,116.58105,40.16806
1700708808,"2023-11-23 03:06:48",B7881,HO5325,1699.26,437.072,352,116.578,40.1846
1700708823,"2023-11-23 03:07:03",B7881,HO5325,1935.48,444.48,352,116.575179,40.200371
1700708838,"2023-11-23 03:07:18",B7881,HO5325,2118.36,435.22,350,116.571995,40.216711
1700708853,"2023-11-23 03:07:33",B7881,HO5325,2240.28,437.072,324,116.563443,40.231608
1700708868,"2023-11-23 03:07:48",B7881,HO5325,2270.76,468.556,296,116.546027,40.242035
1700708883,"2023-11-23 03:08:03",B7881,HO5325,2461.26,488.928,271,116.52212,40.245108
1700708898,"2023-11-23 03:08:18",B7881,HO5325,2773.68,485.224,267,116.498413,40.244156
1700708913,"2023-11-23 03:08:33",B7881,HO5325,3048,492.632,268,116.473368,40.243199
1700708928,"2023-11-23 03:08:48",B7881,HO5325,3238.5,520.412,268,116.449959,40.242454
1700708943,"2023-11-23 03:09:03",B7881,HO5325,3398.52,553.748,268,116.42299,40.24162
1700708958,"2023-11-23 03:09:18",B7881,HO5325,3787.14,542.636,269,116.39515,40.24092
1700708973,"2023-11-23 03:09:33",B7881,HO5325,4099.56,568.564,269,116.365723,40.240448
1700708988,"2023-11-23 03:09:48",B7881,HO5325,4419.6,577.824,270,116.338196,40.240265
1700709008,"2023-11-23 03:10:08",B7881,HO5325,4953,594.492,263,116.295654,40.237976
1700709023,"2023-11-23 03:10:23",B7881,HO5325,5257.8,624.124,246,116.26813,40.23097
1700709038,"2023-11-23 03:10:38",B7881,HO5325,5532.12,659.312,229,116.242156,40.217642
1700709058,"2023-11-23 03:10:58",B7881,HO5325,5768.34,677.832,217,116.218506,40.196136
1700709073,"2023-11-23 03:11:13",B7881,HO5325,5913.12,681.536,215,116.199896,40.17635
1700709088,"2023-11-23 03:11:28",B7881,HO5325,5989.32,666.72,214,116.177307,40.151093
1700709103,"2023-11-23 03:11:43",B7881,HO5325,6012.18,642.644,215,116.15826,40.12962
1700709118,"2023-11-23 03:11:58",B7881,HO5325,6004.56,640.792,215,116.140844,40.110246
1700709133,"2023-11-23 03:12:13",B7881,HO5325,6012.18,629.68,215,116.122554,40.090089
1700709144,"2023-11-23 03:12:24",B7881,HO5325,6019.8,635.236,215,116.111206,40.077759
1700709158,"2023-11-23 03:12:38",B7881,HO5325,6004.56,674.128,216,116.092342,40.057456
1700709173,"2023-11-23 03:12:53",B7881,HO5325,6004.56,701.908,215,116.072429,40.036042
1700709200,"2023-11-23 03:13:20",B7881,HO5325,6004.56,714.872,215,116.037535,39.998148
1700709220,"2023-11-23 03:13:40",B7881,HO5325,6004.56,718.576,215,116.014564,39.97287
1700709235,"2023-11-23 03:13:55",B7881,HO5325,6004.56,735.244,205,115.998084,39.949874
1700709250,"2023-11-23 03:14:10",B7881,HO5325,6004.56,753.764,192,115.98718,39.92299
1700709265,"2023-11-23 03:14:25",B7881,HO5325,6004.56,770.432,180,115.98438,39.89457
1700709280,"2023-11-23 03:14:40",B7881,HO5325,6019.8,787.1,165,115.99103,39.8644
1700709295,"2023-11-23 03:14:55",B7881,HO5325,6004.56,805.62,157,116.00592,39.83512
1700709310,"2023-11-23 03:15:10",B7881,HO5325,5996.94,811.176,156,116.02112,39.80786
1700709325,"2023-11-23 03:15:25",B7881,HO5325,6012.18,811.176,156,116.03973,39.77526
1700709340,"2023-11-23 03:15:40",B7881,HO5325,6012.18,814.88,156,116.05205,39.75394
1700709355,"2023-11-23 03:15:55",B7881,HO5325,6050.28,805.62,155,116.07014,39.72263
1700709370,"2023-11-23 03:16:10",B7881,HO5325,6156.96,796.36,156,116.08841,39.69077
1700709385,"2023-11-23 03:16:25",B7881,HO5325,6271.26,818.584,156,116.10399,39.6628
1700709400,"2023-11-23 03:16:40",B7881,HO5325,6393.18,838.956,156,116.12,39.6343
1700709415,"2023-11-23 03:16:55",B7881,HO5325,6492.24,838.956,156,116.13128,39.61395
1700709430,"2023-11-23 03:17:10",B7881,HO5325,6614.16,840.808,156,116.14752,39.58472
1700709445,"2023-11-23 03:17:25",B7881,HO5325,6743.7,842.66,156,116.16466,39.55389
1700709460,"2023-11-23 03:17:40",B7881,HO5325,6865.62,850.068,156,116.18305,39.52061
1700709475,"2023-11-23 03:17:55",B7881,HO5325,6888.48,868.588,156,116.19946,39.49078
1700709490,"2023-11-23 03:18:10",B7881,HO5325,6880.86,874.144,156,116.21601,39.46069
1700709505,"2023-11-23 03:18:25",B7881,HO5325,6888.48,866.736,156,116.23224,39.43147
1700709520,"2023-11-23 03:18:40",B7881,HO5325,6896.1,864.884,156,116.24542,39.40759
1700709535,"2023-11-23 03:18:55",B7881,HO5325,6888.48,864.884,156,116.26422,39.37356
1700709550,"2023-11-23 03:19:10",B7881,HO5325,6888.48,861.18,156,116.28198,39.34139
1700709565,"2023-11-23 03:19:25",B7881,HO5325,6896.1,863.032,157,116.29805,39.31242
1700709581,"2023-11-23 03:19:41",B7881,HO5325,6888.48,863.032,157,116.31297,39.28523
1700709595,"2023-11-23 03:19:55",B7881,HO5325,6888.48,863.032,156,116.33023,39.25388
1700709610,"2023-11-23 03:20:10",B7881,HO5325,6888.48,864.884,156,116.34814,39.22128
1700709630,"2023-11-23 03:20:30",B7881,HO5325,6880.86,863.032,157,116.36816,39.18483
1700709645,"2023-11-23 03:20:45",B7881,HO5325,6896.1,859.328,156,116.3857,39.15289
1700709661,"2023-11-23 03:21:01",B7881,HO5325,6896.1,859.328,157,116.401938,39.12323
1700709675,"2023-11-23 03:21:15",B7881,HO5325,6888.48,861.18,156,116.4151,39.099178
1700709696,"2023-11-23 03:21:36",B7881,HO5325,6934.2,853.772,156,116.438539,39.056305
1700709710,"2023-11-23 03:21:50",B7881,HO5325,7025.64,846.364,157,116.454346,39.027534
1700709725,"2023-11-23 03:22:05",B7881,HO5325,7147.56,861.18,157,116.473511,38.992387
1700709740,"2023-11-23 03:22:20",B7881,HO5325,7216.14,872.292,157,116.48535,38.97052
1700709760,"2023-11-23 03:22:40",B7881,HO5325,7475.22,903.776,157,116.509949,38.925259
1700709775,"2023-11-23 03:22:55",B7881,HO5325,7719.06,918.592,157,116.529355,38.889679
1700709789,"2023-11-23 03:23:09",B7881,HO5325,7879.08,922.296,157,116.541992,38.86651
1700709804,"2023-11-23 03:23:24",B7881,HO5325,8077.2,933.408,157,116.55994,38.8336
1700709819,"2023-11-23 03:23:39",B7881,HO5325,8290.56,944.52,157,116.5788,38.79896
1700709834,"2023-11-23 03:23:54",B7881,HO5325,8366.76,957.484,157,116.593384,38.771916
1700709849,"2023-11-23 03:24:09",B7881,HO5325,8534.4,974.152,157,116.611753,38.738022
1700709864,"2023-11-23 03:24:24",B7881,HO5325,8770.62,981.56,157,116.633545,38.697618
1700709879,"2023-11-23 03:24:39",B7881,HO5325,8923.02,974.152,165,116.647888,38.66289
1700709899,"2023-11-23 03:24:59",B7881,HO5325,9105.9,953.78,173,116.656713,38.62326
1700709914,"2023-11-23 03:25:14",B7881,HO5325,9281.16,933.408,181,116.658386,38.588128
1700709928,"2023-11-23 03:25:28",B7881,HO5325,9418.32,911.184,185,116.65509,38.551677
1700709943,"2023-11-23 03:25:43",B7881,HO5325,9479.28,892.664,185,116.651578,38.516418
1700709958,"2023-11-23 03:25:58",B7881,HO5325,9479.28,877.848,185,116.647949,38.483851
1700709974,"2023-11-23 03:26:14",B7881,HO5325,9479.28,870.44,185,116.644226,38.452102
1700709988,"2023-11-23 03:26:28",B7881,HO5325,9479.28,866.736,185,116.64032,38.419888
1700710003,"2023-11-23 03:26:43",B7881,HO5325,9479.28,866.736,186,116.636173,38.38623
1700710018,"2023-11-23 03:26:58",B7881,HO5325,9479.28,866.736,186,116.632054,38.352387
1700710033,"2023-11-23 03:27:13",B7881,HO5325,9479.28,881.552,182,116.62934,38.31871
1700710048,"2023-11-23 03:27:28",B7881,HO5325,9479.28,914.888,174,116.631994,38.283722
1700710063,"2023-11-23 03:27:43",B7881,HO5325,9479.28,933.408,169,116.638164,38.255676
1700710078,"2023-11-23 03:27:58",B7881,HO5325,9479.28,951.928,163,116.649969,38.22226
1700710093,"2023-11-23 03:28:13",B7881,HO5325,9479.28,948.224,164,116.662505,38.188477
1700710108,"2023-11-23 03:28:28",B7881,HO5325,9479.28,944.52,163,116.675223,38.154493
1700710123,"2023-11-23 03:28:43",B7881,HO5325,9479.28,940.816,163,116.687941,38.12065
1700710138,"2023-11-23 03:28:58",B7881,HO5325,9479.28,940.816,163,116.700658,38.086853
1700710153,"2023-11-23 03:29:13",B7881,HO5325,9479.28,944.52,163,116.714332,38.05152
1700710168,"2023-11-23 03:29:28",B7881,HO5325,9479.28,940.816,163,116.727049,38.018887
1700710183,"2023-11-23 03:29:43",B7881,HO5325,9479.28,940.816,163,116.740484,37.984252
1700710198,"2023-11-23 03:29:58",B7881,HO5325,9479.28,942.668,163,116.753261,37.951153
1700710213,"2023-11-23 03:30:13",B7881,HO5325,9479.28,942.668,163,116.766377,37.917252
1700710228,"2023-11-23 03:30:28",B7881,HO5325,9479.28,944.52,163,116.77912,37.88383
1700710243,"2023-11-23 03:30:43",B7881,HO5325,9479.28,944.52,163,116.792148,37.849548
1700710258,"2023-11-23 03:30:58",B7881,HO5325,9479.28,944.52,163,116.80461,37.81694
1700710273,"2023-11-23 03:31:13",B7881,HO5325,9479.28,944.52,163,116.81751,37.782944
1700710288,"2023-11-23 03:31:28",B7881,HO5325,9479.28,944.52,163,116.830405,37.74893
1700710302,"2023-11-23 03:31:42",B7881,HO5325,9479.28,944.52,163,116.84318,37.71504
1700710317,"2023-11-23 03:31:57",B7881,HO5325,9479.28,940.816,163,116.856318,37.680312
1700710332,"2023-11-23 03:32:12",B7881,HO5325,9479.28,940.816,163,116.868678,37.6474
1700710347,"2023-11-23 03:32:27",B7881,HO5325,9479.28,940.816,163,116.882828,37.609506
1700710362,"2023-11-23 03:32:42",B7881,HO5325,9479.28,940.816,164,116.89489,37.57711
1700710377,"2023-11-23 03:32:57",B7881,HO5325,9479.28,940.816,163,116.907249,37.543961
1700710392,"2023-11-23 03:33:12",B7881,HO5325,9479.28,944.52,163,116.92024,37.50902
1700710407,"2023-11-23 03:33:27",B7881,HO5325,9479.28,944.52,163,116.93388,37.4725
1700710418,"2023-11-23 03:33:38",B7881,HO5325,9479.28,942.668,163,116.9423,37.45016
1700710432,"2023-11-23 03:33:52",B7881,HO5325,9479.28,940.816,163,116.95496,37.41618
1700710447,"2023-11-23 03:34:07",B7881,HO5325,9479.28,938.964,163,116.966994,37.384003
1700710462,"2023-11-23 03:34:22",B7881,HO5325,9479.28,937.112,163,116.98009,37.34881
1700710477,"2023-11-23 03:34:37",B7881,HO5325,9479.28,937.112,163,116.99287,37.31567
1700710492,"2023-11-23 03:34:52",B7881,HO5325,9479.28,942.668,161,117.00696,37.28173
1700710507,"2023-11-23 03:35:07",B7881,HO5325,9479.28,948.224,160,117.021889,37.248308
1700710522,"2023-11-23 03:35:22",B7881,HO5325,9479.28,948.224,159,117.03765,37.2153
1700710537,"2023-11-23 03:35:37",B7881,HO5325,9479.28,948.224,159,117.052937,37.182995
1700710552,"2023-11-23 03:35:52",B7881,HO5325,9479.28,948.224,159,117.068442,37.149765
1700710567,"2023-11-23 03:36:07",B7881,HO5325,9471.66,951.928,159,117.084922,37.11438
1700710582,"2023-11-23 03:36:22",B7881,HO5325,9479.28,948.224,160,117.09579,37.09103
1700710597,"2023-11-23 03:36:37",B7881,HO5325,9479.28,944.52,159,117.11223,37.05595
1700710612,"2023-11-23 03:36:52",B7881,HO5325,9479.28,942.668,160,117.127871,37.02239
1700710627,"2023-11-23 03:37:07",B7881,HO5325,9479.28,942.668,160,117.143301,36.989182
1700710642,"2023-11-23 03:37:22",B7881,HO5325,9479.28,940.816,160,117.15832,36.956772
1700710657,"2023-11-23 03:37:37",B7881,HO5325,9479.28,944.52,160,117.173748,36.923355
1700710672,"2023-11-23 03:37:52",B7881,HO5325,9479.28,944.52,160,117.189117,36.890167
1700710687,"2023-11-23 03:38:07",B7881,HO5325,9479.28,935.26,161,117.203761,36.857083
1700710703,"2023-11-23 03:38:23",B7881,HO5325,9479.28,926,163,117.217026,36.82338
1700710717,"2023-11-23 03:38:37",B7881,HO5325,9479.28,918.592,165,117.22836,36.79083
1700710732,"2023-11-23 03:38:52",B7881,HO5325,9479.28,914.888,167,117.239,36.75572
1700710747,"2023-11-23 03:39:07",B7881,HO5325,9479.28,911.184,166,117.24849,36.72371
1700710762,"2023-11-23 03:39:22",B7881,HO5325,9479.28,907.48,166,117.25845,36.69044
1700710777,"2023-11-23 03:39:37",B7881,HO5325,9471.66,911.184,167,117.268009,36.658401
1700710792,"2023-11-23 03:39:52",B7881,HO5325,9479.28,907.48,166,117.278,36.62474
1700710807,"2023-11-23 03:40:07",B7881,HO5325,9479.28,903.776,167,117.288111,36.590804
1700710822,"2023-11-23 03:40:22",B7881,HO5325,9479.28,903.776,166,117.297928,36.557891
1700710837,"2023-11-23 03:40:37",B7881,HO5325,9479.28,900.072,166,117.307337,36.526375
1700710852,"2023-11-23 03:40:52",B7881,HO5325,9479.28,900.072,166,117.3171,36.49337
1700710867,"2023-11-23 03:41:07",B7881,HO5325,9479.28,898.22,166,117.32689,36.46046
1700710882,"2023-11-23 03:41:22",B7881,HO5325,9479.28,898.22,167,117.336556,36.427824
1700710897,"2023-11-23 03:41:37",B7881,HO5325,9479.28,900.072,166,117.346458,36.394501
1700710912,"2023-11-23 03:41:52",B7881,HO5325,9479.28,898.22,166,117.35613,36.36209
1700710927,"2023-11-23 03:42:07",B7881,HO5325,9479.28,896.368,166,117.36566,36.32983
1700710942,"2023-11-23 03:42:22",B7881,HO5325,9479.28,900.072,166,117.375355,36.297226
1700710957,"2023-11-23 03:42:37",B7881,HO5325,9479.28,898.22,167,117.385082,36.264221
1700710972,"2023-11-23 03:42:52",B7881,HO5325,9479.28,896.368,167,117.395954,36.227554
1700710987,"2023-11-23 03:43:07",B7881,HO5325,9479.28,890.812,166,117.4051,36.19679
1700711002,"2023-11-23 03:43:22",B7881,HO5325,9479.28,892.664,166,117.41478,36.16393
1700711017,"2023-11-23 03:43:37",B7881,HO5325,9479.28,894.516,167,117.42468,36.13023
1700711032,"2023-11-23 03:43:52",B7881,HO5325,9479.28,896.368,167,117.43383,36.09888
1700711047,"2023-11-23 03:44:07",B7881,HO5325,9479.28,894.516,166,117.444374,36.063181
1700711062,"2023-11-23 03:44:22",B7881,HO5325,9479.28,892.664,166,117.453899,36.030827
1700711077,"2023-11-23 03:44:37",B7881,HO5325,9479.28,887.108,166,117.463483,35.998333
1700711091,"2023-11-23 03:44:51",B7881,HO5325,9479.28,883.404,167,117.47295,35.966073
1700711106,"2023-11-23 03:45:06",B7881,HO5325,9479.28,881.552,166,117.4823,35.934091
1700711121,"2023-11-23 03:45:21",B7881,HO5325,9479.28,885.256,167,117.49206,35.90053
1700711136,"2023-11-23 03:45:36",B7881,HO5325,9479.28,883.404,167,117.49849,35.8786
1700711151,"2023-11-23 03:45:51",B7881,HO5325,9479.28,881.552,167,117.507935,35.846283
1700711165,"2023-11-23 03:46:05",B7881,HO5325,9479.28,877.848,166,117.51732,35.81419
1700711180,"2023-11-23 03:46:20",B7881,HO5325,9479.28,877.848,166,117.527103,35.780594
1700711195,"2023-11-23 03:46:35",B7881,HO5325,9479.28,877.848,166,117.5362,35.74956
1700711210,"2023-11-23 03:46:50",B7881,HO5325,9479.28,872.292,166,117.545414,35.718063
1700711225,"2023-11-23 03:47:05",B7881,HO5325,9479.28,870.44,167,117.554821,35.685735
1700711240,"2023-11-23 03:47:20",B7881,HO5325,9479.28,866.736,167,117.564125,35.654022
1700711255,"2023-11-23 03:47:35",B7881,HO5325,9479.28,863.032,166,117.5737,35.62089
1700711270,"2023-11-23 03:47:50",B7881,HO5325,9479.28,863.032,166,117.58307,35.58861
1700711281,"2023-11-23 03:48:01",B7881,HO5325,9479.28,863.032,167,117.58889,35.56833
1700711295,"2023-11-23 03:48:15",B7881,HO5325,9479.28,864.884,166,117.598241,35.536163
1700711310,"2023-11-23 03:48:30",B7881,HO5325,9479.28,866.736,166,117.60778,35.50314
1700711325,"2023-11-23 03:48:45",B7881,HO5325,9479.28,866.736,166,117.61694,35.47164
1700711340,"2023-11-23 03:49:00",B7881,HO5325,9479.28,866.736,166,117.62617,35.4398
1700711355,"2023-11-23 03:49:15",B7881,HO5325,9479.28,870.44,166,117.63605,35.40541
1700711370,"2023-11-23 03:49:30",B7881,HO5325,9479.28,872.292,167,117.64498,35.37424
1700711385,"2023-11-23 03:49:45",B7881,HO5325,9479.28,872.292,166,117.65459,35.34091
1700711400,"2023-11-23 03:50:00",B7881,HO5325,9479.28,870.44,166,117.66352,35.3101
1700711415,"2023-11-23 03:50:15",B7881,HO5325,9479.28,870.44,166,117.67267,35.27852
1700711430,"2023-11-23 03:50:30",B7881,HO5325,9479.28,874.144,166,117.68204,35.24614
1700711445,"2023-11-23 03:50:45",B7881,HO5325,9479.28,877.848,166,117.69115,35.21439
1700711460,"2023-11-23 03:51:00",B7881,HO5325,9479.28,874.144,166,117.70042,35.18223
1700711475,"2023-11-23 03:51:15",B7881,HO5325,9479.28,874.144,167,117.70954,35.15067
1700711490,"2023-11-23 03:51:30",B7881,HO5325,9479.28,874.144,166,117.71867,35.11876
1700711505,"2023-11-23 03:51:45",B7881,HO5325,9479.28,874.144,166,117.7277,35.08722
1700711520,"2023-11-23 03:52:00",B7881,HO5325,9479.28,877.848,166,117.7347,35.06282
1700711535,"2023-11-23 03:52:15",B7881,HO5325,9479.28,874.144,166,117.74363,35.03149
1700711550,"2023-11-23 03:52:30",B7881,HO5325,9464.04,859.328,166,117.75275,34.99992
1700711565,"2023-11-23 03:52:45",B7881,HO5325,9486.9,835.252,166,117.76217,34.96757
1700711580,"2023-11-23 03:53:00",B7881,HO5325,9479.28,814.88,168,117.77019,34.93785
1700711595,"2023-11-23 03:53:15",B7881,HO5325,9486.9,757.468,182,117.77209,34.90974
1700711610,"2023-11-23 03:53:30",B7881,HO5325,9479.28,722.28,195,117.76674,34.88248
1700711625,"2023-11-23 03:53:45",B7881,HO5325,9479.28,724.132,196,117.75713,34.85631
1700711640,"2023-11-23 03:54:00",B7881,HO5325,9479.28,766.728,184,117.75208,34.82904
1700711655,"2023-11-23 03:54:15",B7881,HO5325,9479.28,805.62,174,117.75375,34.79919
1700711670,"2023-11-23 03:54:30",B7881,HO5325,9479.28,829.696,167,117.76066,34.76852
1700711685,"2023-11-23 03:54:45",B7881,HO5325,9479.28,837.104,165,117.77024,34.73799
1700711700,"2023-11-23 03:55:00",B7881,HO5325,9479.28,837.104,164,117.78042,34.70874
1700711715,"2023-11-23 03:55:15",B7881,HO5325,9479.28,837.104,163,117.79198,34.67686
1700711730,"2023-11-23 03:55:30",B7881,HO5325,9479.28,838.956,163,117.80404,34.64406
1700711745,"2023-11-23 03:55:45",B7881,HO5325,9479.28,844.512,163,117.81487,34.61457
1700711760,"2023-11-23 03:56:00",B7881,HO5325,9479.28,842.66,163,117.82614,34.5837
1700711775,"2023-11-23 03:56:15",B7881,HO5325,9479.28,844.512,163,117.83707,34.55363
1700711790,"2023-11-23 03:56:30",B7881,HO5325,9479.28,850.068,163,117.84822,34.52272
1700711805,"2023-11-23 03:56:45",B7881,HO5325,9479.28,851.92,163,117.85914,34.49222
1700711820,"2023-11-23 03:57:00",B7881,HO5325,9479.28,853.772,163,117.87002,34.46191
1700711835,"2023-11-23 03:57:15",B7881,HO5325,9479.28,855.624,163,117.88123,34.4306
1700711850,"2023-11-23 03:57:30",B7881,HO5325,9479.28,855.624,163,117.89291,34.39782
1700711865,"2023-11-23 03:57:45",B7881,HO5325,9479.28,853.772,163,117.90367,34.36766
1700711880,"2023-11-23 03:58:00",B7881,HO5325,9479.28,851.92,163,117.91469,34.33685
1700711895,"2023-11-23 03:58:15",B7881,HO5325,9479.28,848.216,163,117.9233,34.31272
1700711910,"2023-11-23 03:58:30",B7881,HO5325,9479.28,842.66,163,117.93414,34.28238
1700711925,"2023-11-23 03:58:45",B7881,HO5325,9479.28,838.956,163,117.94579,34.24955
1700711940,"2023-11-23 03:59:00",B7881,HO5325,9479.28,840.808,163,117.95689,34.21901
1700711955,"2023-11-23 03:59:15",B7881,HO5325,9479.28,835.252,163,117.96822,34.18815
1700711970,"2023-11-23 03:59:30",B7881,HO5325,9479.28,833.4,163,117.97881,34.1591
1700711985,"2023-11-23 03:59:45",B7881,HO5325,9479.28,831.548,163,117.98985,34.12889
1700712000,"2023-11-23 04:00:00",B7881,HO5325,9479.28,829.696,163,118.00089,34.09868
1700712015,"2023-11-23 04:00:15",B7881,HO5325,9479.28,827.844,163,118.01193,34.06828
1700712030,"2023-11-23 04:00:30",B7881,HO5325,9479.28,829.696,163,118.02303,34.03774
1700712045,"2023-11-23 04:00:45",B7881,HO5325,9479.28,840.808,163,118.03356,34.00846
1700712061,"2023-11-23 04:01:01",B7881,HO5325,9479.28,851.92,163,118.04455,33.97797
1700712075,"2023-11-23 04:01:15",B7881,HO5325,9479.28,855.624,163,118.05589,33.94679
1700712090,"2023-11-23 04:01:30",B7881,HO5325,9479.28,855.624,162,118.0671,33.91631
1700712105,"2023-11-23 04:01:45",B7881,HO5325,9479.28,859.328,162,118.07848,33.88542
