Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1698454685,"2023-10-28 00:58:05",B7839,HU7603,53.34,305.58,354,116.56995,40.10037
1698454700,"2023-10-28 00:58:20",B7839,HU7603,190.5,316.692,351,116.56799,40.11154
1698454715,"2023-10-28 00:58:35",B7839,HU7603,335.28,327.804,327,116.56238,40.12286
1698454730,"2023-10-28 00:58:50",B7839,HU7603,480.06,338.916,317,116.5514,40.13227
1698454745,"2023-10-28 00:59:05",B7839,HU7603,647.7,348.176,317,116.53992,40.14185
1698454760,"2023-10-28 00:59:20",B7839,HU7603,868.68,348.176,317,116.52777,40.15182
1698454775,"2023-10-28 00:59:35",B7839,HU7603,1074.42,355.584,317,116.51575,40.16158
1698454790,"2023-10-28 00:59:50",B7839,HU7603,1165.86,396.328,317,116.50321,40.17188
1698454805,"2023-10-28 01:00:05",B7839,HU7603,1257.3,442.628,317,116.48904,40.18343
1698454820,"2023-10-28 01:00:20",B7839,HU7603,1371.6,481.52,318,116.47388,40.19591
1698454835,"2023-10-28 01:00:35",B7839,HU7603,1546.86,496.336,318,116.457642,40.209274
1698454850,"2023-10-28 01:00:50",B7839,HU7603,1676.4,496.336,304,116.439785,40.222065
1698454865,"2023-10-28 01:01:05",B7839,HU7603,1744.98,498.188,278,116.41656,40.22867
1698454880,"2023-10-28 01:01:20",B7839,HU7603,1760.22,498.188,250,116.39124,40.22617
1698454895,"2023-10-28 01:01:35",B7839,HU7603,1897.38,500.04,244,116.36919,40.21843
1698454910,"2023-10-28 01:01:50",B7839,HU7603,2125.98,501.892,244,116.3468,40.20987
1698454925,"2023-10-28 01:02:05",B7839,HU7603,2354.58,509.3,244,116.32489,40.20158
1698454940,"2023-10-28 01:02:20",B7839,HU7603,2575.56,522.264,243,116.30089,40.19232
1698454955,"2023-10-28 01:02:35",B7839,HU7603,2781.3,533.376,229,116.27967,40.18156
1698454970,"2023-10-28 01:02:50",B7839,HU7603,3002.28,537.08,225,116.260508,40.16704
1698454985,"2023-10-28 01:03:05",B7839,HU7603,3192.78,551.896,223,116.242554,40.152557
1698455000,"2023-10-28 01:03:20",B7839,HU7603,3307.08,581.528,222,116.223755,40.136902
1698455020,"2023-10-28 01:03:40",B7839,HU7603,3467.1,601.9,222,116.201782,40.118134
1698455035,"2023-10-28 01:03:55",B7839,HU7603,3657.6,609.308,221,116.181668,40.100796
1698455050,"2023-10-28 01:04:10",B7839,HU7603,3870.96,614.864,222,116.16188,40.083572
1698455065,"2023-10-28 01:04:25",B7839,HU7603,4069.08,618.568,222,116.141843,40.066301
1698455080,"2023-10-28 01:04:40",B7839,HU7603,4267.2,627.828,222,116.120619,40.048145
1698455095,"2023-10-28 01:04:55",B7839,HU7603,4457.7,637.088,223,116.099271,40.030176
1698455110,"2023-10-28 01:05:10",B7839,HU7603,4572,655.608,223,116.077922,40.01244
1698455121,"2023-10-28 01:05:21",B7839,HU7603,4610.1,675.98,223,116.063599,40.000626
1698455143,"2023-10-28 01:05:43",B7839,HU7603,4732.02,711.168,222,116.027649,39.970734
1698455163,"2023-10-28 01:06:03",B7839,HU7603,4899.66,720.428,210,116.003967,39.945465
1698455178,"2023-10-28 01:06:18",B7839,HU7603,5059.68,729.688,193,115.9912,39.92015
1698455193,"2023-10-28 01:06:33",B7839,HU7603,5250.18,737.096,175,115.98877,39.889728
1698455208,"2023-10-28 01:06:48",B7839,HU7603,5410.2,746.356,158,115.99744,39.86352
1698455223,"2023-10-28 01:07:03",B7839,HU7603,5554.98,753.764,157,116.01091,39.83794
1698455238,"2023-10-28 01:07:18",B7839,HU7603,5737.86,759.32,156,116.02739,39.80791
1698455253,"2023-10-28 01:07:33",B7839,HU7603,5897.88,766.728,156,116.04333,39.77973
1698455268,"2023-10-28 01:07:48",B7839,HU7603,5966.46,766.728,156,116.05408,39.76094
1698455283,"2023-10-28 01:08:03",B7839,HU7603,6004.56,763.024,156,116.07097,39.73114
1698455298,"2023-10-28 01:08:18",B7839,HU7603,5996.94,759.32,156,116.086,39.7044
1698455309,"2023-10-28 01:08:29",B7839,HU7603,5996.94,757.468,156,116.09563,39.68715
1698455323,"2023-10-28 01:08:43",B7839,HU7603,5996.94,757.468,156,116.11029,39.66083
1698455338,"2023-10-28 01:08:58",B7839,HU7603,6004.56,759.32,156,116.12465,39.63478
1698455349,"2023-10-28 01:09:09",B7839,HU7603,5996.94,761.172,156,116.13486,39.61624
1698455363,"2023-10-28 01:09:23",B7839,HU7603,6042.66,766.728,156,116.14905,39.59035
1698455378,"2023-10-28 01:09:38",B7839,HU7603,6217.92,766.728,157,116.1637,39.56364
1698455389,"2023-10-28 01:09:49",B7839,HU7603,6332.22,768.58,157,116.172956,39.546661
1698455403,"2023-10-28 01:10:03",B7839,HU7603,6507.48,770.432,156,116.18762,39.51987
1698455418,"2023-10-28 01:10:18",B7839,HU7603,6659.88,774.136,156,116.20233,39.4932
1698455433,"2023-10-28 01:10:33",B7839,HU7603,6804.66,781.544,156,116.2178,39.46509
1698455448,"2023-10-28 01:10:48",B7839,HU7603,6873.24,787.1,156,116.2326,39.43822
1698455463,"2023-10-28 01:11:03",B7839,HU7603,6888.48,788.952,156,116.24765,39.41084
1698455478,"2023-10-28 01:11:18",B7839,HU7603,7018.02,790.804,157,116.26312,39.38263
1698455492,"2023-10-28 01:11:32",B7839,HU7603,7155.18,796.36,157,116.27783,39.35554
1698455512,"2023-10-28 01:11:52",B7839,HU7603,7284.72,801.916,156,116.293701,39.326446
1698455527,"2023-10-28 01:12:07",B7839,HU7603,7421.88,805.62,156,116.31018,39.29647
1698455542,"2023-10-28 01:12:22",B7839,HU7603,7559.04,811.176,157,116.32507,39.26928
1698455557,"2023-10-28 01:12:37",B7839,HU7603,7703.82,813.028,157,116.34229,39.23767
1698455572,"2023-10-28 01:12:52",B7839,HU7603,7825.74,816.732,157,116.357634,39.209518
1698455592,"2023-10-28 01:13:12",B7839,HU7603,8001,822.288,157,116.37842,39.17115
1698455607,"2023-10-28 01:13:27",B7839,HU7603,8122.92,827.844,157,116.39368,39.14298
1698455622,"2023-10-28 01:13:42",B7839,HU7603,8244.84,833.4,157,116.41028,39.11231
1698455637,"2023-10-28 01:13:57",B7839,HU7603,8374.38,842.66,157,116.4263,39.08276
1698455652,"2023-10-28 01:14:12",B7839,HU7603,8465.82,846.364,157,116.438171,39.060772
1698455667,"2023-10-28 01:14:27",B7839,HU7603,8580.12,851.92,157,116.45359,39.03246
1698455682,"2023-10-28 01:14:42",B7839,HU7603,8724.9,859.328,157,116.47215,38.99817
1698455697,"2023-10-28 01:14:57",B7839,HU7603,8839.2,866.736,157,116.48816,38.96832
1698455712,"2023-10-28 01:15:12",B7839,HU7603,8961.12,872.292,157,116.50427,38.93848
1698455727,"2023-10-28 01:15:27",B7839,HU7603,9090.66,875.996,157,116.52058,38.90849
1698455738,"2023-10-28 01:15:38",B7839,HU7603,9189.72,879.7,156,116.53339,38.8848
1698455752,"2023-10-28 01:15:52",B7839,HU7603,9326.88,885.256,157,116.550432,38.853241
1698455767,"2023-10-28 01:16:07",B7839,HU7603,9448.8,890.812,157,116.56689,38.8227
1698455782,"2023-10-28 01:16:22",B7839,HU7603,9570.72,898.22,157,116.583801,38.791421
1698455797,"2023-10-28 01:16:37",B7839,HU7603,9692.64,901.924,157,116.59985,38.76153
1698455812,"2023-10-28 01:16:52",B7839,HU7603,9814.56,907.48,157,116.61713,38.72946
1698455827,"2023-10-28 01:17:07",B7839,HU7603,9928.86,913.036,157,116.633667,38.698363
1698455838,"2023-10-28 01:17:18",B7839,HU7603,10027.92,913.036,158,116.64453,38.67765
1698455851,"2023-10-28 01:17:31",B7839,HU7603,10157.46,911.184,160,116.65625,38.652835
1698455866,"2023-10-28 01:17:46",B7839,HU7603,10340.34,909.332,163,116.669434,38.621273
1698455881,"2023-10-28 01:18:01",B7839,HU7603,10492.74,909.332,166,116.681193,38.588196
1698455896,"2023-10-28 01:18:16",B7839,HU7603,10629.9,911.184,166,116.691833,38.553958
1698455910,"2023-10-28 01:18:30",B7839,HU7603,10767.06,913.036,166,116.702393,38.520301
1698455925,"2023-10-28 01:18:45",B7839,HU7603,10866.12,916.74,166,116.712341,38.48832
1698455940,"2023-10-28 01:19:00",B7839,HU7603,10957.56,926,166,116.723816,38.451171
1698455955,"2023-10-28 01:19:15",B7839,HU7603,11056.62,927.852,166,116.734155,38.417587
1698455970,"2023-10-28 01:19:30",B7839,HU7603,11178.54,927.852,166,116.744305,38.384927
1698455985,"2023-10-28 01:19:45",B7839,HU7603,11277.6,929.704,166,116.754456,38.351761
1698456000,"2023-10-28 01:20:00",B7839,HU7603,11315.7,933.408,166,116.765084,38.317612
1698456015,"2023-10-28 01:20:15",B7839,HU7603,11300.46,933.408,166,116.77613,38.28186
1698456030,"2023-10-28 01:20:30",B7839,HU7603,11300.46,933.408,166,116.78636,38.24908
1698456045,"2023-10-28 01:20:45",B7839,HU7603,11300.46,931.556,166,116.796706,38.215622
1698456060,"2023-10-28 01:21:00",B7839,HU7603,11308.08,933.408,166,116.807656,38.180097
1698456075,"2023-10-28 01:21:15",B7839,HU7603,11300.46,931.556,166,116.817452,38.148148
1698456090,"2023-10-28 01:21:30",B7839,HU7603,11308.08,933.408,166,116.828016,38.113993
1698456105,"2023-10-28 01:21:45",B7839,HU7603,11308.08,929.704,166,116.83872,38.07939
1698456120,"2023-10-28 01:22:00",B7839,HU7603,11308.08,929.704,166,116.84918,38.04547
1698456140,"2023-10-28 01:22:20",B7839,HU7603,11308.08,929.704,166,116.861105,38.006607
1698456155,"2023-10-28 01:22:35",B7839,HU7603,11300.46,929.704,166,116.872325,37.969986
1698456170,"2023-10-28 01:22:50",B7839,HU7603,11300.46,931.556,166,116.882231,37.937653
1698456185,"2023-10-28 01:23:05",B7839,HU7603,11300.46,931.556,166,116.893362,37.90123
1698456200,"2023-10-28 01:23:20",B7839,HU7603,11308.08,933.408,166,116.904801,37.863914
1698456215,"2023-10-28 01:23:35",B7839,HU7603,11300.46,931.556,166,116.914772,37.831328
1698456230,"2023-10-28 01:23:50",B7839,HU7603,11300.46,933.408,166,116.92528,37.79693
1698456245,"2023-10-28 01:24:05",B7839,HU7603,11308.08,933.408,166,116.93614,37.76138
1698456260,"2023-10-28 01:24:20",B7839,HU7603,11308.08,933.408,166,116.94648,37.72737
1698456275,"2023-10-28 01:24:35",B7839,HU7603,11300.46,937.112,166,116.95694,37.69336
1698456290,"2023-10-28 01:24:50",B7839,HU7603,11308.08,937.112,166,116.96773,37.65811
1698456305,"2023-10-28 01:25:05",B7839,HU7603,11308.08,937.112,166,116.978039,37.624191
1698456320,"2023-10-28 01:25:20",B7839,HU7603,11300.46,938.964,166,116.98827,37.59041
1698456340,"2023-10-28 01:25:40",B7839,HU7603,11300.46,940.816,166,117.00069,37.54955
1698456356,"2023-10-28 01:25:56",B7839,HU7603,11308.08,940.816,166,117.01094,37.51547
1698456370,"2023-10-28 01:26:10",B7839,HU7603,11308.08,942.668,166,117.021342,37.481186
1698456385,"2023-10-28 01:26:25",B7839,HU7603,11308.08,944.52,167,117.032338,37.444711
1698456400,"2023-10-28 01:26:40",B7839,HU7603,11308.08,944.52,167,117.04209,37.41238
1698456415,"2023-10-28 01:26:55",B7839,HU7603,11308.08,946.372,166,117.05337,37.37512
1698456430,"2023-10-28 01:27:10",B7839,HU7603,11300.46,948.224,166,117.064103,37.339503
1698456445,"2023-10-28 01:27:25",B7839,HU7603,11308.08,946.372,167,117.074014,37.306405
1698456460,"2023-10-28 01:27:40",B7839,HU7603,11308.08,948.224,166,117.084404,37.27191
1698456475,"2023-10-28 01:27:55",B7839,HU7603,11308.08,948.224,166,117.094856,37.237106
1698456490,"2023-10-28 01:28:10",B7839,HU7603,11300.46,948.224,166,117.10543,37.20213
1698456505,"2023-10-28 01:28:25",B7839,HU7603,11300.46,944.52,166,117.11566,37.16808
1698456520,"2023-10-28 01:28:40",B7839,HU7603,11300.46,944.52,166,117.12602,37.133417
1698456535,"2023-10-28 01:28:55",B7839,HU7603,11300.46,944.52,167,117.136469,37.098549
1698456550,"2023-10-28 01:29:10",B7839,HU7603,11308.08,944.52,166,117.14662,37.064612
1698456566,"2023-10-28 01:29:26",B7839,HU7603,11308.08,942.668,166,117.15701,37.02979
1698456580,"2023-10-28 01:29:40",B7839,HU7603,11308.08,944.52,166,117.16704,36.996367
1698456595,"2023-10-28 01:29:55",B7839,HU7603,11300.46,942.668,167,117.177608,36.96108
1698456606,"2023-10-28 01:30:06",B7839,HU7603,11308.08,940.816,166,117.184325,36.938416
1698456620,"2023-10-28 01:30:20",B7839,HU7603,11300.46,940.816,166,117.194506,36.904333
1698456635,"2023-10-28 01:30:35",B7839,HU7603,11300.46,940.816,167,117.2046,36.87054
1698456650,"2023-10-28 01:30:50",B7839,HU7603,11308.08,940.816,167,117.214888,36.835808
1698456665,"2023-10-28 01:31:05",B7839,HU7603,11308.08,940.816,167,117.22488,36.80196
1698456680,"2023-10-28 01:31:20",B7839,HU7603,11300.46,940.816,166,117.23579,36.76561
1698456695,"2023-10-28 01:31:35",B7839,HU7603,11308.08,940.816,166,117.24621,36.73087
1698456710,"2023-10-28 01:31:50",B7839,HU7603,11308.08,942.668,166,117.25644,36.69676
1698456725,"2023-10-28 01:32:05",B7839,HU7603,11308.08,944.52,166,117.26701,36.66147
1698456740,"2023-10-28 01:32:20",B7839,HU7603,11308.08,944.52,167,117.27711,36.62778
1698456755,"2023-10-28 01:32:35",B7839,HU7603,11308.08,942.668,166,117.28741,36.59335
1698456770,"2023-10-28 01:32:50",B7839,HU7603,11300.46,944.52,167,117.29794,36.55806
1698456785,"2023-10-28 01:33:05",B7839,HU7603,11308.08,944.52,166,117.30798,36.52428
1698456800,"2023-10-28 01:33:20",B7839,HU7603,11308.08,944.52,166,117.31802,36.49054
1698456815,"2023-10-28 01:33:35",B7839,HU7603,11300.46,944.52,166,117.32843,36.45566
1698456830,"2023-10-28 01:33:50",B7839,HU7603,11308.08,944.52,166,117.33873,36.42078
1698456845,"2023-10-28 01:34:05",B7839,HU7603,11308.08,944.52,167,117.34918,36.38565
1698456860,"2023-10-28 01:34:20",B7839,HU7603,11300.46,944.52,166,117.359346,36.351292
1698456875,"2023-10-28 01:34:35",B7839,HU7603,11300.46,942.668,166,117.369347,36.317596
1698456895,"2023-10-28 01:34:55",B7839,HU7603,11308.08,942.668,167,117.38028,36.28052
1698456910,"2023-10-28 01:35:10",B7839,HU7603,11308.08,944.52,167,117.39029,36.24655
1698456925,"2023-10-28 01:35:25",B7839,HU7603,11308.08,944.52,166,117.40084,36.21094
1698456940,"2023-10-28 01:35:40",B7839,HU7603,11300.46,944.52,167,117.41054,36.17784
1698456956,"2023-10-28 01:35:56",B7839,HU7603,11300.46,944.52,167,117.42102,36.14227
1698456970,"2023-10-28 01:36:10",B7839,HU7603,11308.08,946.372,166,117.43069,36.10963
1698456985,"2023-10-28 01:36:25",B7839,HU7603,11308.08,948.224,166,117.44098,36.07487
1698457000,"2023-10-28 01:36:40",B7839,HU7603,11300.46,950.076,167,117.45115,36.04028
1698457016,"2023-10-28 01:36:56",B7839,HU7603,11300.46,948.224,167,117.46153,36.00494
1698457030,"2023-10-28 01:37:10",B7839,HU7603,11300.46,948.224,167,117.47206,35.96901
1698457045,"2023-10-28 01:37:25",B7839,HU7603,11308.08,948.224,167,117.48183,35.93558
1698457060,"2023-10-28 01:37:40",B7839,HU7603,11308.08,948.224,167,117.49157,35.90213
1698457075,"2023-10-28 01:37:55",B7839,HU7603,11308.08,951.928,167,117.502286,35.865427
1698457090,"2023-10-28 01:38:10",B7839,HU7603,11308.08,951.928,167,117.512103,35.831676
1698457105,"2023-10-28 01:38:25",B7839,HU7603,11308.08,955.632,166,117.522271,35.796902
1698457120,"2023-10-28 01:38:40",B7839,HU7603,11300.46,953.78,166,117.532253,35.762787
1698457135,"2023-10-28 01:38:55",B7839,HU7603,11308.08,953.78,166,117.54244,35.728
1698457150,"2023-10-28 01:39:10",B7839,HU7603,11308.08,951.928,166,117.55239,35.69366
1698457165,"2023-10-28 01:39:25",B7839,HU7603,11308.08,951.928,166,117.56259,35.65864
1698457180,"2023-10-28 01:39:40",B7839,HU7603,11300.46,953.78,167,117.572765,35.623627
1698457195,"2023-10-28 01:39:55",B7839,HU7603,11308.08,951.928,166,117.583008,35.588379
1698457210,"2023-10-28 01:40:10",B7839,HU7603,11308.08,951.928,166,117.59292,35.55427
1698457225,"2023-10-28 01:40:25",B7839,HU7603,11300.46,955.632,166,117.60389,35.51646
1698457240,"2023-10-28 01:40:40",B7839,HU7603,11308.08,951.928,166,117.61379,35.48239
1698457255,"2023-10-28 01:40:55",B7839,HU7603,11308.08,951.928,166,117.62401,35.44715
1698457270,"2023-10-28 01:41:10",B7839,HU7603,11308.08,948.224,166,117.63395,35.41294
1698457281,"2023-10-28 01:41:21",B7839,HU7603,11300.46,950.076,167,117.64078,35.38934
1698457295,"2023-10-28 01:41:35",B7839,HU7603,11308.08,948.224,166,117.65087,35.35446
1698457310,"2023-10-28 01:41:50",B7839,HU7603,11308.08,950.076,166,117.66083,35.32002
1698457325,"2023-10-28 01:42:05",B7839,HU7603,11308.08,950.076,166,117.67073,35.28552
1698457340,"2023-10-28 01:42:20",B7839,HU7603,11300.46,953.78,167,117.68081,35.25052
1698457355,"2023-10-28 01:42:35",B7839,HU7603,11308.08,955.632,166,117.691601,35.212692
1698457370,"2023-10-28 01:42:50",B7839,HU7603,11308.08,955.632,166,117.70119,35.17918
1698457386,"2023-10-28 01:43:06",B7839,HU7603,11300.46,959.336,166,117.71164,35.14261
1698457400,"2023-10-28 01:43:20",B7839,HU7603,11308.08,959.336,166,117.72215,35.10599
1698457415,"2023-10-28 01:43:35",B7839,HU7603,11308.08,959.336,166,117.73235,35.07051
1698457426,"2023-10-28 01:43:46",B7839,HU7603,11300.46,959.336,166,117.7387,35.0483
1698457440,"2023-10-28 01:44:00",B7839,HU7603,11308.08,963.04,166,117.74883,35.01292
1698457455,"2023-10-28 01:44:15",B7839,HU7603,11308.08,966.744,166,117.75902,34.97744
1698457470,"2023-10-28 01:44:30",B7839,HU7603,11308.08,968.596,167,117.76926,34.94164
1698457485,"2023-10-28 01:44:45",B7839,HU7603,11300.46,970.448,167,117.7796,34.90558
1698457500,"2023-10-28 01:45:00",B7839,HU7603,11300.46,970.448,166,117.78946,34.87135
1698457515,"2023-10-28 01:45:15",B7839,HU7603,11300.46,970.448,165,117.80005,34.83648
1698457530,"2023-10-28 01:45:30",B7839,HU7603,11308.08,948.224,175,117.8092,34.79709
1698457545,"2023-10-28 01:45:45",B7839,HU7603,11300.46,940.816,178,117.81023,34.76344
1698457560,"2023-10-28 01:46:00",B7839,HU7603,11300.46,942.668,177,117.81143,34.72811
1698457575,"2023-10-28 01:46:15",B7839,HU7603,11300.46,946.372,176,117.81374,34.69295
