Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1709945471,"2024-03-09 00:51:11",B1442,CA4999,-68.58,283.356,180,117.216001,36.857036
1709945482,"2024-03-09 00:51:22",B1442,CA4999,76.2,283.356,180,117.215998,36.849401
1709945497,"2024-03-09 00:51:37",B1442,CA4999,304.8,281.504,180,117.216057,36.83916
1709945512,"2024-03-09 00:51:52",B1442,CA4999,480.06,290.764,185,117.215764,36.828546
1709945527,"2024-03-09 00:52:07",B1442,CA4999,662.94,292.616,218,117.20993,36.819077
1709945542,"2024-03-09 00:52:22",B1442,CA4999,845.82,300.024,240,117.198944,36.812439
1709945557,"2024-03-09 00:52:37",B1442,CA4999,1036.32,300.024,264,117.185669,36.809555
1709945573,"2024-03-09 00:52:53",B1442,CA4999,1173.48,329.656,277,117.170792,36.810471
1709945587,"2024-03-09 00:53:07",B1442,CA4999,1264.92,377.808,279,117.15414,36.812439
1709945602,"2024-03-09 00:53:22",B1442,CA4999,1440.18,396.328,279,117.136289,36.814813
1709945613,"2024-03-09 00:53:33",B1442,CA4999,1584.96,401.884,279,117.124134,36.816349
1709945627,"2024-03-09 00:53:47",B1442,CA4999,1790.7,418.552,278,117.105025,36.818537
1709945642,"2024-03-09 00:54:02",B1442,CA4999,2019.3,427.812,279,117.08559,36.820908
1709945653,"2024-03-09 00:54:13",B1442,CA4999,2171.7,435.22,278,117.071832,36.822541
1709945667,"2024-03-09 00:54:27",B1442,CA4999,2407.92,444.48,278,117.05144,36.82482
1709945682,"2024-03-09 00:54:42",B1442,CA4999,2659.38,448.184,273,117.0311,36.8265
1709945693,"2024-03-09 00:54:53",B1442,CA4999,2827.02,457.444,269,117.01641,36.82626
1709945707,"2024-03-09 00:55:07",B1442,CA4999,3002.28,481.52,268,116.99487,36.8258
1709945722,"2024-03-09 00:55:22",B1442,CA4999,3208.02,500.04,269,116.97178,36.82535
1709945733,"2024-03-09 00:55:33",B1442,CA4999,3291.84,524.116,269,116.955872,36.824982
1709945747,"2024-03-09 00:55:47",B1442,CA4999,3413.76,561.156,268,116.92921,36.82443
1709945758,"2024-03-09 00:55:58",B1442,CA4999,3497.58,579.676,269,116.91238,36.82402
1709945772,"2024-03-09 00:56:12",B1442,CA4999,3627.12,601.9,268,116.88395,36.82315
1709945787,"2024-03-09 00:56:27",B1442,CA4999,3855.72,613.012,268,116.85619,36.82214
1709945802,"2024-03-09 00:56:42",B1442,CA4999,4122.42,618.568,268,116.82724,36.82114
1709945817,"2024-03-09 00:56:57",B1442,CA4999,4396.74,622.272,268,116.79828,36.82021
1709945832,"2024-03-09 00:57:12",B1442,CA4999,4655.82,631.532,268,116.76859,36.81931
1709945847,"2024-03-09 00:57:27",B1442,CA4999,4914.9,638.94,268,116.739495,36.818444
1709945862,"2024-03-09 00:57:42",B1442,CA4999,5196.84,640.792,268,116.70899,36.81751
1709945877,"2024-03-09 00:57:57",B1442,CA4999,5478.78,640.792,268,116.679096,36.816605
1709945893,"2024-03-09 00:58:13",B1442,CA4999,5669.28,650.052,268,116.64677,36.81555
1709945908,"2024-03-09 00:58:28",B1442,CA4999,5730.24,653.756,268,116.61695,36.81463
1709945922,"2024-03-09 00:58:42",B1442,CA4999,5798.82,653.756,268,116.58604,36.81365
1709945933,"2024-03-09 00:58:53",B1442,CA4999,5844.54,655.608,268,116.56547,36.81295
1709945948,"2024-03-09 00:59:08",B1442,CA4999,5920.74,655.608,268,116.534846,36.811927
1709945962,"2024-03-09 00:59:22",B1442,CA4999,5996.94,653.756,268,116.504926,36.810903
1709945977,"2024-03-09 00:59:37",B1442,CA4999,6004.56,655.608,268,116.474713,36.809879
1709945993,"2024-03-09 00:59:53",B1442,CA4999,6004.56,655.608,268,116.443274,36.808854
1709946008,"2024-03-09 01:00:08",B1442,CA4999,6004.56,655.608,268,116.41306,36.80788
1709946023,"2024-03-09 01:00:23",B1442,CA4999,6012.18,657.46,268,116.382674,36.806853
1709946037,"2024-03-09 01:00:37",B1442,CA4999,6126.48,659.312,268,116.35199,36.80588
1709946048,"2024-03-09 01:00:48",B1442,CA4999,6202.68,659.312,274,116.33108,36.80658
1709946062,"2024-03-09 01:01:02",B1442,CA4999,6324.6,659.312,282,116.300526,36.810699
1709946077,"2024-03-09 01:01:17",B1442,CA4999,6438.9,666.72,284,116.271,36.81654
1709946088,"2024-03-09 01:01:28",B1442,CA4999,6515.1,674.128,284,116.25051,36.8205
1709946103,"2024-03-09 01:01:43",B1442,CA4999,6591.3,681.536,283,116.21904,36.82645
1709946117,"2024-03-09 01:01:57",B1442,CA4999,6614.16,685.24,277,116.188192,36.830315
1709946132,"2024-03-09 01:02:12",B1442,CA4999,6614.16,688.944,271,116.15599,36.83176
1709946143,"2024-03-09 01:02:23",B1442,CA4999,6614.16,688.944,268,116.134529,36.831253
1709946157,"2024-03-09 01:02:37",B1442,CA4999,6614.16,688.944,268,116.10258,36.83013
1709946168,"2024-03-09 01:02:48",B1442,CA4999,6614.16,688.944,268,116.080513,36.829376
1709946182,"2024-03-09 01:03:02",B1442,CA4999,6614.16,688.944,268,116.04887,36.82828
1709946193,"2024-03-09 01:03:13",B1442,CA4999,6614.16,688.944,266,116.0273,36.82736
1709946208,"2024-03-09 01:03:28",B1442,CA4999,6614.16,692.648,258,115.99593,36.82329
1709946222,"2024-03-09 01:03:42",B1442,CA4999,6614.16,698.204,249,115.96455,36.81537
1709946238,"2024-03-09 01:03:58",B1442,CA4999,6614.16,703.76,244,115.93523,36.804474
1709946252,"2024-03-09 01:04:12",B1442,CA4999,6614.16,701.908,244,115.90582,36.79298
1709946267,"2024-03-09 01:04:27",B1442,CA4999,6614.16,700.056,244,115.87635,36.781448
1709946282,"2024-03-09 01:04:42",B1442,CA4999,6614.16,700.056,244,115.846623,36.769751
1709946298,"2024-03-09 01:04:58",B1442,CA4999,6614.16,701.908,244,115.81705,36.75811
1709946312,"2024-03-09 01:05:12",B1442,CA4999,6614.16,701.908,244,115.786899,36.746242
1709946323,"2024-03-09 01:05:23",B1442,CA4999,6614.16,701.908,244,115.768725,36.739026
1709946337,"2024-03-09 01:05:37",B1442,CA4999,6614.16,701.908,244,115.738863,36.727155
1709946352,"2024-03-09 01:05:52",B1442,CA4999,6614.16,701.908,244,115.709703,36.715564
1709946367,"2024-03-09 01:06:07",B1442,CA4999,6614.16,701.908,244,115.680199,36.703812
