Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1694841710,"2023-09-16 05:21:50",B7868,MU5112,91.44,307.432,353,116.59656,40.0784
1694841725,"2023-09-16 05:22:05",B7868,MU5112,251.46,324.1,352,116.59418,40.09209
1694841741,"2023-09-16 05:22:21",B7868,MU5112,472.44,318.544,353,116.59198,40.10472
1694841755,"2023-09-16 05:22:35",B7868,MU5112,670.56,325.952,352,116.5901,40.1163
1694841770,"2023-09-16 05:22:50",B7868,MU5112,868.68,327.804,352,116.587769,40.128662
1694841785,"2023-09-16 05:23:05",B7868,MU5112,1059.18,337.064,352,116.585449,40.140976
1694841800,"2023-09-16 05:23:20",B7868,MU5112,1181.1,370.4,352,116.58301,40.15448
1694841815,"2023-09-16 05:23:35",B7868,MU5112,1280.16,425.96,352,116.58036,40.16941
1694841830,"2023-09-16 05:23:50",B7868,MU5112,1424.94,457.444,352,116.57749,40.18571
1694841845,"2023-09-16 05:24:05",B7868,MU5112,1577.34,494.484,352,116.574402,40.203506
1694841860,"2023-09-16 05:24:20",B7868,MU5112,1813.56,505.596,352,116.571106,40.222137
1694841876,"2023-09-16 05:24:36",B7868,MU5112,1988.82,498.188,352,116.567627,40.241592
1694841890,"2023-09-16 05:24:50",B7868,MU5112,2125.98,511.152,350,116.56409,40.25935
1694841905,"2023-09-16 05:25:05",B7868,MU5112,2293.62,516.708,332,116.55508,40.27723
1694841921,"2023-09-16 05:25:21",B7868,MU5112,2392.68,511.152,309,116.53809,40.29131
1694841935,"2023-09-16 05:25:35",B7868,MU5112,2453.64,503.744,282,116.51532,40.29877
1694841950,"2023-09-16 05:25:50",B7868,MU5112,2659.38,500.04,260,116.49054,40.29817
1694841965,"2023-09-16 05:26:05",B7868,MU5112,2872.74,513.004,245,116.466751,40.291148
1694841980,"2023-09-16 05:26:20",B7868,MU5112,3093.72,522.264,243,116.44458,40.28247
1694841995,"2023-09-16 05:26:35",B7868,MU5112,3307.08,538.932,242,116.42218,40.27313
1694842011,"2023-09-16 05:26:51",B7868,MU5112,3489.96,568.564,242,116.39801,40.262924
1694842025,"2023-09-16 05:27:05",B7868,MU5112,3825.24,568.564,241,116.37402,40.25281
1694842040,"2023-09-16 05:27:20",B7868,MU5112,4152.9,574.12,242,116.34802,40.2421
1694842055,"2023-09-16 05:27:35",B7868,MU5112,4411.98,570.416,242,116.32437,40.23231
1694842066,"2023-09-16 05:27:46",B7868,MU5112,4549.14,585.232,242,116.30719,40.22539
1694842080,"2023-09-16 05:28:00",B7868,MU5112,4701.54,592.64,243,116.2793,40.2141
1694842095,"2023-09-16 05:28:15",B7868,MU5112,4785.36,601.9,237,116.25495,40.20358
1694842110,"2023-09-16 05:28:30",B7868,MU5112,4876.8,600.048,230,116.23766,40.19343
1694842125,"2023-09-16 05:28:45",B7868,MU5112,5021.58,603.752,221,116.21762,40.1777
1694842140,"2023-09-16 05:29:00",B7868,MU5112,5090.16,622.272,217,116.19915,40.15927
1694842155,"2023-09-16 05:29:15",B7868,MU5112,5097.78,640.792,217,116.18011,40.13969
1694842170,"2023-09-16 05:29:30",B7868,MU5112,5090.16,661.164,216,116.161377,40.119965
1694842185,"2023-09-16 05:29:45",B7868,MU5112,5090.16,670.424,216,116.14203,40.099446
1694842200,"2023-09-16 05:30:00",B7868,MU5112,5090.16,670.424,217,116.122925,40.079132
1694842215,"2023-09-16 05:30:15",B7868,MU5112,5097.78,674.128,216,116.103953,40.059132
1694842231,"2023-09-16 05:30:31",B7868,MU5112,5105.4,683.388,216,116.084351,40.038574
1694842245,"2023-09-16 05:30:45",B7868,MU5112,5189.22,687.092,216,116.064087,40.017242
1694842261,"2023-09-16 05:31:01",B7868,MU5112,5295.9,692.648,216,116.04465,39.99689
