Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1698980674,"2023-11-03 03:04:34",B1932,SC8883,0,25.928,1,117.21274,36.854336
1698980677,"2023-11-03 03:04:37",B1932,SC8883,0,25.928,1,117.212732,36.85401
1698980682,"2023-11-03 03:04:42",B1932,SC8883,0,25.928,1,117.21274,36.853683
1698981346,"2023-11-03 03:15:46",B1932,SC8883,0,81.488,1,117.215998,36.843385
1698981379,"2023-11-03 03:16:19",B1932,SC8883,22.86,294.468,359,117.215941,36.861784
1698981394,"2023-11-03 03:16:34",B1932,SC8883,220.98,285.208,359,117.215648,36.87236
1698981409,"2023-11-03 03:16:49",B1932,SC8883,403.86,292.616,1,117.215702,36.883152
1698981424,"2023-11-03 03:17:04",B1932,SC8883,579.12,294.468,1,117.215941,36.894138
1698981435,"2023-11-03 03:17:15",B1932,SC8883,670.56,303.728,1,117.216174,36.90184
1698981449,"2023-11-03 03:17:29",B1932,SC8883,838.2,307.432,1,117.216419,36.913225
1698981464,"2023-11-03 03:17:44",B1932,SC8883,1005.84,311.136,0,117.216538,36.925468
1698981479,"2023-11-03 03:17:59",B1932,SC8883,1120.14,337.064,360,117.216583,36.93718
1698981494,"2023-11-03 03:18:14",B1932,SC8883,1219.2,374.104,360,117.216524,36.950958
1698981509,"2023-11-03 03:18:29",B1932,SC8883,1341.12,388.92,359,117.216349,36.961624
1698981524,"2023-11-03 03:18:44",B1932,SC8883,1493.52,411.144,0,117.216232,36.976318
1698981539,"2023-11-03 03:18:59",B1932,SC8883,1592.58,453.74,0,117.216419,36.993108
1698981554,"2023-11-03 03:19:14",B1932,SC8883,1851.66,457.444,360,117.216419,37.012707
1698981569,"2023-11-03 03:19:29",B1932,SC8883,2103.12,455.592,0,117.216349,37.02951
1698981584,"2023-11-03 03:19:44",B1932,SC8883,2286,470.408,0,117.216359,37.046969
1698981599,"2023-11-03 03:19:59",B1932,SC8883,2484.12,485.224,0,117.21629,37.064896
1698981614,"2023-11-03 03:20:14",B1932,SC8883,2674.62,505.596,355,117.215764,37.084946
1698981629,"2023-11-03 03:20:29",B1932,SC8883,2918.46,470.408,325,117.206686,37.102273
1698981644,"2023-11-03 03:20:44",B1932,SC8883,3162.3,450.036,303,117.190207,37.113678
1698981660,"2023-11-03 03:21:00",B1932,SC8883,3413.76,437.072,277,117.170682,37.118427
1698981674,"2023-11-03 03:21:14",B1932,SC8883,3657.6,442.628,270,117.149904,37.11866
1698981689,"2023-11-03 03:21:29",B1932,SC8883,3893.82,448.184,270,117.128528,37.118753
1698981704,"2023-11-03 03:21:44",B1932,SC8883,4099.56,463,270,117.107888,37.118774
1698981719,"2023-11-03 03:21:59",B1932,SC8883,4305.3,475.964,270,117.085857,37.118729
1698981734,"2023-11-03 03:22:14",B1932,SC8883,4503.42,490.78,270,117.062252,37.118706
1698981748,"2023-11-03 03:22:28",B1932,SC8883,4686.3,492.632,270,117.045474,37.11866
1698981763,"2023-11-03 03:22:43",B1932,SC8883,4922.52,496.336,270,117.022367,37.11866
1698981778,"2023-11-03 03:22:58",B1932,SC8883,5143.5,503.744,270,116.999194,37.118591
1698981793,"2023-11-03 03:23:13",B1932,SC8883,5265.42,535.228,270,116.97412,37.11859
1698981808,"2023-11-03 03:23:28",B1932,SC8883,5463.54,546.34,270,116.948806,37.118566
1698981823,"2023-11-03 03:23:43",B1932,SC8883,5684.52,553.748,270,116.92307,37.11852
1698981838,"2023-11-03 03:23:58",B1932,SC8883,5897.88,559.304,270,116.897336,37.118408
1698981853,"2023-11-03 03:24:13",B1932,SC8883,6004.56,583.38,270,116.870338,37.118225
1698981868,"2023-11-03 03:24:28",B1932,SC8883,6012.18,601.9,265,116.842872,37.117493
1698981883,"2023-11-03 03:24:43",B1932,SC8883,6004.56,613.012,256,116.814821,37.113353
1698981899,"2023-11-03 03:24:59",B1932,SC8883,6004.56,614.864,247,116.78622,37.104973
1698981913,"2023-11-03 03:25:13",B1932,SC8883,6004.56,616.716,244,116.76132,37.09529
1698981928,"2023-11-03 03:25:28",B1932,SC8883,6118.86,620.42,252,116.734394,37.086445
1698981943,"2023-11-03 03:25:43",B1932,SC8883,6233.16,624.124,260,116.706653,37.081284
1698981958,"2023-11-03 03:25:58",B1932,SC8883,6347.46,620.42,261,116.677376,37.07753
1698981973,"2023-11-03 03:26:13",B1932,SC8883,6469.38,624.124,261,116.64693,37.073547
1698981988,"2023-11-03 03:26:28",B1932,SC8883,6583.68,629.68,258,116.617903,37.069221
1698982003,"2023-11-03 03:26:43",B1932,SC8883,6614.16,635.236,252,116.589541,37.062843
1698982018,"2023-11-03 03:26:58",B1932,SC8883,6614.16,637.088,246,116.562255,37.054231
1698982033,"2023-11-03 03:27:13",B1932,SC8883,6614.16,637.088,244,116.53543,37.04375
1698982048,"2023-11-03 03:27:28",B1932,SC8883,6614.16,637.088,244,116.508278,37.03305
1698982063,"2023-11-03 03:27:43",B1932,SC8883,6614.16,637.088,244,116.481667,37.022552
1698982078,"2023-11-03 03:27:58",B1932,SC8883,6614.16,637.088,244,116.454961,37.011978
1698982093,"2023-11-03 03:28:13",B1932,SC8883,6614.16,637.088,244,116.42833,37.00135
1698982108,"2023-11-03 03:28:28",B1932,SC8883,6614.16,637.088,244,116.402,36.99092
1698982123,"2023-11-03 03:28:43",B1932,SC8883,6614.16,637.088,244,116.37502,36.98016
1698982138,"2023-11-03 03:28:58",B1932,SC8883,6614.16,635.236,244,116.34862,36.9696
1698982153,"2023-11-03 03:29:13",B1932,SC8883,6614.16,637.088,244,116.321314,36.95874
1698982168,"2023-11-03 03:29:28",B1932,SC8883,6614.16,637.088,244,116.2947,36.94814
1698982179,"2023-11-03 03:29:39",B1932,SC8883,6614.16,635.236,244,116.277267,36.941202
1698982193,"2023-11-03 03:29:53",B1932,SC8883,6614.16,635.236,244,116.248559,36.929764
1698982208,"2023-11-03 03:30:08",B1932,SC8883,6614.16,637.088,244,116.22048,36.91862
1698982223,"2023-11-03 03:30:23",B1932,SC8883,6614.16,637.088,244,116.19404,36.90807
1698982238,"2023-11-03 03:30:38",B1932,SC8883,6614.16,637.088,243,116.167404,36.897397
1698982253,"2023-11-03 03:30:53",B1932,SC8883,6614.16,638.94,244,116.14036,36.8866
1698982268,"2023-11-03 03:31:08",B1932,SC8883,6614.16,638.94,244,116.113976,36.876068
1698982283,"2023-11-03 03:31:23",B1932,SC8883,6614.16,640.792,243,116.087096,36.865276
1698982298,"2023-11-03 03:31:38",B1932,SC8883,6614.16,638.94,244,116.06017,36.85452
1698982318,"2023-11-03 03:31:58",B1932,SC8883,6614.16,638.94,244,116.032276,36.843292
1698982333,"2023-11-03 03:32:13",B1932,SC8883,6614.16,638.94,244,116.00522,36.83246
1698982348,"2023-11-03 03:32:28",B1932,SC8883,6614.16,638.94,244,115.97653,36.82096
1698982363,"2023-11-03 03:32:43",B1932,SC8883,6614.16,638.94,244,115.948162,36.809692
1698982378,"2023-11-03 03:32:58",B1932,SC8883,6614.16,640.792,244,115.91704,36.7975
1698982393,"2023-11-03 03:33:13",B1932,SC8883,6614.16,637.088,244,115.89025,36.78699
