Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1715745756,"2024-05-15 04:02:36",B30A9,3U1264,30.48,261.132,358,121.33235168457,31.201360702515
1715745771,"2024-05-15 04:02:51",B30A9,3U1264,213.36,248.168,356,121.33190917969,31.207969665527
1715745786,"2024-05-15 04:03:06",B30A9,3U1264,419,246.5,357.8,121.33135986328,31.217185974121
1715745801,"2024-05-15 04:03:21",B30A9,3U1264,594.36,250.02,325,121.32823181152,31.226169586182
1715745816,"2024-05-15 04:03:36",B30A9,3U1264,769.62,274.096,302,121.31944274902,31.232219696045
1715745831,"2024-05-15 04:03:51",B30A9,3U1264,944.88,279.652,300,121.31004333496,31.237110137939
1715745845,"2024-05-15 04:04:05",B30A9,3U1264,1028.7,333.36,301,121.29832458496,31.242965698242
1715745860,"2024-05-15 04:04:20",B30A9,3U1264,1089.66,388.92,301,121.28466796875,31.249910354614
1715745875,"2024-05-15 04:04:35",B30A9,3U1264,1158,408.2,299.9,121.27027893066,31.257034301758
1715745890,"2024-05-15 04:04:50",B30A9,3U1264,1226.82,407.44,300,121.25631713867,31.263931274414
1715745905,"2024-05-15 04:05:05",B30A9,3U1264,1295.4,396.328,294,121.23880004883,31.272256851196
1715745920,"2024-05-15 04:05:20",B30A9,3U1264,1363.98,414.848,267,121.22104644775,31.275146484375
1715745935,"2024-05-15 04:05:35",B30A9,3U1264,1440,479,238.3,121.20273590088,31.269836425781
1715745950,"2024-05-15 04:05:50",B30A9,3U1264,1455.42,514.856,233,121.18738555908,31.260385513306
1715745965,"2024-05-15 04:06:05",B30A9,3U1264,1463.04,513.004,232,121.16711425781,31.246978759766
1715745980,"2024-05-15 04:06:20",B30A9,3U1264,1524,514.856,233,121.14970397949,31.235481262207
1715745997,"2024-05-15 04:06:37",B30A9,3U1264,1722.12,525.968,222,121.13195800781,31.222631454468
1715746010,"2024-05-15 04:06:50",B30A9,3U1264,1996,534.8,203.9,121.12109375,31.206527709961
1715746025,"2024-05-15 04:07:05",B30A9,3U1264,2286,540.784,176,121.11849975586,31.185949325562
1715746040,"2024-05-15 04:07:20",B30A9,3U1264,2560.32,540.784,175,121.12071228027,31.163909912109
1715746055,"2024-05-15 04:07:35",B30A9,3U1264,2781.3,546.34,177,121.12216949463,31.145050048828
1715746070,"2024-05-15 04:07:50",B30A9,3U1264,2918.46,548.192,178,121.12322235107,31.124549865723
1715746085,"2024-05-15 04:08:05",B30A9,3U1264,3086,544.2,190.4,121.12216949463,31.104034423828
1715746100,"2024-05-15 04:08:20",B30A9,3U1264,3208.02,559.304,210,121.11414337158,31.084669113159
1715746115,"2024-05-15 04:08:35",B30A9,3U1264,3291.84,579.676,231,121.09839630127,31.068311691284
1715746130,"2024-05-15 04:08:50",B30A9,3U1264,3360.42,605.604,251,121.07553100586,31.057479858398
1715746145,"2024-05-15 04:09:05",B30A9,3U1264,3459,631.1,256.2,121.05097198486,31.052032470703
1715746160,"2024-05-15 04:09:20",B30A9,3U1264,3688.08,635.236,254,121.02264404297,31.045547485352
1715746175,"2024-05-15 04:09:35",B30A9,3U1264,3893.82,640.792,254,120.99910736084,31.039627075195
1715746190,"2024-05-15 04:09:50",B30A9,3U1264,4122,641.1,253.6,120.96981048584,31.032119750977
1715746205,"2024-05-15 04:10:05",B30A9,3U1264,4343.4,644.496,254,120.94261932373,31.02520942688
1715746220,"2024-05-15 04:10:20",B30A9,3U1264,4526,654.1,253.7,120.91504669189,31.018249511719
1715746235,"2024-05-15 04:10:35",B30A9,3U1264,4747.26,651.904,254,120.8899307251,31.01198387146
1715746250,"2024-05-15 04:10:50",B30A9,3U1264,4953,651.904,254,120.86080932617,31.004653930664
1715746265,"2024-05-15 04:11:05",B30A9,3U1264,5113.02,664.868,254,120.83351135254,30.997829437256
1715746280,"2024-05-15 04:11:20",B30A9,3U1264,5212.08,683.388,254,120.80473327637,30.990619659424
1715746295,"2024-05-15 04:11:35",B30A9,3U1264,5326,689.9,253.9,120.77852630615,30.984144210815
1715746310,"2024-05-15 04:11:50",B30A9,3U1264,5600.7,677.832,254,120.74691009521,30.976181030273
1715746325,"2024-05-15 04:12:05",B30A9,3U1264,5814,678.7,253.8,120.71798706055,30.968948364258
1715746340,"2024-05-15 04:12:20",B30A9,3U1264,5913.12,696.352,254,120.6898651123,30.961986541748
1715746355,"2024-05-15 04:12:35",B30A9,3U1264,6096,696.352,254,120.6598739624,30.954538345337
1715746370,"2024-05-15 04:12:50",B30A9,3U1264,6263.64,700.056,254,120.6316986084,30.947509765625
1715746385,"2024-05-15 04:13:05",B30A9,3U1264,6408.42,707.464,254,120.60241699219,30.94010925293
1715746400,"2024-05-15 04:13:20",B30A9,3U1264,6538,713.3,253.9,120.57317352295,30.93278503418
1715746415,"2024-05-15 04:13:35",B30A9,3U1264,6675.12,722.28,254,120.54252624512,30.925050735474
1715746430,"2024-05-15 04:13:50",B30A9,3U1264,6819.9,724.132,254,120.5120010376,30.917360305786
1715746445,"2024-05-15 04:14:05",B30A9,3U1264,6987.54,725.984,254,120.48123931885,30.909620285034
1715746460,"2024-05-15 04:14:20",B30A9,3U1264,7155.18,731.54,244,120.45211791992,30.900169372559
1715746475,"2024-05-15 04:14:35",B30A9,3U1264,7277.1,748.208,231,120.42523956299,30.885089874268
1715746490,"2024-05-15 04:14:50",B30A9,3U1264,7368.54,772.284,218,120.40196990967,30.864074707031
1715746505,"2024-05-15 04:15:05",B30A9,3U1264,7467.6,787.1,214,120.38275146484,30.839550018311
1715746520,"2024-05-15 04:15:20",B30A9,3U1264,7597.14,787.1,215,120.36379241943,30.815530776978
1715746535,"2024-05-15 04:15:35",B30A9,3U1264,7772.4,787.1,216,120.34391784668,30.791379928589
1715746550,"2024-05-15 04:15:50",B30A9,3U1264,7932.42,785.248,216,120.32391357422,30.767400741577
1715746565,"2024-05-15 04:16:05",B30A9,3U1264,8046.72,790.804,216,120.30390167236,30.743360519409
1715746580,"2024-05-15 04:16:20",B30A9,3U1264,8130.54,801.916,216,120.28386688232,30.719079971313
1715746595,"2024-05-15 04:16:35",B30A9,3U1264,8206.74,811.176,216,120.26332092285,30.694169998169
1715746610,"2024-05-15 04:16:50",B30A9,3U1264,8305.8,820.436,215,120.24294281006,30.669429779053
1715746624,"2024-05-15 04:17:04",B30A9,3U1264,8412.48,822.288,215,120.22399139404,30.646360397339
1715746639,"2024-05-15 04:17:19",B30A9,3U1264,8534.4,822.288,216,120.20308685303,30.620769500732
1715746654,"2024-05-15 04:17:34",B30A9,3U1264,8671.56,820.436,216,120.18277740479,30.596050262451
1715746669,"2024-05-15 04:17:49",B30A9,3U1264,8854.44,811.176,215,120.1622467041,30.570899963379
1715746684,"2024-05-15 04:18:04",B30A9,3U1264,9052.56,800.064,216,120.14163970947,30.545608520508
1715746699,"2024-05-15 04:18:19",B30A9,3U1264,9151.62,803.768,216,120.12177276611,30.521179199219
1715746714,"2024-05-15 04:18:34",B30A9,3U1264,9174.48,809.324,216,120.10154724121,30.496509552002
1715746729,"2024-05-15 04:18:49",B30A9,3U1264,9174.48,813.028,216,120.08106231689,30.471420288086
1715746744,"2024-05-15 04:19:04",B30A9,3U1264,9174.48,813.028,215,120.06056976318,30.446279525757
1715746759,"2024-05-15 04:19:19",B30A9,3U1264,9174.48,816.732,212,120.04389190674,30.424118041992
1715746774,"2024-05-15 04:19:34",B30A9,3U1264,9174.48,820.436,210,120.02401733398,30.394269943237
1715746789,"2024-05-15 04:19:49",B30A9,3U1264,9174.48,822.288,210,120.00772857666,30.369190216064
1715746804,"2024-05-15 04:20:04",B30A9,3U1264,9174.48,822.288,210,119.98863983154,30.340349197388
1715746819,"2024-05-15 04:20:19",B30A9,3U1264,9174.48,820.436,211,119.96962738037,30.311870574951
1715746834,"2024-05-15 04:20:34",B30A9,3U1264,9174.48,816.732,211,119.9529800415,30.287059783936
1715746849,"2024-05-15 04:20:49",B30A9,3U1264,9174.48,813.028,211,119.93585968018,30.261339187622
1715746864,"2024-05-15 04:21:04",B30A9,3U1264,9174.48,813.028,211,119.91808319092,30.234609603882
1715746879,"2024-05-15 04:21:19",B30A9,3U1264,9174.48,813.028,211,119.90020751953,30.207820892334
1715746894,"2024-05-15 04:21:34",B30A9,3U1264,9174.48,811.176,210,119.88259124756,30.181310653687
1715746909,"2024-05-15 04:21:49",B30A9,3U1264,9174.48,813.028,211,119.86501312256,30.154819488525
1715746924,"2024-05-15 04:22:04",B30A9,3U1264,9174.48,816.732,210,119.8473815918,30.128219604492
1715746939,"2024-05-15 04:22:19",B30A9,3U1264,9174.48,818.584,210,119.830078125,30.102119445801
1715746954,"2024-05-15 04:22:34",B30A9,3U1264,9174.48,816.732,210,119.81210327148,30.074979782104
1715746969,"2024-05-15 04:22:49",B30A9,3U1264,9174.48,816.732,210,119.79486846924,30.048839569092
1715746984,"2024-05-15 04:23:04",B30A9,3U1264,9174.48,814.88,211,119.77731323242,30.022340774536
1715746999,"2024-05-15 04:23:19",B30A9,3U1264,9174.48,813.028,211,119.75894927979,29.995010375977
1715747014,"2024-05-15 04:23:34",B30A9,3U1264,9166.86,809.324,211,119.74114227295,29.968519210815
