Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718503489,"2024-06-16 02:04:49",B2008,3U1280,45.72,268.54,177,121.33242034912,31.199480056763
1718503504,"2024-06-16 02:05:04",B2008,3U1280,129.54,307.432,176,121.33306121826,31.188459396362
1718503515,"2024-06-16 02:05:15",B2008,3U1280,243.84,309.284,176,121.33361053467,31.180690765381
1718503529,"2024-06-16 02:05:29",B2008,3U1280,426,313,179.7,121.33392333984,31.169082641602
1718503544,"2024-06-16 02:05:44",B2008,3U1280,609.6,314.84,178,121.33413696289,31.157360076904
1718503559,"2024-06-16 02:05:59",B2008,3U1280,769,318.7,178,121.33457183838,31.1455078125
1718503574,"2024-06-16 02:06:14",B2008,3U1280,929.64,324.1,177,121.33520507812,31.134136199951
1718503590,"2024-06-16 02:06:30",B2008,3U1280,1066.8,337.064,177,121.33596801758,31.120649337769
1718503605,"2024-06-16 02:06:45",B2008,3U1280,1135,371,176.9,121.33679962158,31.107973098755
1718503619,"2024-06-16 02:06:59",B2008,3U1280,1203.96,407.44,177,121.3377456665,31.092864990234
1718503635,"2024-06-16 02:07:15",B2008,3U1280,1287,411.7,176.9,121.33866119385,31.07698059082
1718503649,"2024-06-16 02:07:29",B2008,3U1280,1356.36,416.7,186,121.33860778809,31.061550140381
1718503664,"2024-06-16 02:07:44",B2008,3U1280,1432.56,437.072,220,121.32955932617,31.04640007019
1718503679,"2024-06-16 02:07:59",B2008,3U1280,1508.76,442.628,256,121.31252288818,31.038330078125
1718503694,"2024-06-16 02:08:14",B2008,3U1280,1539.24,438.924,280,121.29228973389,31.038850784302
1718503709,"2024-06-16 02:08:29",B2008,3U1280,1531.62,438.924,283,121.27506256104,31.042007446289
1718503724,"2024-06-16 02:08:44",B2008,3U1280,1539.24,444.48,284,121.25659179688,31.045806884766
1718503735,"2024-06-16 02:08:55",B2008,3U1280,1600.2,453.74,284,121.24308776855,31.048574447632
1718503749,"2024-06-16 02:09:09",B2008,3U1280,1729.74,481.52,283,121.22309112549,31.052669525146
1718503764,"2024-06-16 02:09:24",B2008,3U1280,1836.42,513.004,283,121.20177459717,31.056859970093
1718503779,"2024-06-16 02:09:39",B2008,3U1280,1988.82,535.228,282,121.17817687988,31.061279296875
1718503795,"2024-06-16 02:09:55",B2008,3U1280,2179,543,281.8,121.15566253662,31.065353393555
1718503809,"2024-06-16 02:10:09",B2008,3U1280,2430.78,540.784,273,121.1319732666,31.068050384521
1718503824,"2024-06-16 02:10:24",B2008,3U1280,2674.62,542.636,260,121.10816955566,31.065950393677
1718503839,"2024-06-16 02:10:39",B2008,3U1280,2887.98,544.488,255,121.08489990234,31.060459136963
1718503854,"2024-06-16 02:10:54",B2008,3U1280,3101.34,548.192,255,121.0623626709,31.055139541626
1718503869,"2024-06-16 02:11:09",B2008,3U1280,3246.12,563.008,254,121.04049682617,31.049737930298
1718503880,"2024-06-16 02:11:20",B2008,3U1280,3307.08,585.232,254,121.02291870117,31.045314788818
1718503894,"2024-06-16 02:11:34",B2008,3U1280,3406.14,611.16,253,120.99755096436,31.038890838623
1718503909,"2024-06-16 02:11:49",B2008,3U1280,3512.82,635.236,254,120.9729309082,31.032606124878
1718503924,"2024-06-16 02:12:04",B2008,3U1280,3634.74,653.756,254,120.94438934326,31.025436401367
1718503939,"2024-06-16 02:12:19",B2008,3U1280,3810,661.164,254,120.91696166992,31.018550872803
1718503955,"2024-06-16 02:12:35",B2008,3U1280,4015.74,666.72,254,120.88916015625,31.011560440063
1718503969,"2024-06-16 02:12:49",B2008,3U1280,4244.34,664.868,254,120.86071014404,31.004440307617
1718503985,"2024-06-16 02:13:05",B2008,3U1280,4389,662.9,253.9,120.8438949585,31.00025177002
1718503999,"2024-06-16 02:13:19",B2008,3U1280,4594.86,668.572,254,120.8126373291,30.992570877075
1718504014,"2024-06-16 02:13:34",B2008,3U1280,4785.36,670.424,254,120.78385162354,30.985427856445
1718504028,"2024-06-16 02:13:48",B2008,3U1280,4960.62,675.98,254,120.75654602051,30.978652954102
1718504043,"2024-06-16 02:14:03",B2008,3U1280,5143.5,681.536,254,120.72826385498,30.971622467041
1718504058,"2024-06-16 02:14:18",B2008,3U1280,5311.14,690.796,254,120.69882202148,30.964189529419
1718504069,"2024-06-16 02:14:29",B2008,3U1280,5417.82,694.5,254,120.67904663086,30.959190368652
1718504083,"2024-06-16 02:14:43",B2008,3U1280,5577.84,701.908,254,120.65048217773,30.952070236206
1718504098,"2024-06-16 02:14:58",B2008,3U1280,5760.72,711.168,254,120.61763000488,30.943920135498
1718504113,"2024-06-16 02:15:13",B2008,3U1280,5928.36,714.872,254,120.58873748779,30.93675994873
1718504128,"2024-06-16 02:15:28",B2008,3U1280,6096,720.428,254,120.55908203125,30.929260253906
1718504139,"2024-06-16 02:15:39",B2008,3U1280,6217.92,722.28,254,120.53830718994,30.924049377441
1718504153,"2024-06-16 02:15:53",B2008,3U1280,6385.56,727.836,254,120.50650024414,30.916080474854
1718504168,"2024-06-16 02:16:08",B2008,3U1280,6583.68,731.54,254,120.47477722168,30.907970428467
1718504183,"2024-06-16 02:16:23",B2008,3U1280,6781.8,735.244,242,120.4469909668,30.897260665894
1718504198,"2024-06-16 02:16:38",B2008,3U1280,6941.82,744.504,230,120.42092132568,30.880889892578
1718504209,"2024-06-16 02:16:49",B2008,3U1280,7056.12,753.764,220,120.4049911499,30.866130828857
1718504223,"2024-06-16 02:17:03",B2008,3U1280,7246.62,751.912,217,120.38500213623,30.842859268188
1718504239,"2024-06-16 02:17:19",B2008,3U1280,7444.74,753.764,215,120.36588287354,30.819910049438
