Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1706493556,"2024-01-29 01:59:16",B1297,CZ3548,-129.54,212.98,177,121.33219909668,31.202869415283
1706493576,"2024-01-29 01:59:36",B1297,CZ3548,-53.34,290.764,178,121.33290100098,31.187669754028
1706493591,"2024-01-29 01:59:51",B1297,CZ3548,99.06,292.616,177,121.33332824707,31.178379058838
1706493606,"2024-01-29 02:00:06",B1297,CZ3548,297,287.1,179.6,121.33350372314,31.167934417725
1706493621,"2024-01-29 02:00:21",B1297,CZ3548,518.16,283.356,178,121.33377838135,31.156946182251
1706493636,"2024-01-29 02:00:36",B1297,CZ3548,731,285.5,177.4,121.33435058594,31.14582824707
1706493651,"2024-01-29 02:00:51",B1297,CZ3548,899.16,296.32,176,121.33511352539,31.135389328003
1706493666,"2024-01-29 02:01:06",B1297,CZ3548,1013.46,333.36,177,121.33586120605,31.123336791992
1706493681,"2024-01-29 02:01:21",B1297,CZ3548,1036,372.7,177.2,121.33661651611,31.110900878906
1706493696,"2024-01-29 02:01:36",B1297,CZ3548,1043.94,433.368,177,121.33750915527,31.094520568848
1706493711,"2024-01-29 02:01:51",B1297,CZ3548,1036,450.1,178.8,121.33828735352,31.078720092773
1706493726,"2024-01-29 02:02:06",B1297,CZ3548,1043.94,455.592,205,121.33408355713,31.061874389648
1706493741,"2024-01-29 02:02:21",B1297,CZ3548,1036,475.5,231.2,121.32234191895,31.048828125
1706493756,"2024-01-29 02:02:36",B1297,CZ3548,1036.32,481.52,259,121.30246734619,31.040939331055
1706493771,"2024-01-29 02:02:51",B1297,CZ3548,1036.32,488.928,281,121.28098297119,31.041820526123
1706493786,"2024-01-29 02:03:06",B1297,CZ3548,1036,491.8,281.7,121.26116943359,31.045440673828
1706493801,"2024-01-29 02:03:21",B1297,CZ3548,1036.32,490.78,282,121.23935699463,31.049423217773
1706493816,"2024-01-29 02:03:36",B1297,CZ3548,1059,493,282.4,121.21921539307,31.05322265625
1706493831,"2024-01-29 02:03:51",B1297,CZ3548,1264.92,492.632,283,121.19734954834,31.057340621948
1706493846,"2024-01-29 02:04:06",B1297,CZ3548,1562.1,490.78,282,121.17683410645,31.061189651489
1706493861,"2024-01-29 02:04:21",B1297,CZ3548,1745,492.2,281.9,121.15819549561,31.064529418945
1706493876,"2024-01-29 02:04:36",B1297,CZ3548,1912.62,494.484,275,121.13385009766,31.068189620972
1706493891,"2024-01-29 02:04:51",B1297,CZ3548,2049.78,494.484,259,121.11273193359,31.067050933838
1706493906,"2024-01-29 02:05:06",B1297,CZ3548,2194.56,492.632,254,121.091796875,31.061840057373
1706493921,"2024-01-29 02:05:21",B1297,CZ3548,2415,497.4,254.7,121.07165527344,31.056930541992
1706493936,"2024-01-29 02:05:36",B1297,CZ3548,2682.24,498.188,254,121.05016326904,31.0517578125
1706493951,"2024-01-29 02:05:51",B1297,CZ3548,2956,490.5,253.5,121.0308303833,31.046758651733
