Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718932429,"2024-06-21 01:13:49",B20EH,CZ3596,91.44,237.056,177,121.33229064941,31.201169967651
1718932444,"2024-06-21 01:14:04",B20EH,CZ3596,99.06,255.576,177,121.33278656006,31.192289352417
1718932457,"2024-06-21 01:14:17",B20EH,CZ3596,198.12,314.84,176,121.33332824707,31.182723999023
1718932472,"2024-06-21 01:14:32",B20EH,CZ3596,365.76,320.396,179,121.33381652832,31.171009063721
1718932487,"2024-06-21 01:14:47",B20EH,CZ3596,563,311.1,179.7,121.33388519287,31.159740447998
1718932498,"2024-06-21 01:14:58",B20EH,CZ3596,693.42,311.136,178,121.33399963379,31.151500701904
1718932512,"2024-06-21 01:15:12",B20EH,CZ3596,868.68,314.84,177,121.33465576172,31.140375137329
1718932527,"2024-06-21 01:15:27",B20EH,CZ3596,1066,317.8,175.3,121.33553314209,31.127618789673
1718932542,"2024-06-21 01:15:42",B20EH,CZ3596,1188.72,342.62,178,121.33629608154,31.116119384766
1718932557,"2024-06-21 01:15:57",B20EH,CZ3596,1303.02,379.66,176,121.33706665039,31.101879119873
1718932572,"2024-06-21 01:16:12",B20EH,CZ3596,1424.94,409.292,177,121.33785247803,31.088333129883
1718932583,"2024-06-21 01:16:23",B20EH,CZ3596,1508,431.8,177.8,121.3384475708,31.076248168945
1718932597,"2024-06-21 01:16:37",B20EH,CZ3596,1569.72,431.516,206,121.33460235596,31.060300827026
1718932612,"2024-06-21 01:16:52",B20EH,CZ3596,1577,425.8,231.5,121.32306671143,31.048107147217
1718932627,"2024-06-21 01:17:07",B20EH,CZ3596,1584.96,444.48,244,121.30657196045,31.04022026062
1718932642,"2024-06-21 01:17:22",B20EH,CZ3596,1569.72,470.408,245,121.28817749023,31.032609939575
1718932657,"2024-06-21 01:17:37",B20EH,CZ3596,1569,474.6,244.3,121.27188110352,31.025894165039
1718932672,"2024-06-21 01:17:52",B20EH,CZ3596,1569.72,474.112,244,121.25217437744,31.01774597168
1718932687,"2024-06-21 01:18:07",B20EH,CZ3596,1630,476.3,244.4,121.23321533203,31.009918212891
1718932702,"2024-06-21 01:18:22",B20EH,CZ3596,1859.28,477.816,244,121.21507263184,31.002393722534
1718932717,"2024-06-21 01:18:37",B20EH,CZ3596,2126,474.6,244.3,121.1950302124,30.994079589844
1718932731,"2024-06-21 01:18:51",B20EH,CZ3596,2369.82,475.964,244,121.1763381958,30.986389160156
1718932747,"2024-06-21 01:19:07",B20EH,CZ3596,2575.56,481.52,245,121.15824890137,30.978927612305
1718932761,"2024-06-21 01:19:21",B20EH,CZ3596,2720.34,487.076,244,121.14009094238,30.971437454224
1718932776,"2024-06-21 01:19:36",B20EH,CZ3596,2788.92,490.78,245,121.11920166016,30.962814331055
1718932791,"2024-06-21 01:19:51",B20EH,CZ3596,2804,494.5,244.5,121.10147094727,30.95546913147
1718932806,"2024-06-21 01:20:06",B20EH,CZ3596,2926.08,496.336,244,121.08000183105,30.94660949707
1718932821,"2024-06-21 01:20:21",B20EH,CZ3596,3147.06,500.04,245,121.060546875,30.938619613647
1718932836,"2024-06-21 01:20:36",B20EH,CZ3596,3329.94,509.3,245,121.04165649414,30.930816650391
1718932847,"2024-06-21 01:20:47",B20EH,CZ3596,3383,531.8,244.4,121.02951049805,30.925769805908
1718932861,"2024-06-21 01:21:01",B20EH,CZ3596,3467.1,566.712,244,121.0062713623,30.916168212891
1718932876,"2024-06-21 01:21:16",B20EH,CZ3596,3566.16,596.344,244,120.9835357666,30.90682220459
1718932891,"2024-06-21 01:21:31",B20EH,CZ3596,3726.18,609.308,244,120.95947265625,30.896860122681
1718932906,"2024-06-21 01:21:46",B20EH,CZ3596,3901.44,618.568,244,120.93370819092,30.886249542236
1718932921,"2024-06-21 01:22:01",B20EH,CZ3596,4084.32,625.976,245,120.91105651855,30.876937866211
1718932937,"2024-06-21 01:22:17",B20EH,CZ3596,4251.96,635.236,244,120.88536834717,30.866317749023
1718932951,"2024-06-21 01:22:31",B20EH,CZ3596,4411.98,644.496,244,120.85989379883,30.85578918457
1718932966,"2024-06-21 01:22:46",B20EH,CZ3596,4564.38,653.756,245,120.83431243896,30.845260620117
1718932977,"2024-06-21 01:22:57",B20EH,CZ3596,4678.68,661.164,244,120.81842803955,30.838714599609
1718932988,"2024-06-21 01:23:08",B20EH,CZ3596,4785.36,663.016,245,120.80001068115,30.831159591675
1718933002,"2024-06-21 01:23:22",B20EH,CZ3596,4930.14,672.276,245,120.77320098877,30.820142745972
1718933016,"2024-06-21 01:23:36",B20EH,CZ3596,5067.3,685.24,245,120.74678039551,30.80924987793
1718933031,"2024-06-21 01:23:51",B20EH,CZ3596,5204.46,692.648,245,120.7193069458,30.797939300537
1718933046,"2024-06-21 01:24:06",B20EH,CZ3596,5356.86,700.056,242,120.69239807129,30.786529541016
1718933061,"2024-06-21 01:24:21",B20EH,CZ3596,5516.88,705.612,232,120.66687774658,30.771699905396
