Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1705625759,"2024-01-19 00:55:59",B20AJ,FM9303,-76.2,283.356,358,121.33219909668,31.202959060669
1705625772,"2024-01-19 00:56:12",B20AJ,FM9303,60.96,281.504,358,121.33181762695,31.211429595947
1705625787,"2024-01-19 00:56:27",B20AJ,FM9303,243,282.5,355.1,121.33103179932,31.222213745117
1705625802,"2024-01-19 00:56:42",B20AJ,FM9303,403.86,303.728,323,121.3258972168,31.232299804688
1705625817,"2024-01-19 00:56:57",B20AJ,FM9303,579.12,324.1,298,121.31367492676,31.239120483398
1705625832,"2024-01-19 00:57:12",B20AJ,FM9303,731,332.4,299,121.30262756348,31.244325637817
1705625847,"2024-01-19 00:57:27",B20AJ,FM9303,914.4,344.472,298,121.28873443604,31.250749588013
1705625862,"2024-01-19 00:57:42",B20AJ,FM9303,1036.32,375.956,297,121.2748336792,31.256801605225
1705625877,"2024-01-19 00:57:57",B20AJ,FM9303,1143,412.996,298,121.25955200195,31.263610839844
1705625893,"2024-01-19 00:58:13",B20AJ,FM9303,1287,416.1,292.2,121.24377441406,31.27033996582
1705625907,"2024-01-19 00:58:27",B20AJ,FM9303,1379.22,401.884,269,121.22557067871,31.272857666016
1705625922,"2024-01-19 00:58:42",B20AJ,FM9303,1402.08,392.624,249,121.20853424072,31.269836425781
1705625937,"2024-01-19 00:58:57",B20AJ,FM9303,1402,389.7,232.5,121.19458007812,31.262853622437
1705625952,"2024-01-19 00:59:12",B20AJ,FM9303,1485.9,394.476,235,121.18002319336,31.253540039062
1705625967,"2024-01-19 00:59:27",B20AJ,FM9303,1676.4,400.032,234,121.16584014893,31.244800567627
1705625982,"2024-01-19 00:59:42",B20AJ,FM9303,1897.38,401.884,233,121.15167999268,31.235960006714
1705625997,"2024-01-19 00:59:57",B20AJ,FM9303,2110.74,405.588,233,121.13757324219,31.227081298828
1705626012,"2024-01-19 01:00:12",B20AJ,FM9303,2316.48,418.552,211,121.1257019043,31.215700149536
1705626027,"2024-01-19 01:00:27",B20AJ,FM9303,2491.74,448.184,191,121.11914825439,31.200260162354
1705626042,"2024-01-19 01:00:42",B20AJ,FM9303,2583,495.5,176.4,121.11893463135,31.182907104492
1705626057,"2024-01-19 01:00:57",B20AJ,FM9303,2636.52,522.264,177,121.12017059326,31.163539886475
