Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718930921,"2024-06-21 00:48:41",B1496,GJ3888,0,39.8,340.3,121.79881286621,31.135974884033
1718930927,"2024-06-21 00:48:47",B1496,GJ3888,0,39.8,340.3,121.79860687256,31.136501312256
1718930931,"2024-06-21 00:48:51",B1496,GJ3888,0,36.1,343.1,121.79838562012,31.137069702148
1718930936,"2024-06-21 00:48:56",B1496,GJ3888,0,30.6,340.3,121.79821777344,31.137542724609
1718930946,"2024-06-21 00:49:06",B1496,GJ3888,0,25.5,343.1,121.79806518555,31.13793182373
1718930951,"2024-06-21 00:49:11",B1496,GJ3888,0,21.8,343.1,121.79795837402,31.138240814209
1718930955,"2024-06-21 00:49:15",B1496,GJ3888,0,20.8,340.3,121.79783630371,31.138547897339
1718930963,"2024-06-21 00:49:23",B1496,GJ3888,0,20.8,340.3,121.79772949219,31.138849258423
1718930968,"2024-06-21 00:49:28",B1496,GJ3888,0,20.8,343.1,121.79760742188,31.139152526855
1718930975,"2024-06-21 00:49:35",B1496,GJ3888,0,21.8,340.3,121.79748535156,31.139478683472
1718930980,"2024-06-21 00:49:40",B1496,GJ3888,0,21.8,340.3,121.79737091064,31.139804840088
1718930988,"2024-06-21 00:49:48",B1496,GJ3888,0,18.1,340.3,121.79723358154,31.140129089355
1718931013,"2024-06-21 00:50:13",B1496,GJ3888,0,19.9,303.8,121.796043396,31.140468597412
1718931023,"2024-06-21 00:50:23",B1496,GJ3888,0,19,343.1,121.79584503174,31.140909194946
1718931032,"2024-06-21 00:50:32",B1496,GJ3888,0,19,343.1,121.79572296143,31.141271591187
1718931036,"2024-06-21 00:50:36",B1496,GJ3888,0,21.8,343.1,121.7956161499,31.141550064087
1718931047,"2024-06-21 00:50:47",B1496,GJ3888,0,25.5,343.1,121.79546356201,31.141933441162
1718931050,"2024-06-21 00:50:50",B1496,GJ3888,0,26.4,343.1,121.79531860352,31.142314910889
1718931055,"2024-06-21 00:50:55",B1496,GJ3888,0,27.3,343.1,121.79518890381,31.142681121826
1718931060,"2024-06-21 00:51:00",B1496,GJ3888,0,28.7,343.1,121.79502105713,31.143098831177
1718931069,"2024-06-21 00:51:09",B1496,GJ3888,0,28.7,343.1,121.79487609863,31.143516540527
1718931072,"2024-06-21 00:51:12",B1496,GJ3888,0,28.7,340.3,121.79469299316,31.143970489502
1718931082,"2024-06-21 00:51:22",B1496,GJ3888,0,30.6,343.1,121.79454040527,31.144397735596
1718931087,"2024-06-21 00:51:27",B1496,GJ3888,0,31.484,343,121.79438018799,31.144844055176
1718931090,"2024-06-21 00:51:30",B1496,GJ3888,0,25.5,343.1,121.7942276001,31.145227432251
1718931096,"2024-06-21 00:51:36",B1496,GJ3888,0,19,340.3,121.79412078857,31.145530700684
1718931100,"2024-06-21 00:51:40",B1496,GJ3888,0,19,340.3,121.79405212402,31.145681381226
1718931109,"2024-06-21 00:51:49",B1496,GJ3888,0,19.9,343.1,121.79393768311,31.145977020264
1718931113,"2024-06-21 00:51:53",B1496,GJ3888,0,25.928,343,121.79381561279,31.146331787109
1718931122,"2024-06-21 00:52:02",B1496,GJ3888,0,28.7,343.1,121.79364776611,31.146728515625
1718931125,"2024-06-21 00:52:05",B1496,GJ3888,0,28.7,343.1,121.79350280762,31.147136688232
1718931133,"2024-06-21 00:52:13",B1496,GJ3888,0,28.7,343.1,121.79334259033,31.147556304932
1718931137,"2024-06-21 00:52:17",B1496,GJ3888,0,28.7,343.1,121.79318237305,31.147974014282
1718931145,"2024-06-21 00:52:25",B1496,GJ3888,0,29.632,343,121.79302978516,31.148380279541
1718931150,"2024-06-21 00:52:30",B1496,GJ3888,0,30.6,343.1,121.79285430908,31.148849487305
1718931155,"2024-06-21 00:52:35",B1496,GJ3888,0,30.6,343.1,121.79272460938,31.149227142334
1718931163,"2024-06-21 00:52:43",B1496,GJ3888,0,30.6,340.3,121.79253387451,31.149684906006
1718931167,"2024-06-21 00:52:47",B1496,GJ3888,0,30.6,343.1,121.79235839844,31.150142669678
1718931172,"2024-06-21 00:52:52",B1496,GJ3888,0,30.6,343.1,121.79222869873,31.150508880615
1718931182,"2024-06-21 00:53:02",B1496,GJ3888,0,32.4,340.3,121.79201507568,31.151058197021
1718931186,"2024-06-21 00:53:06",B1496,GJ3888,0,30.6,340.3,121.79186248779,31.151481628418
1718931191,"2024-06-21 00:53:11",B1496,GJ3888,0,30.6,343.1,121.79168701172,31.15193939209
1718931199,"2024-06-21 00:53:19",B1496,GJ3888,0,28.7,343.1,121.79152679443,31.152362823486
1718931204,"2024-06-21 00:53:24",B1496,GJ3888,0,27.3,343.1,121.79138946533,31.152751922607
1718931212,"2024-06-21 00:53:32",B1496,GJ3888,0,26.4,340.3,121.79124450684,31.153142929077
1718931216,"2024-06-21 00:53:36",B1496,GJ3888,0,25.5,343.1,121.79109191895,31.153518676758
1718931225,"2024-06-21 00:53:45",B1496,GJ3888,0,25.5,343.1,121.79096984863,31.153816223145
1718931228,"2024-06-21 00:53:48",B1496,GJ3888,0,19,340.3,121.79084777832,31.154165267944
1718931236,"2024-06-21 00:53:56",B1496,GJ3888,0,10.6,343.1,121.79077148438,31.154354095459
1718931241,"2024-06-21 00:54:01",B1496,GJ3888,0,10.6,343.1,121.79071807861,31.154514312744
1718931246,"2024-06-21 00:54:06",B1496,GJ3888,0,11.112,343,121.79066467285,31.154651641846
1718931255,"2024-06-21 00:54:15",B1496,GJ3888,0,10.6,343.1,121.7905960083,31.154811859131
1718931258,"2024-06-21 00:54:18",B1496,GJ3888,0,12.5,343.1,121.79053497314,31.155004501343
1718931268,"2024-06-21 00:54:28",B1496,GJ3888,0,14.816,343,121.79046630859,31.155178070068
1718931274,"2024-06-21 00:54:34",B1496,GJ3888,0,13.4,343.1,121.79038238525,31.155384063721
1718931276,"2024-06-21 00:54:36",B1496,GJ3888,0,13.4,343.1,121.7903137207,31.155567169189
1718931285,"2024-06-21 00:54:45",B1496,GJ3888,0,13.4,343.1,121.79024505615,31.155771255493
1718931291,"2024-06-21 00:54:51",B1496,GJ3888,0,13.4,343.1,121.79016113281,31.155969619751
1718931294,"2024-06-21 00:54:54",B1496,GJ3888,0,12.5,343.1,121.79011535645,31.156093597412
1718931298,"2024-06-21 00:54:58",B1496,GJ3888,0,12.5,343.1,121.79005432129,31.156272888184
1718931307,"2024-06-21 00:55:07",B1496,GJ3888,0,9.7,343.1,121.79000091553,31.156423568726
1718931311,"2024-06-21 00:55:11",B1496,GJ3888,0,9.7,343.1,121.78993988037,31.156574249268
1718931319,"2024-06-21 00:55:19",B1496,GJ3888,0,8.8,343.1,121.78988647461,31.156690597534
1718931324,"2024-06-21 00:55:24",B1496,GJ3888,0,6.9,343.1,121.78984832764,31.156818389893
1718931330,"2024-06-21 00:55:30",B1496,GJ3888,0,6,343.1,121.78981781006,31.156917572021
1718931337,"2024-06-21 00:55:37",B1496,GJ3888,0,5.1,343.1,121.78977966309,31.156993865967
1718931341,"2024-06-21 00:55:41",B1496,GJ3888,0,2.5,343.1,121.7897644043,31.157051086426
1718931349,"2024-06-21 00:55:49",B1496,GJ3888,0,0,343.1,121.7897644043,31.157043457031
1718931358,"2024-06-21 00:55:58",B1496,GJ3888,0,0,343.1,121.7897644043,31.157039642334
1718931361,"2024-06-21 00:56:01",B1496,GJ3888,0,0.4,343.1,121.7897644043,31.157039642334
1718931367,"2024-06-21 00:56:07",B1496,GJ3888,0,0,343.1,121.78974914551,31.157051086426
1718931376,"2024-06-21 00:56:16",B1496,GJ3888,0,0,343.1,121.78974914551,31.157089233398
1718931385,"2024-06-21 00:56:25",B1496,GJ3888,0,2.5,340.3,121.78972625732,31.157144546509
1718931390,"2024-06-21 00:56:30",B1496,GJ3888,0,3.5,340.3,121.78969573975,31.157192230225
1718931395,"2024-06-21 00:56:35",B1496,GJ3888,0,4.2,340.3,121.78969573975,31.1572265625
1718931405,"2024-06-21 00:56:45",B1496,GJ3888,0,5.5559998,343,121.78966522217,31.157295227051
1718931411,"2024-06-21 00:56:51",B1496,GJ3888,0,5.1,343.1,121.78964233398,31.157363891602
1718931414,"2024-06-21 00:56:54",B1496,GJ3888,0,5.1,343.1,121.78961181641,31.157421112061
1718931422,"2024-06-21 00:57:02",B1496,GJ3888,0,6,343.1,121.78957366943,31.157529830933
1718931426,"2024-06-21 00:57:06",B1496,GJ3888,0,6.9,343.1,121.78954315186,31.157621383667
