Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1707608797,"2024-02-10 23:46:37",B1115,HO1855,-91.44,294.468,358,121.33209228516,31.204929351807
1707608812,"2024-02-10 23:46:52",B1115,HO1855,30.48,296.32,358,121.33171844482,31.213809967041
1707608827,"2024-02-10 23:47:07",B1115,HO1855,228.6,285.208,350,121.33087158203,31.224630355835
1707608842,"2024-02-10 23:47:22",B1115,HO1855,403.86,285.208,306,121.32390594482,31.23307800293
1707608857,"2024-02-10 23:47:37",B1115,HO1855,617.22,288.912,298,121.31257629395,31.238227844238
1707608872,"2024-02-10 23:47:52",B1115,HO1855,830,287.6,298.9,121.30213928223,31.243162155151
1707608887,"2024-02-10 23:48:07",B1115,HO1855,1005.84,314.84,299,121.28991699219,31.248920440674
1707608898,"2024-02-10 23:48:18",B1115,HO1855,1112.52,350.028,299,121.27824401855,31.254428863525
1707608912,"2024-02-10 23:48:32",B1115,HO1855,1211,378.8,298.9,121.2678604126,31.25936126709
1707608927,"2024-02-10 23:48:47",B1115,HO1855,1325.88,396.328,299,121.25280761719,31.266479492188
1707608938,"2024-02-10 23:48:58",B1115,HO1855,1356.36,400.032,293,121.24237060547,31.270980834961
1707608952,"2024-02-10 23:49:12",B1115,HO1855,1363.98,411.144,269,121.22501373291,31.273189544678
1707608953,"2024-02-10 23:49:13",B1115,HO1855,1363.98,414.848,263,121.22023010254,31.272815704346
1707608967,"2024-02-10 23:49:27",B1115,HO1855,1386,428.9,248.2,121.20687866211,31.269561767578
1707608983,"2024-02-10 23:49:43",B1115,HO1855,1485.9,474.112,232,121.19055938721,31.260406494141
1707608998,"2024-02-10 23:49:58",B1115,HO1855,1691,489.4,234.1,121.17430877686,31.250144958496
1707609012,"2024-02-10 23:50:12",B1115,HO1855,1996.44,485.224,235,121.15625762939,31.238889694214
1707609027,"2024-02-10 23:50:27",B1115,HO1855,2240.28,481.52,233,121.1393737793,31.228265762329
1707609038,"2024-02-10 23:50:38",B1115,HO1855,2400.3,500.04,218,121.1293182373,31.219560623169
1707609052,"2024-02-10 23:50:52",B1115,HO1855,2613.66,537.08,195,121.11979675293,31.201810836792
1707609067,"2024-02-10 23:51:07",B1115,HO1855,2750.82,561.156,177,121.11888122559,31.180734634399
1707609082,"2024-02-10 23:51:22",B1115,HO1855,2827.02,563.008,177,121.12020111084,31.160205841064
1707609093,"2024-02-10 23:51:33",B1115,HO1855,2842,564,176.6,121.12102508545,31.14782333374
1707609107,"2024-02-10 23:51:47",B1115,HO1855,2842.26,563.008,179,121.12251281738,31.124687194824
1707609122,"2024-02-10 23:52:02",B1115,HO1855,2842.26,550.044,196,121.11904144287,31.10417175293
1707609137,"2024-02-10 23:52:17",B1115,HO1855,2918,542.2,211.7,121.10913085938,31.085906982422
1707609148,"2024-02-10 23:52:28",B1115,HO1855,3101.34,531.524,225,121.09554290771,31.071760177612
1707609162,"2024-02-10 23:52:42",B1115,HO1855,3238.5,540.784,236,121.08191680908,31.062349319458
1707609177,"2024-02-10 23:52:57",B1115,HO1855,3314,558.6,249.2,121.0615234375,31.054000854492
1707609193,"2024-02-10 23:53:13",B1115,HO1855,3413.76,596.344,254,121.03552246094,31.047679901123
1707609208,"2024-02-10 23:53:28",B1115,HO1855,3573.78,616.716,254,121.00973510742,31.041450500488
1707609222,"2024-02-10 23:53:42",B1115,HO1855,3771,627.8,254.1,120.9850692749,31.035398483276
1707609237,"2024-02-10 23:53:57",B1115,HO1855,3954.78,642.644,255,120.95677947998,31.028457641602
1707609252,"2024-02-10 23:54:12",B1115,HO1855,4160.52,650.052,255,120.9299621582,31.021865844727
1707609267,"2024-02-10 23:54:27",B1115,HO1855,4351.02,661.164,254,120.90190124512,31.014869689941
1707609282,"2024-02-10 23:54:42",B1115,HO1855,4457.7,663.016,254,120.87454986572,31.008069992065
1707609297,"2024-02-10 23:54:57",B1115,HO1855,4602.48,666.72,254,120.84605407715,31.001083374023
1707609312,"2024-02-10 23:55:12",B1115,HO1855,4808,674.1,254.1,120.8179397583,30.994079589844
1707609327,"2024-02-10 23:55:27",B1115,HO1855,4968.24,685.24,255,120.78971862793,30.987169265747
1707609342,"2024-02-10 23:55:42",B1115,HO1855,5158.74,692.648,254,120.76100158691,30.979955673218
1707609357,"2024-02-10 23:55:57",B1115,HO1855,5372,693.8,253.4,120.73177337646,30.972427368164
1707609373,"2024-02-10 23:56:13",B1115,HO1855,5593.08,692.648,254,120.70260620117,30.965110778809
1707609387,"2024-02-10 23:56:27",B1115,HO1855,5791.2,696.352,254,120.67324066162,30.957870483398
1707609402,"2024-02-10 23:56:42",B1115,HO1855,5928.36,696.352,254,120.64873504639,30.951782226562
1707609417,"2024-02-10 23:56:57",B1115,HO1855,5996.94,696.352,254,120.6145324707,30.943309783936
1707609432,"2024-02-10 23:57:12",B1115,HO1855,6004.56,698.204,254,120.58473205566,30.935779571533
1707609447,"2024-02-10 23:57:27",B1115,HO1855,6004.56,696.352,254,120.55653381348,30.928619384766
1707609458,"2024-02-10 23:57:38",B1115,HO1855,6042.66,696.352,254,120.53790283203,30.923860549927
1707609472,"2024-02-10 23:57:52",B1115,HO1855,6103,698.6,253.7,120.51026916504,30.916900634766
1707609487,"2024-02-10 23:58:07",B1115,HO1855,6179.82,696.352,254,120.47969818115,30.909240722656
1707609502,"2024-02-10 23:58:22",B1115,HO1855,6256.02,714.872,242,120.45114135742,30.89965057373
1707609503,"2024-02-10 23:58:23",B1115,HO1855,6278,716.1,241.2,120.44355773926,30.895929336548
1707609517,"2024-02-10 23:58:37",B1115,HO1855,6347.46,729.688,231,120.42497253418,30.884349822998
1707609532,"2024-02-10 23:58:52",B1115,HO1855,6454.14,748.208,217,120.40213012695,30.863199234009
1707609547,"2024-02-10 23:59:07",B1115,HO1855,6560.82,748.208,216,120.38397979736,30.840730667114
1707609562,"2024-02-10 23:59:22",B1115,HO1855,6675.12,748.208,216,120.36476135254,30.817110061646
1707609577,"2024-02-10 23:59:37",B1115,HO1855,6789.42,757.468,216,120.34649658203,30.794950485229
1707609588,"2024-02-10 23:59:48",B1115,HO1855,6873.24,763.024,216,120.33331298828,30.779039382935
1707609603,"2024-02-11 00:00:03",B1115,HO1855,7048.5,763.024,216,120.31381225586,30.755489349365
1707609617,"2024-02-11 00:00:17",B1115,HO1855,7223.76,766.728,216,120.29479980469,30.732580184937
1707609628,"2024-02-11 00:00:28",B1115,HO1855,7353.3,764.876,216,120.28199768066,30.716939926147
1707609643,"2024-02-11 00:00:43",B1115,HO1855,7528.56,764.876,216,120.26261138916,30.693470001221
1707609657,"2024-02-11 00:00:57",B1115,HO1855,7741.92,761.172,216,120.24355316162,30.670059204102
1707609673,"2024-02-11 00:01:13",B1115,HO1855,7871.46,766.728,216,120.22441101074,30.646770477295
1707609688,"2024-02-11 00:01:28",B1115,HO1855,8031.48,770.432,216,120.205078125,30.623199462891
1707609703,"2024-02-11 00:01:43",B1115,HO1855,8183.88,775.988,216,120.18541717529,30.599119186401
1707609717,"2024-02-11 00:01:57",B1115,HO1855,8321.04,779.692,216,120.16577148438,30.57513999939
1707609733,"2024-02-11 00:02:13",B1115,HO1855,8397.24,781.544,216,120.14631652832,30.551540374756
1707609747,"2024-02-11 00:02:27",B1115,HO1855,8412.48,781.544,216,120.12677001953,30.527759552002
1707609771,"2024-02-11 00:02:51",B1115,HO1855,8404.86,759.32,226,120.10507202148,30.505830764771
1707609783,"2024-02-11 00:03:03",B1115,HO1855,8404.86,738.948,237,120.07076263428,30.481840133667
1707609797,"2024-02-11 00:03:17",B1115,HO1855,8412.48,733.392,240,120.04370880127,30.467739105225
1707609813,"2024-02-11 00:03:33",B1115,HO1855,8412.48,731.54,240,120.01605224609,30.45405960083
1707609827,"2024-02-11 00:03:47",B1115,HO1855,8412.48,753.764,229,119.99063873291,30.438690185547
1707609828,"2024-02-11 00:03:48",B1115,HO1855,8412.48,766.728,224,119.98394775391,30.432859420776
1707609843,"2024-02-11 00:04:03",B1115,HO1855,8412.48,794.508,212,119.96925354004,30.415510177612
1707609857,"2024-02-11 00:04:17",B1115,HO1855,8404.86,801.916,209,119.95217895508,30.388820648193
1707609868,"2024-02-11 00:04:28",B1115,HO1855,8404.86,800.064,210,119.94119262695,30.371660232544
1707609883,"2024-02-11 00:04:43",B1115,HO1855,8404.86,794.508,210,119.92443847656,30.345890045166
1707609897,"2024-02-11 00:04:57",B1115,HO1855,8404.86,792.656,210,119.90747833252,30.319929122925
1707609912,"2024-02-11 00:05:12",B1115,HO1855,8412.48,790.804,210,119.89045715332,30.294109344482
1707609923,"2024-02-11 00:05:23",B1115,HO1855,8412.48,788.952,210,119.87857818604,30.276039123535
1707609937,"2024-02-11 00:05:37",B1115,HO1855,8404.86,785.248,210,119.86219024658,30.251220703125
1707609952,"2024-02-11 00:05:52",B1115,HO1855,8404.86,781.544,210,119.84468078613,30.224620819092
1707609967,"2024-02-11 00:06:07",B1115,HO1855,8412.48,783.396,210,119.8279876709,30.199449539185
1707609978,"2024-02-11 00:06:18",B1115,HO1855,8412.48,783.396,211,119.81706237793,30.182929992676
1707609992,"2024-02-11 00:06:32",B1115,HO1855,8404.86,783.396,210,119.80014038086,30.157379150391
1707610008,"2024-02-11 00:06:48",B1115,HO1855,8404.86,781.544,210,119.78291320801,30.131380081177
1707610023,"2024-02-11 00:07:03",B1115,HO1855,8404.86,779.692,210,119.76648712158,30.106609344482
1707610037,"2024-02-11 00:07:17",B1115,HO1855,8412.48,779.692,210,119.74960327148,30.081029891968
1707610048,"2024-02-11 00:07:28",B1115,HO1855,8404.86,777.84,211,119.73821258545,30.063999176025
1707610062,"2024-02-11 00:07:42",B1115,HO1855,8412.48,775.988,211,119.72081756592,30.038177490234
1707610073,"2024-02-11 00:07:53",B1115,HO1855,8404.86,774.136,211,119.70879364014,30.0202293396
1707610087,"2024-02-11 00:08:07",B1115,HO1855,8404.86,770.432,211,119.69242095947,29.995840072632
1707610102,"2024-02-11 00:08:22",B1115,HO1855,8412.48,770.432,211,119.67622375488,29.971664428711
1707610113,"2024-02-11 00:08:33",B1115,HO1855,8412.48,772.284,211,119.66512298584,29.955150604248
1707610127,"2024-02-11 00:08:47",B1115,HO1855,8412.48,772.284,211,119.64824676514,29.930160522461
1707610138,"2024-02-11 00:08:58",B1115,HO1855,8404.86,770.432,211,119.63733673096,29.913940429688
1707610152,"2024-02-11 00:09:12",B1115,HO1855,8412.48,766.728,212,119.61966705322,29.888580322266
1707610167,"2024-02-11 00:09:27",B1115,HO1855,8412.48,764.876,214,119.60153198242,29.863870620728
1707610182,"2024-02-11 00:09:42",B1115,HO1855,8412.48,763.024,214,119.58364868164,29.840679168701
1707610197,"2024-02-11 00:09:57",B1115,HO1855,8488.68,766.728,215,119.56523132324,29.817270278931
1707610208,"2024-02-11 00:10:08",B1115,HO1855,8702.04,757.468,214,119.547996521,29.795108795166
1707610222,"2024-02-11 00:10:22",B1115,HO1855,8862.06,755.616,214,119.53426361084,29.777389526367
1707610223,"2024-02-11 00:10:23",B1115,HO1855,8907.78,755.616,215,119.52987670898,29.771759033203
1707610237,"2024-02-11 00:10:37",B1115,HO1855,9006.84,759.32,215,119.51567077637,29.753540039062
1707610252,"2024-02-11 00:10:52",B1115,HO1855,9159.24,763.024,215,119.49738311768,29.730030059814
1707610268,"2024-02-11 00:11:08",B1115,HO1855,9288.78,768.58,215,119.47933197021,29.707080841064
1707610282,"2024-02-11 00:11:22",B1115,HO1855,9425.94,764.876,218,119.45995330811,29.683429718018
1707610293,"2024-02-11 00:11:33",B1115,HO1855,9525,759.32,221,119.44625854492,29.668809890747
1707610307,"2024-02-11 00:11:47",B1115,HO1855,9646.92,755.616,225,119.42391967773,29.647819519043
1707610322,"2024-02-11 00:12:02",B1115,HO1855,9784.08,750.06,229,119.39968109131,29.628339767456
1707610337,"2024-02-11 00:12:17",B1115,HO1855,9959.34,748.208,228,119.37615203857,29.609920501709
1707610348,"2024-02-11 00:12:28",B1115,HO1855,10111.74,746.356,229,119.35530853271,29.593460083008
1707610362,"2024-02-11 00:12:42",B1115,HO1855,10233.66,746.356,229,119.33576202393,29.578130722046
1707610377,"2024-02-11 00:12:57",B1115,HO1855,10386.06,746.356,228,119.31273651123,29.559909820557
1707610392,"2024-02-11 00:13:12",B1115,HO1855,10591.8,737.096,229,119.28901672363,29.54128074646
1707610407,"2024-02-11 00:13:27",B1115,HO1855,10797.54,725.984,228,119.26553344727,29.522819519043
1707610422,"2024-02-11 00:13:42",B1115,HO1855,10934.7,722.28,228,119.24195861816,29.504199981689
1707610437,"2024-02-11 00:13:57",B1115,HO1855,10995.66,722.28,228,119.21925354004,29.486209869385
1707610452,"2024-02-11 00:14:12",B1115,HO1855,11003.28,725.984,229,119.19638061523,29.468309402466
1707610467,"2024-02-11 00:14:27",B1115,HO1855,10995.66,727.836,229,119.17263031006,29.449739456177
1707610482,"2024-02-11 00:14:42",B1115,HO1855,10995.66,727.836,229,119.14936828613,29.431489944458
1707610497,"2024-02-11 00:14:57",B1115,HO1855,10995.66,725.984,228,119.12622833252,29.413330078125
1707610513,"2024-02-11 00:15:13",B1115,HO1855,10995.66,727.836,228,119.10321044922,29.395130157471
1707610527,"2024-02-11 00:15:27",B1115,HO1855,10995.66,725.984,228,119.08023071289,29.376890182495
1707610543,"2024-02-11 00:15:43",B1115,HO1855,11003.28,727.836,228,119.05555725098,29.357299804688
1707610558,"2024-02-11 00:15:58",B1115,HO1855,10995.66,727.836,228,119.03379821777,29.340009689331
1707610572,"2024-02-11 00:16:12",B1115,HO1855,10995.66,729.688,228,119.01013946533,29.321229934692
1707610588,"2024-02-11 00:16:28",B1115,HO1855,11003.28,729.688,228,118.98709869385,29.302909851074
1707610602,"2024-02-11 00:16:42",B1115,HO1855,11003.28,733.392,228,118.96434020996,29.284790039062
1707610613,"2024-02-11 00:16:53",B1115,HO1855,11003.28,733.392,228,118.94833374023,29.27214050293
1707610627,"2024-02-11 00:17:07",B1115,HO1855,11003.28,735.244,228,118.92552185059,29.253980636597
1707610638,"2024-02-11 00:17:18",B1115,HO1855,11003.28,735.244,228,118.90982055664,29.241510391235
1707610652,"2024-02-11 00:17:32",B1115,HO1855,10995.66,735.244,228,118.88655853271,29.222980499268
1707610667,"2024-02-11 00:17:47",B1115,HO1855,10995.66,735.244,228,118.86324310303,29.2044506073
1707610683,"2024-02-11 00:18:03",B1115,HO1855,11003.28,733.392,228,118.84017181396,29.186000823975
1707610697,"2024-02-11 00:18:17",B1115,HO1855,11003.28,735.244,228,118.81687164307,29.167470932007
1707610712,"2024-02-11 00:18:32",B1115,HO1855,11003.28,735.244,228,118.79299926758,29.148380279541
1707610727,"2024-02-11 00:18:47",B1115,HO1855,10995.66,735.244,228,118.76985168457,29.129920959473
1707610742,"2024-02-11 00:19:02",B1115,HO1855,10995.66,737.096,228,118.74685668945,29.11157989502
1707610753,"2024-02-11 00:19:13",B1115,HO1855,11003.28,735.244,228,118.72772216797,29.0963306427
1707610767,"2024-02-11 00:19:27",B1115,HO1855,10995.66,735.244,228,118.707862854,29.08044052124
1707610782,"2024-02-11 00:19:42",B1115,HO1855,10995.66,737.096,228,118.68444061279,29.061630249023
1707610798,"2024-02-11 00:19:58",B1115,HO1855,11003.28,737.096,228,118.66159057617,29.043319702148
1707610813,"2024-02-11 00:20:13",B1115,HO1855,11003.28,737.096,228,118.63675689697,29.023410797119
1707610827,"2024-02-11 00:20:27",B1115,HO1855,10995.66,737.096,228,118.6149520874,29.006010055542
1707610842,"2024-02-11 00:20:42",B1115,HO1855,10995.66,738.948,228,118.59133911133,28.987110137939
1707610857,"2024-02-11 00:20:57",B1115,HO1855,11003.28,738.948,228,118.56741333008,28.967929840088
1707610872,"2024-02-11 00:21:12",B1115,HO1855,11003.28,738.948,228,118.54485321045,28.949810028076
1707610873,"2024-02-11 00:21:13",B1115,HO1855,11003.28,738.948,228,118.53806304932,28.944320678711
1707610888,"2024-02-11 00:21:28",B1115,HO1855,10995.66,738.948,228,118.52140808105,28.930980682373
1707610903,"2024-02-11 00:21:43",B1115,HO1855,10995.66,737.096,228,118.49752807617,28.9117603302
1707610917,"2024-02-11 00:21:57",B1115,HO1855,11003.28,737.096,228,118.47492980957,28.893539428711
1707610928,"2024-02-11 00:22:08",B1115,HO1855,11003.28,738.948,228,118.45610046387,28.878450393677
1707610942,"2024-02-11 00:22:22",B1115,HO1855,11003.28,738.948,228,118.43515014648,28.861589431763
1707610958,"2024-02-11 00:22:38",B1115,HO1855,11003.28,738.948,228,118.41230773926,28.843250274658
1707610973,"2024-02-11 00:22:53",B1115,HO1855,10995.66,738.948,228,118.38951873779,28.824869155884
1707610987,"2024-02-11 00:23:07",B1115,HO1855,10995.66,738.948,228,118.36627960205,28.80611038208
1707611002,"2024-02-11 00:23:22",B1115,HO1855,10995.66,735.244,228,118.3412399292,28.785869598389
1707611013,"2024-02-11 00:23:33",B1115,HO1855,11003.28,735.244,228,118.32689666748,28.774259567261
1707611027,"2024-02-11 00:23:47",B1115,HO1855,11003.28,733.392,228,118.3042678833,28.756029129028
1707611043,"2024-02-11 00:24:03",B1115,HO1855,10995.66,729.688,228,118.28160858154,28.737670898438
1707611057,"2024-02-11 00:24:17",B1115,HO1855,11003.28,729.688,228,118.25830841064,28.718860626221
1707611072,"2024-02-11 00:24:32",B1115,HO1855,10995.66,727.836,228,118.2357635498,28.700590133667
1707611083,"2024-02-11 00:24:43",B1115,HO1855,11003.28,727.836,228,118.21991729736,28.687730789185
1707611097,"2024-02-11 00:24:57",B1115,HO1855,11003.28,727.836,228,118.1976776123,28.66974067688
1707611113,"2024-02-11 00:25:13",B1115,HO1855,10995.66,727.836,228,118.17327880859,28.650049209595
1707611127,"2024-02-11 00:25:27",B1115,HO1855,11003.28,727.836,228,118.15161895752,28.632570266724
1707611142,"2024-02-11 00:25:42",B1115,HO1855,11003.28,725.984,228,118.12821960449,28.613620758057
1707611153,"2024-02-11 00:25:53",B1115,HO1855,10995.66,724.132,228,118.1117477417,28.600210189819
1707611167,"2024-02-11 00:26:07",B1115,HO1855,11003.28,724.132,228,118.08876037598,28.581539154053
1707611183,"2024-02-11 00:26:23",B1115,HO1855,11003.28,722.28,228,118.06764221191,28.564359664917
1707611198,"2024-02-11 00:26:38",B1115,HO1855,11003.28,720.428,228,118.04402923584,28.545139312744
1707611213,"2024-02-11 00:26:53",B1115,HO1855,11003.28,720.428,228,118.02236938477,28.527559280396
1707611228,"2024-02-11 00:27:08",B1115,HO1855,10995.66,720.428,228,118.00119018555,28.51030921936
1707611242,"2024-02-11 00:27:22",B1115,HO1855,11003.28,716.724,229,117.97843170166,28.491989135742
1707611258,"2024-02-11 00:27:38",B1115,HO1855,10995.66,692.648,242,117.95239257812,28.47652053833
1707611272,"2024-02-11 00:27:52",B1115,HO1855,11003.28,679.684,252,117.92725372314,28.46715927124
1707611283,"2024-02-11 00:28:03",B1115,HO1855,11003.28,677.832,256,117.90670013428,28.462190628052
1707611297,"2024-02-11 00:28:17",B1115,HO1855,11003.28,677.832,257,117.88038635254,28.456359863281
1707611313,"2024-02-11 00:28:33",B1115,HO1855,10995.66,677.832,257,117.85298156738,28.450469970703
1707611327,"2024-02-11 00:28:47",B1115,HO1855,11003.28,683.388,251,117.82350921631,28.442409515381
1707611347,"2024-02-11 00:29:07",B1115,HO1855,11003.28,703.76,238,117.78901672363,28.424650192261
1707611362,"2024-02-11 00:29:22",B1115,HO1855,11003.28,725.984,228,117.76686859131,28.407009124756
1707611377,"2024-02-11 00:29:37",B1115,HO1855,10995.66,727.836,227,117.74533843994,28.38862991333
1707611393,"2024-02-11 00:29:53",B1115,HO1855,10995.66,725.984,227,117.7202835083,28.367349624634
1707611407,"2024-02-11 00:30:07",B1115,HO1855,10995.66,724.132,227,117.70099639893,28.350959777832
1707611422,"2024-02-11 00:30:22",B1115,HO1855,11003.28,724.132,227,117.67868041992,28.331949234009
1707611433,"2024-02-11 00:30:33",B1115,HO1855,11003.28,725.984,227,117.65918731689,28.315340042114
1707611458,"2024-02-11 00:30:58",B1115,HO1855,11003.28,725.984,227,117.62718200684,28.28809928894
1707611480,"2024-02-11 00:31:20",B1115,HO1855,11003.28,725.984,227,117.59005737305,28.256509780884
1707611495,"2024-02-11 00:31:35",B1115,HO1855,11003.28,724.132,227,117.56713104248,28.236970901489
1707611511,"2024-02-11 00:31:51",B1115,HO1855,11003.28,724.132,227,117.54763793945,28.220350265503
1707611525,"2024-02-11 00:32:05",B1115,HO1855,11003.28,724.132,227,117.52625274658,28.202089309692
1707611540,"2024-02-11 00:32:20",B1115,HO1855,10995.66,724.132,227,117.50453948975,28.183549880981
