Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1719018182,"2024-06-22 01:03:02",B1297,HO7439,114.3,220.388,177,121.33223724365,31.202150344849
1719018194,"2024-06-22 01:03:14",B1297,HO7439,114.3,290.764,177,121.33267974854,31.194700241089
1719018209,"2024-06-22 01:03:29",B1297,HO7439,228.6,307.432,177,121.33322143555,31.182130813599
1719018224,"2024-06-22 01:03:44",B1297,HO7439,373,309.3,179,121.33355712891,31.172122955322
1719018239,"2024-06-22 01:03:59",B1297,HO7439,579.12,303.728,178,121.33372497559,31.159833908081
1719018254,"2024-06-22 01:04:14",B1297,HO7439,739.14,307.432,178,121.33405303955,31.14893913269
1719018269,"2024-06-22 01:04:29",B1297,HO7439,899.16,311.136,177,121.3348236084,31.137023925781
1719018284,"2024-06-22 01:04:44",B1297,HO7439,1051.56,314.84,177,121.33563995361,31.124780654907
1719018299,"2024-06-22 01:04:59",B1297,HO7439,1188,328.3,176.8,121.33641052246,31.112535476685
1719018314,"2024-06-22 01:05:14",B1297,HO7439,1272.54,368.548,177,121.33715820312,31.099594116211
1719018329,"2024-06-22 01:05:29",B1297,HO7439,1333,411.7,177.2,121.33789825439,31.085628509521
1719018344,"2024-06-22 01:05:44",B1297,HO7439,1432.56,437.072,192,121.33750915527,31.068309783936
1719018359,"2024-06-22 01:05:59",B1297,HO7439,1539,453.6,219.9,121.32859039307,31.053497314453
1719018374,"2024-06-22 01:06:14",B1297,HO7439,1592,464.9,236.4,121.31340789795,31.043701171875
1719018389,"2024-06-22 01:06:29",B1297,HO7439,1600.2,470.408,269,121.29400634766,31.040147781372
1719018404,"2024-06-22 01:06:44",B1297,HO7439,1600,466.8,282.6,121.27412414551,31.043033599854
1719018419,"2024-06-22 01:06:59",B1297,HO7439,1600.2,466.704,283,121.25296783447,31.047130584717
1719018434,"2024-06-22 01:07:14",B1297,HO7439,1607,467.5,281.9,121.23235321045,31.050933837891
1719018449,"2024-06-22 01:07:29",B1297,HO7439,1691.64,472.26,282,121.21302032471,31.054460525513
1719018464,"2024-06-22 01:07:44",B1297,HO7439,1973.58,455.592,282,121.19358062744,31.058029174805
1719018479,"2024-06-22 01:07:59",B1297,HO7439,2179.32,466.704,282,121.17343139648,31.06164932251
1719018494,"2024-06-22 01:08:14",B1297,HO7439,2400.3,470.408,282,121.15343475342,31.06533241272
1719018509,"2024-06-22 01:08:29",B1297,HO7439,2621.28,470.408,275,121.13514709473,31.068265914917
1719018524,"2024-06-22 01:08:44",B1297,HO7439,2804.16,479.668,260,121.11256408691,31.067007064819
1719018539,"2024-06-22 01:08:59",B1297,HO7439,2971.8,492.632,254,121.091796875,31.061979293823
1719018554,"2024-06-22 01:09:14",B1297,HO7439,3162.3,498.188,254,121.07312774658,31.057558059692
1719018569,"2024-06-22 01:09:29",B1297,HO7439,3268.98,525.968,253,121.04972839355,31.051692962646
1719018584,"2024-06-22 01:09:44",B1297,HO7439,3345.18,551.896,254,121.02970123291,31.046585083008
1719018599,"2024-06-22 01:09:59",B1297,HO7439,3436.62,581.528,254,121.00347137451,31.040010452271
1719018614,"2024-06-22 01:10:14",B1297,HO7439,3528,603.7,253.8,120.97794342041,31.033630371094
1719018634,"2024-06-22 01:10:34",B1297,HO7439,3650,634.2,253.9,120.94267272949,31.024841308594
1719018649,"2024-06-22 01:10:49",B1297,HO7439,3741.42,657.46,254,120.91616821289,31.018299102783
1719018664,"2024-06-22 01:11:04",B1297,HO7439,3916.68,661.164,254,120.888671875,31.011470794678
1719018679,"2024-06-22 01:11:19",B1297,HO7439,4114.8,659.312,254,120.8617477417,31.004814147949
1719018694,"2024-06-22 01:11:34",B1297,HO7439,4282.44,661.164,255,120.83351135254,30.99787902832
1719018709,"2024-06-22 01:11:49",B1297,HO7439,4427.22,668.572,254,120.80544281006,30.990940093994
1719018724,"2024-06-22 01:12:04",B1297,HO7439,4579.62,672.276,254,120.77712249756,30.983917236328
1719018739,"2024-06-22 01:12:19",B1297,HO7439,4739.64,677.832,254,120.7484664917,30.976779937744
1719018754,"2024-06-22 01:12:34",B1297,HO7439,4876.8,681.536,254,120.72057342529,30.969850540161
1719018769,"2024-06-22 01:12:49",B1297,HO7439,5029.2,687.092,254,120.69107818604,30.962549209595
1719018784,"2024-06-22 01:13:04",B1297,HO7439,5166.36,692.648,254,120.6629486084,30.95546913147
1719018799,"2024-06-22 01:13:19",B1297,HO7439,5295.9,700.056,253,120.63301086426,30.94787979126
1719018814,"2024-06-22 01:13:34",B1297,HO7439,5417.82,705.612,254,120.60414123535,30.940519332886
1719018829,"2024-06-22 01:13:49",B1297,HO7439,5539.74,714.872,254,120.57398223877,30.932920455933
1719018844,"2024-06-22 01:14:04",B1297,HO7439,5661.66,720.428,254,120.5443572998,30.925369262695
1719018859,"2024-06-22 01:14:19",B1297,HO7439,5783.58,725.984,254,120.51392364502,30.9176197052
1719018874,"2024-06-22 01:14:34",B1297,HO7439,5928.36,731.54,254,120.48323822021,30.909759521484
1719018889,"2024-06-22 01:14:49",B1297,HO7439,6057.9,733.392,244,120.45329284668,30.900512695312
1719018904,"2024-06-22 01:15:04",B1297,HO7439,6195.06,738.948,231,120.42646789551,30.885499954224
1719018919,"2024-06-22 01:15:19",B1297,HO7439,6294,752,218.9,120.40563201904,30.867050170898
1719018934,"2024-06-22 01:15:34",B1297,HO7439,6431.28,759.32,216,120.38522338867,30.842580795288
1719018949,"2024-06-22 01:15:49",B1297,HO7439,6530.34,766.728,216,120.36554718018,30.818979263306
1719018964,"2024-06-22 01:16:04",B1297,HO7439,6583.68,781.544,216,120.34648895264,30.795839309692
1719018979,"2024-06-22 01:16:19",B1297,HO7439,6667.5,788.952,216,120.32627868652,30.77108001709
1719018994,"2024-06-22 01:16:34",B1297,HO7439,6728.46,801.916,215,120.30745697021,30.748079299927
1719019009,"2024-06-22 01:16:49",B1297,HO7439,6835.14,807.472,216,120.28563690186,30.721340179443
1719019024,"2024-06-22 01:17:04",B1297,HO7439,6918.96,816.732,216,120.26425933838,30.695289611816
1719019039,"2024-06-22 01:17:19",B1297,HO7439,7048.5,814.88,215,120.24541473389,30.672199249268
1719019054,"2024-06-22 01:17:34",B1297,HO7439,7200.9,814.88,215,120.22344207764,30.645450592041
1719019069,"2024-06-22 01:17:49",B1297,HO7439,7315.2,813.028,216,120.20290374756,30.620290756226
1719019083,"2024-06-22 01:18:03",B1297,HO7439,7513.32,796.36,220,120.18218994141,30.595989227295
1719019098,"2024-06-22 01:18:18",B1297,HO7439,7642.86,788.952,231,120.15811920166,30.575590133667
1719019113,"2024-06-22 01:18:33",B1297,HO7439,7795.26,781.544,240,120.12963104248,30.558839797974
1719019128,"2024-06-22 01:18:48",B1297,HO7439,7909.56,781.544,241,120.10077667236,30.544649124146
1719019143,"2024-06-22 01:19:03",B1297,HO7439,8023.86,787.1,234,120.07144927979,30.528310775757
1719019158,"2024-06-22 01:19:18",B1297,HO7439,8100.06,796.36,226,120.04541015625,30.508890151978
1719019173,"2024-06-22 01:19:33",B1297,HO7439,8206.74,805.62,219,120.02321624756,30.487293243408
1719019188,"2024-06-22 01:19:48",B1297,HO7439,8305.8,813.028,212,120.0023727417,30.461559295654
1719019203,"2024-06-22 01:20:03",B1297,HO7439,8389.62,822.288,210,119.98455047607,30.43478012085
1719019218,"2024-06-22 01:20:18",B1297,HO7439,8412.48,837.104,211,119.96682739258,30.408369064331
1719019233,"2024-06-22 01:20:33",B1297,HO7439,8412.48,857.476,211,119.94798278809,30.380079269409
1719019248,"2024-06-22 01:20:48",B1297,HO7439,8412.48,877.848,210,119.92933654785,30.352060317993
1719019263,"2024-06-22 01:21:03",B1297,HO7439,8412.48,890.812,210,119.91130065918,30.325010299683
1719019278,"2024-06-22 01:21:18",B1297,HO7439,8404.86,896.368,211,119.89041137695,30.293560028076
1719019293,"2024-06-22 01:21:33",B1297,HO7439,8404.86,896.368,210,119.87122344971,30.264589309692
1719019308,"2024-06-22 01:21:48",B1297,HO7439,8404.86,892.664,211,119.85205078125,30.235820770264
1719019323,"2024-06-22 01:22:03",B1297,HO7439,8404.86,892.664,210,119.83261871338,30.206590652466
1719019338,"2024-06-22 01:22:18",B1297,HO7439,8404.86,894.516,210,119.8137588501,30.178049087524
1719019353,"2024-06-22 01:22:33",B1297,HO7439,8412.48,900.072,210,119.79443359375,30.148809432983
1719019368,"2024-06-22 01:22:48",B1297,HO7439,8412.48,905.628,210,119.77510070801,30.119569778442
1719019383,"2024-06-22 01:23:03",B1297,HO7439,8412.48,909.332,210,119.75514984131,30.089359283447
1719019398,"2024-06-22 01:23:18",B1297,HO7439,8412.48,907.48,211,119.73581695557,30.060220718384
1719019413,"2024-06-22 01:23:33",B1297,HO7439,8404.86,901.924,211,119.7162399292,30.03104019165
1719019428,"2024-06-22 01:23:48",B1297,HO7439,8404.86,898.22,211,119.69637298584,30.001459121704
1719019443,"2024-06-22 01:24:03",B1297,HO7439,8412.48,901.924,211,119.67681884766,29.972469329834
