Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1719013921,"2024-06-21 23:52:01",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719013931,"2024-06-21 23:52:11",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719013940,"2024-06-21 23:52:20",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719013949,"2024-06-21 23:52:29",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719013955,"2024-06-21 23:52:35",B1502,HU7332,0,0,59.1,121.81314849854,31.133403778076
1719013969,"2024-06-21 23:52:49",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719013975,"2024-06-21 23:52:55",B1502,HU7332,0,0,59.1,121.81314849854,31.133403778076
1719013985,"2024-06-21 23:53:05",B1502,HU7332,0,0,59.1,121.81314849854,31.133403778076
1719013996,"2024-06-21 23:53:16",B1502,HU7332,0,0,59.1,121.81314849854,31.133403778076
1719014006,"2024-06-21 23:53:26",B1502,HU7332,0,0,59.1,121.81314849854,31.133403778076
1719014036,"2024-06-21 23:53:56",B1502,HU7332,0,0,59.1,121.81314849854,31.133411407471
1719014046,"2024-06-21 23:54:06",B1502,HU7332,0,0,59.1,121.81307983398,31.133369445801
1719014055,"2024-06-21 23:54:15",B1502,HU7332,0,5.1,59.1,121.81298828125,31.133319854736
1719014059,"2024-06-21 23:54:19",B1502,HU7332,0,5.1,59.1,121.81288909912,31.133274078369
1719014067,"2024-06-21 23:54:27",B1502,HU7332,0,5.1,59.1,121.81282043457,31.133241653442
1719014071,"2024-06-21 23:54:31",B1502,HU7332,0,5.1,59.1,121.81274414062,31.133193969727
1719014080,"2024-06-21 23:54:40",B1502,HU7332,0,5.1,64.7,121.81268310547,31.133146286011
1719014085,"2024-06-21 23:54:45",B1502,HU7332,0,5.1,75.9,121.81261444092,31.133113861084
1719014095,"2024-06-21 23:54:55",B1502,HU7332,0,5.1,104.1,121.81243896484,31.133066177368
1719014103,"2024-06-21 23:55:03",B1502,HU7332,0,5.1,115.3,121.8123550415,31.133066177368
1719014106,"2024-06-21 23:55:06",B1502,HU7332,0,4.2,123.8,121.81227111816,31.133089065552
1719014115,"2024-06-21 23:55:15",B1502,HU7332,0,4.2,137.8,121.81216430664,31.133136749268
1719014123,"2024-06-21 23:55:23",B1502,HU7332,0,4.2,146.2,121.81209564209,31.133193969727
1719014139,"2024-06-21 23:55:39",B1502,HU7332,0,2.5,163.1,121.81200408936,31.133308410645
1719014337,"2024-06-21 23:58:57",B1502,HU7332,0,19,163.1,121.81223297119,31.132705688477
1719014342,"2024-06-21 23:59:02",B1502,HU7332,0,19,163.1,121.81231689453,31.132461547852
1719014348,"2024-06-21 23:59:08",B1502,HU7332,0,17.1,165.9,121.81246185303,31.132053375244
1719014356,"2024-06-21 23:59:16",B1502,HU7332,0,16.2,194.1,121.81243133545,31.131832122803
1719014363,"2024-06-21 23:59:23",B1502,HU7332,0,17.1,247.5,121.81205749512,31.131603240967
1719014372,"2024-06-21 23:59:32",B1502,HU7332,0,25.5,250.3,121.81163787842,31.131471633911
1719014380,"2024-06-21 23:59:40",B1502,HU7332,0,34.3,253.1,121.8109664917,31.131294250488
1719014385,"2024-06-21 23:59:45",B1502,HU7332,0,36.1,253.1,121.81033325195,31.13111114502
1719014392,"2024-06-21 23:59:52",B1502,HU7332,0,36.1,253.1,121.80962371826,31.130916595459
1719014412,"2024-06-22 00:00:12",B1502,HU7332,0,36.1,253.1,121.80749511719,31.130319595337
1719014421,"2024-06-22 00:00:21",B1502,HU7332,0,39.8,253.1,121.80683135986,31.130132675171
1719014436,"2024-06-22 00:00:36",B1502,HU7332,0,41.7,250.3,121.80469512939,31.129528045654
1719014445,"2024-06-22 00:00:45",B1502,HU7332,0,41.7,253.1,121.80400848389,31.129348754883
1719014449,"2024-06-22 00:00:49",B1502,HU7332,0,39.8,250.3,121.80335998535,31.129167556763
1719014457,"2024-06-22 00:00:57",B1502,HU7332,0,38,250.3,121.80268859863,31.128980636597
1719014461,"2024-06-22 00:01:01",B1502,HU7332,0,32.4,250.3,121.80210876465,31.12882232666
1719014466,"2024-06-22 00:01:06",B1502,HU7332,0,19.9,253.1,121.80184936523,31.128747940063
1719014473,"2024-06-22 00:01:13",B1502,HU7332,0,14.4,292.5,121.80159759521,31.128799438477
1719014482,"2024-06-22 00:01:22",B1502,HU7332,0,16.2,337.5,121.80143737793,31.129062652588
1719014486,"2024-06-22 00:01:26",B1502,HU7332,0,23.6,340.3,121.80130004883,31.129388809204
1719014490,"2024-06-22 00:01:30",B1502,HU7332,0,30.6,343.1,121.80113983154,31.129806518555
1719014499,"2024-06-22 00:01:39",B1502,HU7332,0,36.1,343.1,121.80095672607,31.130296707153
1719014503,"2024-06-22 00:01:43",B1502,HU7332,0,39.8,340.3,121.80085754395,31.130573272705
1719014508,"2024-06-22 00:01:48",B1502,HU7332,0,43.5,343.1,121.80055999756,31.131343841553
1719014516,"2024-06-22 00:01:56",B1502,HU7332,0,43.5,340.3,121.80033874512,31.131948471069
1719014522,"2024-06-22 00:02:02",B1502,HU7332,0,43.5,343.1,121.80007171631,31.132633209229
1719014527,"2024-06-22 00:02:07",B1502,HU7332,0,43.5,340.3,121.79978942871,31.133403778076
1719014536,"2024-06-22 00:02:16",B1502,HU7332,0,41.7,343.1,121.79954528809,31.134044647217
1719014540,"2024-06-22 00:02:20",B1502,HU7332,0,41.7,343.1,121.79932403564,31.134635925293
1719014545,"2024-06-22 00:02:25",B1502,HU7332,0,41.7,343.1,121.79908752441,31.135242462158
1719014554,"2024-06-22 00:02:34",B1502,HU7332,0,41.7,343.1,121.79886627197,31.135848999023
1719014558,"2024-06-22 00:02:38",B1502,HU7332,0,42.596,343,121.79862213135,31.136478424072
1719014567,"2024-06-22 00:02:47",B1502,HU7332,0,41.7,343.1,121.79840087891,31.137058258057
1719014573,"2024-06-22 00:02:53",B1502,HU7332,0,42.596,343,121.79816436768,31.137691497803
1719014576,"2024-06-22 00:02:56",B1502,HU7332,0,41.7,343.1,121.79793548584,31.138303756714
1719014584,"2024-06-22 00:03:04",B1502,HU7332,0,41.7,343.1,121.79772186279,31.138870239258
1719014589,"2024-06-22 00:03:09",B1502,HU7332,0,41.7,343.1,121.79748535156,31.139501571655
1719014596,"2024-06-22 00:03:16",B1502,HU7332,0,33.336,340,121.79734802246,31.139886856079
1719014612,"2024-06-22 00:03:32",B1502,HU7332,0,18.1,261.6,121.7966003418,31.140363693237
1719014632,"2024-06-22 00:03:52",B1502,HU7332,0,18.1,340.3,121.79594421387,31.140701293945
1719014637,"2024-06-22 00:03:57",B1502,HU7332,0,24.5,343.1,121.79580688477,31.141061782837
1719014642,"2024-06-22 00:04:02",B1502,HU7332,0,30.6,343.1,121.79566192627,31.141456604004
1719014647,"2024-06-22 00:04:07",B1502,HU7332,0,38,343.1,121.79545593262,31.141994476318
1719014656,"2024-06-22 00:04:16",B1502,HU7332,0,45.4,343.1,121.79521179199,31.142623901367
1719014661,"2024-06-22 00:04:21",B1502,HU7332,0,47.2,340.3,121.79494476318,31.14331817627
1719014666,"2024-06-22 00:04:26",B1502,HU7332,0,47.2,343.1,121.79468536377,31.143997192383
1719014673,"2024-06-22 00:04:33",B1502,HU7332,0,47.2,343.1,121.79443359375,31.144660949707
1719014679,"2024-06-22 00:04:39",B1502,HU7332,0,47.2,343.1,121.79417419434,31.145355224609
1719014684,"2024-06-22 00:04:44",B1502,HU7332,0,47.2,343.1,121.79392242432,31.146022796631
1719014691,"2024-06-22 00:04:51",B1502,HU7332,0,45.4,340.3,121.79369354248,31.146659851074
1719014695,"2024-06-22 00:04:55",B1502,HU7332,0,45.4,343.1,121.79341888428,31.147380828857
1719014699,"2024-06-22 00:04:59",B1502,HU7332,0,45.4,343.1,121.7932510376,31.147830963135
1719014709,"2024-06-22 00:05:09",B1502,HU7332,0,46.3,343,121.79302215576,31.1484375
1719014714,"2024-06-22 00:05:14",B1502,HU7332,0,45.4,343.1,121.79277801514,31.149055480957
1719014718,"2024-06-22 00:05:18",B1502,HU7332,0,46.3,343,121.79251861572,31.149753570557
1719014731,"2024-06-22 00:05:31",B1502,HU7332,0,47.2,343.1,121.79191589355,31.151355743408
1719014741,"2024-06-22 00:05:41",B1502,HU7332,0,47.2,343.1,121.79164886475,31.15203666687
1719014746,"2024-06-22 00:05:46",B1502,HU7332,0,47.2,343.1,121.79140472412,31.152717590332
1719014750,"2024-06-22 00:05:50",B1502,HU7332,0,47.2,340.3,121.79113769531,31.15340423584
1719014759,"2024-06-22 00:05:59",B1502,HU7332,0,46.3,343,121.79089355469,31.15407371521
1719014764,"2024-06-22 00:06:04",B1502,HU7332,0,46.3,343,121.79065704346,31.154689788818
1719014769,"2024-06-22 00:06:09",B1502,HU7332,0,45.4,343.1,121.79038238525,31.155410766602
1719014776,"2024-06-22 00:06:16",B1502,HU7332,0,45.4,343.1,121.79012298584,31.15608215332
1719014780,"2024-06-22 00:06:20",B1502,HU7332,0,45.4,343.1,121.78987121582,31.156745910645
1719014785,"2024-06-22 00:06:25",B1502,HU7332,0,43.5,343.1,121.78965759277,31.157354354858
1719014790,"2024-06-22 00:06:30",B1502,HU7332,0,36.1,343.1,121.78950500488,31.157739639282
1719014799,"2024-06-22 00:06:39",B1502,HU7332,0,34.3,343.1,121.78931427002,31.158239364624
1719014803,"2024-06-22 00:06:43",B1502,HU7332,0,26.4,343.1,121.78917694092,31.158588409424
1719014812,"2024-06-22 00:06:52",B1502,HU7332,0,20.8,340.3,121.78904724121,31.15894317627
1719014817,"2024-06-22 00:06:57",B1502,HU7332,0,21.8,343.1,121.7889251709,31.159252166748
1719014822,"2024-06-22 00:07:02",B1502,HU7332,0,22.7,343.1,121.78881835938,31.159549713135
1719014829,"2024-06-22 00:07:09",B1502,HU7332,0,22.7,343.1,121.78868865967,31.159915924072
1719014833,"2024-06-22 00:07:13",B1502,HU7332,0,18.52,340,121.78857421875,31.160190582275
1719014841,"2024-06-22 00:07:21",B1502,HU7332,0,15.3,343.1,121.7884979248,31.160385131836
1719014845,"2024-06-22 00:07:25",B1502,HU7332,0,15.3,343.1,121.78840637207,31.160636901855
1719014855,"2024-06-22 00:07:35",B1502,HU7332,0,15.3,343.1,121.78832244873,31.160846710205
1719014859,"2024-06-22 00:07:39",B1502,HU7332,0,14.4,343.1,121.78823852539,31.161066055298
1719014864,"2024-06-22 00:07:44",B1502,HU7332,0,12.5,337.5,121.78815460205,31.161264419556
1719014872,"2024-06-22 00:07:52",B1502,HU7332,0,10.6,317.8,121.78799438477,31.161437988281
