Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718500358,"2024-06-16 01:12:38",B209R,MF7952,45.72,209.276,176,121.33223724365,31.202709197998
1718500372,"2024-06-16 01:12:52",B209R,MF7952,45.72,255.576,177,121.33278656006,31.192560195923
1718500386,"2024-06-16 01:13:06",B209R,MF7952,152.4,316.692,177,121.33322906494,31.182460784912
1718500401,"2024-06-16 01:13:21",B209R,MF7952,320.04,322.248,179,121.33377838135,31.170400619507
1718500416,"2024-06-16 01:13:36",B209R,MF7952,510.54,318.544,179,121.33386993408,31.158279418945
1718500431,"2024-06-16 01:13:51",B209R,MF7952,670,318.6,179,121.33397674561,31.147750854492
1718500446,"2024-06-16 01:14:06",B209R,MF7952,815.34,353.732,216,121.32855987549,31.134740829468
1718500461,"2024-06-16 01:14:21",B209R,MF7952,960,368.5,250,121.31539916992,31.127655029297
1718500476,"2024-06-16 01:14:36",B209R,MF7952,1082.04,387.068,250,121.30015563965,31.122940063477
1718500491,"2024-06-16 01:14:51",B209R,MF7952,1158,421.1,251,121.28444671631,31.118215560913
1718500506,"2024-06-16 01:15:06",B209R,MF7952,1226.82,464.852,251,121.26445007324,31.112365722656
1718500521,"2024-06-16 01:15:21",B209R,MF7952,1310.64,503.744,251,121.24501037598,31.106624603271
1718500536,"2024-06-16 01:15:36",B209R,MF7952,1440.18,529.672,251,121.22287750244,31.099960327148
1718500551,"2024-06-16 01:15:51",B209R,MF7952,1630.68,538.932,251,121.20105743408,31.093370437622
1718500562,"2024-06-16 01:16:02",B209R,MF7952,1767.84,544.488,251,121.18587493896,31.088745117188
1718500576,"2024-06-16 01:16:16",B209R,MF7952,1988,545.9,250.6,121.1644744873,31.082277297974
1718500591,"2024-06-16 01:16:31",B209R,MF7952,2240.28,540.784,250,121.14091491699,31.07501411438
1718500606,"2024-06-16 01:16:46",B209R,MF7952,2461,542.4,252.3,121.11898803711,31.068695068359
1718500621,"2024-06-16 01:17:01",B209R,MF7952,2659,545.7,253.8,121.0972442627,31.063144683838
1718500636,"2024-06-16 01:17:16",B209R,MF7952,2880.36,548.192,255,121.07328796387,31.057329177856
1718500652,"2024-06-16 01:17:32",B209R,MF7952,3086,546.4,254.3,121.05213928223,31.05220413208
1718500667,"2024-06-16 01:17:47",B209R,MF7952,3246.12,566.712,254,121.02684783936,31.045989990234
1718500681,"2024-06-16 01:18:01",B209R,MF7952,3337,591.5,254,121.00127410889,31.039682388306
1718500696,"2024-06-16 01:18:16",B209R,MF7952,3421.38,616.716,254,120.97702789307,31.033679962158
1718500707,"2024-06-16 01:18:27",B209R,MF7952,3482,630.6,253.8,120.96002197266,31.02939414978
1718500721,"2024-06-16 01:18:41",B209R,MF7952,3581.4,655.608,254,120.93190002441,31.022365570068
1718500736,"2024-06-16 01:18:56",B209R,MF7952,3710,667,253.9,120.90691375732,31.016143798828
1718500751,"2024-06-16 01:19:11",B209R,MF7952,3886.2,677.832,254,120.87592315674,31.008399963379
1718500766,"2024-06-16 01:19:26",B209R,MF7952,4053.84,679.684,254,120.84799194336,31.001495361328
1718500781,"2024-06-16 01:19:41",B209R,MF7952,4229.1,683.388,254,120.81917572021,30.994340896606
