Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1718935108,"2024-06-21 01:58:28",B1151,MU8371,99.06,235.204,177,121.33223724365,31.202339172363
1718935122,"2024-06-21 01:58:42",B1151,MU8371,99.06,266.688,177,121.33267974854,31.194259643555
1718935137,"2024-06-21 01:58:57",B1151,MU8371,243.84,320.396,177,121.33344268799,31.181629180908
1718935152,"2024-06-21 01:59:12",B1151,MU8371,457.2,311.136,176,121.33422088623,31.16955947876
1718935167,"2024-06-21 01:59:27",B1151,MU8371,670,300.1,178.6,121.33448791504,31.157739639282
1718935182,"2024-06-21 01:59:42",B1151,MU8371,830,296.6,177.5,121.33498382568,31.147077560425
1718935197,"2024-06-21 01:59:57",B1151,MU8371,982.98,296.32,189,121.33499908447,31.136764526367
1718935212,"2024-06-21 02:00:12",B1151,MU8371,1112,310.9,231.3,121.32701873779,31.126874923706
1718935228,"2024-06-21 02:00:28",B1151,MU8371,1196.34,353.732,255,121.31317901611,31.122409820557
1718935244,"2024-06-21 02:00:44",B1151,MU8371,1272.54,394.476,255,121.29747009277,31.118730545044
1718935257,"2024-06-21 02:00:57",B1151,MU8371,1363.98,427.812,255,121.27984619141,31.114429473877
1718935272,"2024-06-21 02:01:12",B1151,MU8371,1455,450,253.5,121.2611541748,31.109743118286
1718935287,"2024-06-21 02:01:27",B1151,MU8371,1539,455.9,253.5,121.24264526367,31.105087280273
1718935302,"2024-06-21 02:01:42",B1151,MU8371,1623.06,466.704,254,121.22297668457,31.100059509277
1718935322,"2024-06-21 02:02:02",B1151,MU8371,1874.52,463,254,121.20079040527,31.094381332397
1718935338,"2024-06-21 02:02:18",B1151,MU8371,2141,466.2,252.4,121.17984771729,31.088836669922
1718935349,"2024-06-21 02:02:29",B1151,MU8371,2293,469.5,236.7,121.16843414307,31.083581924438
1718935362,"2024-06-21 02:02:42",B1151,MU8371,2499.36,481.52,233,121.15139770508,31.072359085083
1718935377,"2024-06-21 02:02:57",B1151,MU8371,2697.48,494.484,232,121.13497924805,31.061420440674
1718935392,"2024-06-21 02:03:12",B1151,MU8371,2796,500.5,232.4,121.11860656738,31.05052947998
1718935403,"2024-06-21 02:03:23",B1151,MU8371,2804,503.1,232.3,121.10606384277,31.042190551758
1718935417,"2024-06-21 02:03:37",B1151,MU8371,2804.16,503.744,232,121.08866882324,31.030559539795
1718935432,"2024-06-21 02:03:52",B1151,MU8371,2865.12,503.744,232,121.07127380371,31.018939971924
1718935447,"2024-06-21 02:04:07",B1151,MU8371,3017.52,507.448,232,121.05362701416,31.007099151611
1718935458,"2024-06-21 02:04:18",B1151,MU8371,3162.3,507.448,232,121.04321289062,31.00016784668
1718935472,"2024-06-21 02:04:32",B1151,MU8371,3307.08,525.968,233,121.02561187744,30.988521575928
1718935487,"2024-06-21 02:04:47",B1151,MU8371,3474.72,544.488,234,121.00660705566,30.976137161255
1718935498,"2024-06-21 02:04:58",B1151,MU8371,3581.4,555.6,234,120.99282073975,30.967290878296
1718935512,"2024-06-21 02:05:12",B1151,MU8371,3741.42,570.416,234,120.97385406494,30.955215454102
1718935523,"2024-06-21 02:05:23",B1151,MU8371,3848.1,577.824,234,120.95964050293,30.946159362793
1718935537,"2024-06-21 02:05:37",B1151,MU8371,3985.26,596.344,234,120.93901062012,30.933010101318
1718935552,"2024-06-21 02:05:52",B1151,MU8371,4160.52,605.604,234,120.91730499268,30.919281005859
1718935567,"2024-06-21 02:06:07",B1151,MU8371,4328.16,614.864,235,120.89646148682,30.906330108643
1718935582,"2024-06-21 02:06:22",B1151,MU8371,4503,619.6,235,120.87515258789,30.893367767334
1718935593,"2024-06-21 02:06:33",B1151,MU8371,4602,626.8,235.2,120.86027526855,30.884399414062
1718935607,"2024-06-21 02:06:47",B1151,MU8371,4770.12,635.236,236,120.83796691895,30.871070861816
1718935622,"2024-06-21 02:07:02",B1151,MU8371,4907.28,648.2,253,120.81153869629,30.860223770142
1718935633,"2024-06-21 02:07:13",B1151,MU8371,5013.96,653.756,256,120.79280853271,30.855987548828
1718935648,"2024-06-21 02:07:28",B1151,MU8371,5173.98,659.312,256,120.76561737061,30.849935531616
1718935662,"2024-06-21 02:07:42",B1151,MU8371,5326.38,666.72,256,120.73595428467,30.843370437622
1718935682,"2024-06-21 02:08:02",B1151,MU8371,5509.26,675.98,256,120.70086669922,30.835510253906
1718935697,"2024-06-21 02:08:17",B1151,MU8371,5676.9,683.388,256,120.67032623291,30.828779220581
1718935712,"2024-06-21 02:08:32",B1151,MU8371,5829.3,688.944,257,120.64279174805,30.822841644287
1718935727,"2024-06-21 02:08:47",B1151,MU8371,5996.94,690.796,256,120.61543273926,30.816883087158
1718935742,"2024-06-21 02:09:02",B1151,MU8371,6156.96,694.5,257,120.58297729492,30.809829711914
1718935757,"2024-06-21 02:09:17",B1151,MU8371,6309.36,698.204,256,120.55400085449,30.803739547729
1718935772,"2024-06-21 02:09:32",B1151,MU8371,6484.62,690.796,249,120.52535247803,30.796329498291
1718935787,"2024-06-21 02:09:47",B1151,MU8371,6659.88,688.944,238,120.49816131592,30.78351020813
1718935802,"2024-06-21 02:10:02",B1151,MU8371,6804.66,690.796,227,120.47519683838,30.767070770264
1718935817,"2024-06-21 02:10:17",B1151,MU8371,6926.58,700.056,220,120.45824432373,30.75032043457
1718935832,"2024-06-21 02:10:32",B1151,MU8371,7040.88,705.612,220,120.43697357178,30.728393554688
1718935847,"2024-06-21 02:10:47",B1151,MU8371,7155.18,713.02,220,120.41724395752,30.707904815674
1718935862,"2024-06-21 02:11:02",B1151,MU8371,7254.24,722.28,219,120.39614868164,30.685869216919
1718935873,"2024-06-21 02:11:13",B1151,MU8371,7299.96,729.688,220,120.38297271729,30.671970367432
1718935887,"2024-06-21 02:11:27",B1151,MU8371,7421.88,733.392,220,120.36293029785,30.650800704956
1718935902,"2024-06-21 02:11:42",B1151,MU8371,7536.18,738.948,220,120.34210205078,30.628770828247
1718935917,"2024-06-21 02:11:57",B1151,MU8371,7658.1,740.8,220,120.32221221924,30.607730865479
1718935932,"2024-06-21 02:12:12",B1151,MU8371,7772.4,742.652,219,120.30152893066,30.585849761963
1718935947,"2024-06-21 02:12:27",B1151,MU8371,7901.94,744.504,220,120.28112030029,30.564289093018
1718935962,"2024-06-21 02:12:42",B1151,MU8371,8016.24,746.356,220,120.2607421875,30.542779922485
1718935977,"2024-06-21 02:12:57",B1151,MU8371,8122.92,748.208,220,120.24008178711,30.520980834961
1718935988,"2024-06-21 02:13:08",B1151,MU8371,8183.88,753.764,220,120.22651672363,30.50671005249
1718936002,"2024-06-21 02:13:22",B1151,MU8371,8282.94,759.32,220,120.20526123047,30.484220504761
1718936017,"2024-06-21 02:13:37",B1151,MU8371,8374.38,764.876,220,120.18421936035,30.462060928345
1718936032,"2024-06-21 02:13:52",B1151,MU8371,8473.44,768.58,220,120.16371917725,30.440509796143
1718936048,"2024-06-21 02:14:08",B1151,MU8371,8580.12,772.284,220,120.14244842529,30.418119430542
1718936062,"2024-06-21 02:14:22",B1151,MU8371,8663.94,775.988,220,120.12111663818,30.395599365234
1718936079,"2024-06-21 02:14:39",B1151,MU8371,8755.38,777.84,220,120.09957122803,30.372869491577
1718936093,"2024-06-21 02:14:53",B1151,MU8371,8831.58,785.248,220,120.07836151123,30.35046005249
1718936108,"2024-06-21 02:15:08",B1151,MU8371,8907.78,788.952,220,120.05618286133,30.32700920105
1718936122,"2024-06-21 02:15:22",B1151,MU8371,8983.98,796.36,220,120.03349304199,30.302946090698
1718936137,"2024-06-21 02:15:37",B1151,MU8371,9060.18,803.768,220,120.01275634766,30.28092956543
1718936152,"2024-06-21 02:15:52",B1151,MU8371,9136.38,809.324,220,119.9903717041,30.257230758667
1718936163,"2024-06-21 02:16:03",B1151,MU8371,9174.48,811.176,220,119.9758682251,30.241870880127
1718936177,"2024-06-21 02:16:17",B1151,MU8371,9182.1,822.288,220,119.95336151123,30.21808052063
1718936192,"2024-06-21 02:16:32",B1151,MU8371,9182.1,835.252,220,119.93103790283,30.194339752197
1718936207,"2024-06-21 02:16:47",B1151,MU8371,9174.48,840.808,220,119.907371521,30.169239044189
