Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1714100583,"2024-04-26 03:03:03",B20D1,ZH5240,45.72,235.204,177,121.3323135376,31.201080322266
1714100598,"2024-04-26 03:03:18",B20D1,ZH5240,129.54,298.172,178,121.33278656006,31.187070846558
1714100614,"2024-04-26 03:03:34",B20D1,ZH5240,243.84,301.876,177,121.33316802979,31.178640365601
1714100628,"2024-04-26 03:03:48",B20D1,ZH5240,396.24,303.728,181,121.33338165283,31.16716003418
1714100643,"2024-04-26 03:04:03",B20D1,ZH5240,533,303.9,177.9,121.33355712891,31.156761169434
1714100658,"2024-04-26 03:04:18",B20D1,ZH5240,701.04,303.728,176,121.33435058594,31.143997192383
1714100669,"2024-04-26 03:04:29",B20D1,ZH5240,815.34,305.58,176,121.33499145508,31.136600494385
1714100683,"2024-04-26 03:04:43",B20D1,ZH5240,960,311.6,176.9,121.33575439453,31.125045776367
1714100698,"2024-04-26 03:04:58",B20D1,ZH5240,1066,337.5,177.2,121.33640289307,31.113235473633
1714100713,"2024-04-26 03:05:13",B20D1,ZH5240,1127.76,374.104,176,121.33721160889,31.099319458008
1714100724,"2024-04-26 03:05:24",B20D1,ZH5240,1158.24,400.032,177,121.33779907227,31.089569091797
1714100738,"2024-04-26 03:05:38",B20D1,ZH5240,1219,443.9,184.3,121.33828735352,31.075378417969
1714100753,"2024-04-26 03:05:53",B20D1,ZH5240,1348,484.2,215.8,121.33020782471,31.056255340576
1714100768,"2024-04-26 03:06:08",B20D1,ZH5240,1455,498.3,239.1,121.31625366211,31.045314788818
1714100783,"2024-04-26 03:06:23",B20D1,ZH5240,1516.38,496.336,268,121.29609680176,31.040287017822
1714100798,"2024-04-26 03:06:38",B20D1,ZH5240,1531.62,500.04,283,121.27279663086,31.043430328369
1714100813,"2024-04-26 03:06:53",B20D1,ZH5240,1615,505.2,281.8,121.25179290771,31.047271728516
1714100824,"2024-04-26 03:07:04",B20D1,ZH5240,1821.18,503.744,282,121.2328414917,31.050699234009
1714100836,"2024-04-26 03:07:16",B20D1,ZH5240,1996.44,503.744,282,121.21830749512,31.053369522095
1714100851,"2024-04-26 03:07:31",B20D1,ZH5240,2247,504.2,282.3,121.1988067627,31.056953430176
1714100866,"2024-04-26 03:07:46",B20D1,ZH5240,2484.12,500.04,283,121.17758178711,31.061096191406
1714100881,"2024-04-26 03:08:01",B20D1,ZH5240,2689.86,511.152,282,121.15916442871,31.064575195312
1714100897,"2024-04-26 03:08:17",B20D1,ZH5240,2926.08,513.004,272,121.13185882568,31.06819152832
1714100911,"2024-04-26 03:08:31",B20D1,ZH5240,3131.82,520.412,259,121.10955047607,31.066360473633
1714100927,"2024-04-26 03:08:47",B20D1,ZH5240,3246,537.8,253.2,121.08753967285,31.061096191406
1714100941,"2024-04-26 03:09:01",B20D1,ZH5240,3329.94,583.38,254,121.06340789795,31.055099487305
1714100956,"2024-04-26 03:09:16",B20D1,ZH5240,3429,614.864,254,121.03820800781,31.04887008667
1714100971,"2024-04-26 03:09:31",B20D1,ZH5240,3558.54,637.088,254,121.01187133789,31.042327880859
1714100986,"2024-04-26 03:09:46",B20D1,ZH5240,3764.28,642.644,254,120.98490905762,31.03563117981
1714101001,"2024-04-26 03:10:01",B20D1,ZH5240,3977.64,646.348,254,120.95629882812,31.028499603271
1714101016,"2024-04-26 03:10:16",B20D1,ZH5240,4160.52,651.904,255,120.93063354492,31.022180557251
1714101031,"2024-04-26 03:10:31",B20D1,ZH5240,4351,661.7,253.7,120.90306091309,31.015335083008
1714101046,"2024-04-26 03:10:46",B20D1,ZH5240,4526.28,668.572,254,120.87503051758,31.008220672607
1714101061,"2024-04-26 03:11:01",B20D1,ZH5240,4693.92,675.98,254,120.84670257568,31.000999450684
1714101076,"2024-04-26 03:11:16",B20D1,ZH5240,4876.8,681.536,254,120.82279968262,30.994945526123
1714101091,"2024-04-26 03:11:31",B20D1,ZH5240,5059.68,683.388,254,120.78995513916,30.986705780029
1714101102,"2024-04-26 03:11:42",B20D1,ZH5240,5181.6,685.24,254,120.77098083496,30.982040405273
1714101116,"2024-04-26 03:11:56",B20D1,ZH5240,5356,688.9,254.2,120.7433013916,30.97526550293
1714101131,"2024-04-26 03:12:11",B20D1,ZH5240,5532.12,696.352,254,120.71212005615,30.967710494995
1714101146,"2024-04-26 03:12:26",B20D1,ZH5240,5699,695.8,253.9,120.68492126465,30.960962295532
1714101161,"2024-04-26 03:12:41",B20D1,ZH5240,5867.4,703.76,254,120.65416717529,30.953289031982
1714101176,"2024-04-26 03:12:56",B20D1,ZH5240,6042.66,707.464,254,120.62465667725,30.945922851562
1714101191,"2024-04-26 03:13:11",B20D1,ZH5240,6233.16,703.76,254,120.59519958496,30.938369750977
1714101206,"2024-04-26 03:13:26",B20D1,ZH5240,6423.66,705.612,254,120.56588745117,30.930940628052
1714101221,"2024-04-26 03:13:41",B20D1,ZH5240,6606.54,703.76,254,120.5365524292,30.923540115356
1714101236,"2024-04-26 03:13:56",B20D1,ZH5240,6797.04,703.76,254,120.50634002686,30.91588973999
1714101251,"2024-04-26 03:14:11",B20D1,ZH5240,6987.54,703.76,254,120.47750091553,30.908683776855
1714101266,"2024-04-26 03:14:26",B20D1,ZH5240,7178.04,698.204,243,120.44898986816,30.899000167847
1714101281,"2024-04-26 03:14:41",B20D1,ZH5240,7368.54,696.352,230,120.4241027832,30.884029388428
1714101296,"2024-04-26 03:14:56",B20D1,ZH5240,7551.42,698.204,217,120.40302276611,30.863990783691
1714101311,"2024-04-26 03:15:11",B20D1,ZH5240,7741.92,694.5,216,120.38571166992,30.842609405518
1714101326,"2024-04-26 03:15:26",B20D1,ZH5240,7932.42,690.796,216,120.36873626709,30.82213973999
1714101341,"2024-04-26 03:15:41",B20D1,ZH5240,8122.92,687.092,216,120.35121154785,30.801099777222
1714101356,"2024-04-26 03:15:56",B20D1,ZH5240,8282.94,687.092,215,120.3341293335,30.780389785767
1714101371,"2024-04-26 03:16:11",B20D1,ZH5240,8412.48,692.648,215,120.31639099121,30.758693695068
1714101386,"2024-04-26 03:16:26",B20D1,ZH5240,8534.4,698.204,215,120.29905700684,30.737503051758
1714101402,"2024-04-26 03:16:42",B20D1,ZH5240,8648.7,707.464,215,120.28160858154,30.716310501099
1714101416,"2024-04-26 03:16:56",B20D1,ZH5240,8763,714.872,215,120.26345825195,30.694290161133
1714101427,"2024-04-26 03:17:07",B20D1,ZH5240,8831.58,716.724,216,120.25166320801,30.679960250854
1714101441,"2024-04-26 03:17:21",B20D1,ZH5240,8961.12,725.984,216,120.23345947266,30.657899856567
1714101456,"2024-04-26 03:17:36",B20D1,ZH5240,9075.42,733.392,215,120.21460723877,30.634960174561
1714101471,"2024-04-26 03:17:51",B20D1,ZH5240,9189.72,738.948,216,120.19641113281,30.612670898438
1714101488,"2024-04-26 03:18:08",B20D1,ZH5240,9304.02,744.504,216,120.17807006836,30.590360641479
1714101502,"2024-04-26 03:18:22",B20D1,ZH5240,9425.94,751.912,216,120.16129302979,30.570053100586
1714101516,"2024-04-26 03:18:36",B20D1,ZH5240,9540.24,757.468,216,120.13995361328,30.543989181519
1714101531,"2024-04-26 03:18:51",B20D1,ZH5240,9654.54,763.024,216,120.12094116211,30.520620346069
1714101542,"2024-04-26 03:19:02",B20D1,ZH5240,9738.36,766.728,216,120.10846710205,30.505220413208
1714101557,"2024-04-26 03:19:17",B20D1,ZH5240,9784.08,761.172,216,120.08924102783,30.481609344482
1714101571,"2024-04-26 03:19:31",B20D1,ZH5240,9776.46,755.616,215,120.07051086426,30.458477020264
1714101586,"2024-04-26 03:19:46",B20D1,ZH5240,9776.46,761.172,213,120.05166625977,30.433710098267
1714101601,"2024-04-26 03:20:01",B20D1,ZH5240,9784.08,763.024,211,120.03651428223,30.412445068359
1714101616,"2024-04-26 03:20:16",B20D1,ZH5240,9784.08,766.728,210,120.02079772949,30.389068603516
1714101631,"2024-04-26 03:20:31",B20D1,ZH5240,9784.08,766.728,210,120.0007019043,30.358810424805
1714101646,"2024-04-26 03:20:46",B20D1,ZH5240,9784.08,768.58,210,119.98480987549,30.335039138794
1714101661,"2024-04-26 03:21:01",B20D1,ZH5240,9784.08,768.58,211,119.96790313721,30.309719085693
1714101676,"2024-04-26 03:21:16",B20D1,ZH5240,9776.46,768.58,210,119.95163726807,30.285209655762
1714101691,"2024-04-26 03:21:31",B20D1,ZH5240,9776.46,764.876,210,119.93460845947,30.259559631348
1714101706,"2024-04-26 03:21:46",B20D1,ZH5240,9784.08,766.728,210,119.91841125488,30.235109329224
1714101721,"2024-04-26 03:22:01",B20D1,ZH5240,9784.08,770.432,211,119.9016494751,30.209980010986
1714101736,"2024-04-26 03:22:16",B20D1,ZH5240,9784.08,768.58,211,119.8851776123,30.185308456421
1714101751,"2024-04-26 03:22:31",B20D1,ZH5240,9776.46,770.432,211,119.86869812012,30.16058921814
1714101752,"2024-04-26 03:22:32",B20D1,ZH5240,9776.46,770.432,211,119.86425018311,30.153930664062
1714101766,"2024-04-26 03:22:46",B20D1,ZH5240,9784.08,768.58,211,119.85167694092,30.135089874268
1714101781,"2024-04-26 03:23:01",B20D1,ZH5240,9776.46,768.58,211,119.8350982666,30.110050201416
1714101794,"2024-04-26 03:23:14",B20D1,ZH5240,9784.08,768.58,211,119.82079315186,30.088529586792
1714101809,"2024-04-26 03:23:29",B20D1,ZH5240,9776.46,770.432,210,119.80391693115,30.062990188599
1714101824,"2024-04-26 03:23:44",B20D1,ZH5240,9776.46,770.432,211,119.7876663208,30.038440704346
1714101839,"2024-04-26 03:23:59",B20D1,ZH5240,9784.08,770.432,211,119.77085876465,30.013439178467
1714101854,"2024-04-26 03:24:14",B20D1,ZH5240,9784.08,768.58,211,119.75415039062,29.988649368286
1714101869,"2024-04-26 03:24:29",B20D1,ZH5240,9776.46,768.58,211,119.73719024658,29.963380813599
1714101884,"2024-04-26 03:24:44",B20D1,ZH5240,9784.08,770.432,210,119.71978759766,29.937419891357
1714101899,"2024-04-26 03:24:59",B20D1,ZH5240,9784.08,770.432,210,119.70346069336,29.912929534912
1714101914,"2024-04-26 03:25:14",B20D1,ZH5240,9776.46,770.432,210,119.68743133545,29.888959884644
1714101929,"2024-04-26 03:25:29",B20D1,ZH5240,9784.08,768.58,212,119.66995239258,29.863719940186
1714101944,"2024-04-26 03:25:44",B20D1,ZH5240,9784.08,766.728,214,119.65235900879,29.839740753174
1714101955,"2024-04-26 03:25:55",B20D1,ZH5240,9776.46,764.876,215,119.63963317871,29.823120117188
1714101969,"2024-04-26 03:26:09",B20D1,ZH5240,9784.08,764.876,215,119.62107849121,29.799579620361
1714101984,"2024-04-26 03:26:24",B20D1,ZH5240,9784.08,766.728,215,119.60286712646,29.776250839233
1714101999,"2024-04-26 03:26:39",B20D1,ZH5240,9784.08,766.728,215,119.58428192139,29.752439498901
1714102014,"2024-04-26 03:26:54",B20D1,ZH5240,9784.08,766.728,215,119.56571960449,29.728769302368
1714102029,"2024-04-26 03:27:09",B20D1,ZH5240,9784.08,766.728,215,119.54686737061,29.704660415649
1714102044,"2024-04-26 03:27:24",B20D1,ZH5240,9776.46,766.728,214,119.52823638916,29.680868148804
1714102060,"2024-04-26 03:27:40",B20D1,ZH5240,9776.46,764.876,216,119.50953674316,29.656999588013
1714102074,"2024-04-26 03:27:54",B20D1,ZH5240,9776.46,759.32,221,119.48931121826,29.634567260742
1714102089,"2024-04-26 03:28:09",B20D1,ZH5240,9784.08,757.468,226,119.46678924561,29.613740921021
1714102104,"2024-04-26 03:28:24",B20D1,ZH5240,9784.08,757.468,229,119.44261169434,29.594650268555
1714102119,"2024-04-26 03:28:39",B20D1,ZH5240,9776.46,759.32,228,119.41869354248,29.575889587402
1714102134,"2024-04-26 03:28:54",B20D1,ZH5240,9784.08,759.32,228,119.39392089844,29.556379318237
1714102149,"2024-04-26 03:29:09",B20D1,ZH5240,9776.46,763.024,228,119.36978912354,29.537349700928
1714102164,"2024-04-26 03:29:24",B20D1,ZH5240,9784.08,763.024,229,119.34539794922,29.518169403076
1714102179,"2024-04-26 03:29:39",B20D1,ZH5240,9784.08,764.876,229,119.32164764404,29.499500274658
1714102194,"2024-04-26 03:29:54",B20D1,ZH5240,9867.9,768.58,229,119.29625701904,29.479570388794
1714102205,"2024-04-26 03:30:05",B20D1,ZH5240,9982.2,766.728,229,119.28057098389,29.467250823975
1714102219,"2024-04-26 03:30:19",B20D1,ZH5240,10172.7,759.32,229,119.25617218018,29.448120117188
1714102234,"2024-04-26 03:30:34",B20D1,ZH5240,10325.1,742.652,228,119.23208618164,29.429069519043
1714102249,"2024-04-26 03:30:49",B20D1,ZH5240,10386.06,725.984,228,119.20852661133,29.410539627075
1714102264,"2024-04-26 03:31:04",B20D1,ZH5240,10386.06,713.02,229,119.18550109863,29.392339706421
1714102279,"2024-04-26 03:31:19",B20D1,ZH5240,10378.44,713.02,228,119.16282653809,29.374460220337
1714102294,"2024-04-26 03:31:34",B20D1,ZH5240,10393.68,724.132,229,119.1403427124,29.356750488281
1714102305,"2024-04-26 03:31:45",B20D1,ZH5240,10401.3,731.54,228,119.11850738525,29.339500427246
1714102319,"2024-04-26 03:31:59",B20D1,ZH5240,10393.68,733.392,228,119.10111236572,29.325719833374
1714102330,"2024-04-26 03:32:10",B20D1,ZH5240,10386.06,735.244,228,119.08582305908,29.313619613647
1714102344,"2024-04-26 03:32:24",B20D1,ZH5240,10386.06,735.244,228,119.06244659424,29.29508972168
1714102359,"2024-04-26 03:32:39",B20D1,ZH5240,10386.06,735.244,228,119.03893280029,29.27640914917
1714102374,"2024-04-26 03:32:54",B20D1,ZH5240,10386.06,733.392,228,119.01575469971,29.25803565979
1714102389,"2024-04-26 03:33:09",B20D1,ZH5240,10386.06,731.54,236,118.99066162109,29.240390777588
1714102404,"2024-04-26 03:33:24",B20D1,ZH5240,10386.06,733.392,247,118.9633026123,29.227819442749
1714102419,"2024-04-26 03:33:39",B20D1,ZH5240,10393.68,742.652,258,118.9330291748,29.219770431519
1714102434,"2024-04-26 03:33:54",B20D1,ZH5240,10386.06,746.356,258,118.90222930908,29.214179992676
1714102449,"2024-04-26 03:34:09",B20D1,ZH5240,10386.06,744.504,258,118.87085723877,29.208160400391
1714102464,"2024-04-26 03:34:24",B20D1,ZH5240,10386.06,746.356,258,118.84005737305,29.202259063721
1714102475,"2024-04-26 03:34:35",B20D1,ZH5240,10393.68,740.8,254,118.81909179688,29.197540283203
1714102489,"2024-04-26 03:34:49",B20D1,ZH5240,10386.06,733.392,242,118.78993988037,29.186229705811
1714102504,"2024-04-26 03:35:04",B20D1,ZH5240,10386.06,733.392,231,118.76431274414,29.170660018921
1714102519,"2024-04-26 03:35:19",B20D1,ZH5240,10393.68,737.096,228,118.74118804932,29.152179718018
1714102534,"2024-04-26 03:35:34",B20D1,ZH5240,10386.06,737.096,228,118.71669769287,29.132669448853
1714102549,"2024-04-26 03:35:49",B20D1,ZH5240,10386.06,738.948,228,118.69457244873,29.115030288696
1714102564,"2024-04-26 03:36:04",B20D1,ZH5240,10393.68,737.096,228,118.67092132568,29.096080780029
1714102579,"2024-04-26 03:36:19",B20D1,ZH5240,10386.06,737.096,228,118.64807128906,29.077739715576
1714102594,"2024-04-26 03:36:34",B20D1,ZH5240,10393.68,735.244,228,118.62499237061,29.059259414673
1714102609,"2024-04-26 03:36:49",B20D1,ZH5240,10386.06,735.244,228,118.60144805908,29.040309906006
1714102624,"2024-04-26 03:37:04",B20D1,ZH5240,10386.06,737.096,228,118.57807922363,29.021530151367
1714102639,"2024-04-26 03:37:19",B20D1,ZH5240,10393.68,738.948,228,118.55467987061,29.002899169922
1714102654,"2024-04-26 03:37:34",B20D1,ZH5240,10393.68,738.948,228,118.53112030029,28.984069824219
1714102669,"2024-04-26 03:37:49",B20D1,ZH5240,10393.68,738.948,228,118.50798797607,28.965450286865
1714102684,"2024-04-26 03:38:04",B20D1,ZH5240,10386.06,738.948,228,118.48480224609,28.94679069519
1714102699,"2024-04-26 03:38:19",B20D1,ZH5240,10393.68,738.948,228,118.46166992188,28.928190231323
1714102714,"2024-04-26 03:38:34",B20D1,ZH5240,10386.06,738.948,228,118.43773651123,28.90896987915
1714102729,"2024-04-26 03:38:49",B20D1,ZH5240,10386.06,738.948,228,118.41430664062,28.890129089355
1714102744,"2024-04-26 03:39:04",B20D1,ZH5240,10386.06,738.948,228,118.39057159424,28.870969772339
1714102759,"2024-04-26 03:39:19",B20D1,ZH5240,10393.68,738.948,228,118.36869049072,28.853359222412
1714102770,"2024-04-26 03:39:30",B20D1,ZH5240,10386.06,738.948,228,118.35301971436,28.840709686279
1714102784,"2024-04-26 03:39:44",B20D1,ZH5240,10386.06,740.8,228,118.32940673828,28.821620941162
1714102799,"2024-04-26 03:39:59",B20D1,ZH5240,10393.68,742.652,228,118.30638122559,28.802989959717
1714102814,"2024-04-26 03:40:14",B20D1,ZH5240,10393.68,742.652,228,118.28202819824,28.783359527588
