Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1700727024,"2023-11-23 08:10:24",B1508,CA8793,-76.2,281.504,360,117.21594,36.859314
1700727039,"2023-11-23 08:10:39",B1508,CA8793,137.16,270.392,1,117.21612,36.869512
1700727054,"2023-11-23 08:10:54",B1508,CA8793,312.42,281.504,359,117.21612,36.8798
1700727069,"2023-11-23 08:11:09",B1508,CA8793,525.78,277.8,1,117.215998,36.890442
1700727084,"2023-11-23 08:11:24",B1508,CA8793,678.18,287.06,1,117.216359,36.901354
1700727099,"2023-11-23 08:11:39",B1508,CA8793,845.82,287.06,359,117.216232,36.91214
1700727114,"2023-11-23 08:11:54",B1508,CA8793,998.22,292.616,0,117.21624,36.92314
1700727129,"2023-11-23 08:12:09",B1508,CA8793,1066.8,337.064,359,117.216174,36.934845
1700727144,"2023-11-23 08:12:24",B1508,CA8793,1143,374.104,0,117.21612,36.948604
1700727160,"2023-11-23 08:12:40",B1508,CA8793,1310.64,381.512,348,117.214888,36.962448
1700727174,"2023-11-23 08:12:54",B1508,CA8793,1432.56,398.18,316,117.205552,36.974441
1700727189,"2023-11-23 08:13:09",B1508,CA8793,1638.3,407.44,296,117.187759,36.982867
1700727204,"2023-11-23 08:13:24",B1508,CA8793,1752.6,437.072,295,117.16878,36.990005
1700727219,"2023-11-23 08:13:39",B1508,CA8793,1882.14,453.74,295,117.154405,36.995499
1700727234,"2023-11-23 08:13:54",B1508,CA8793,2072.64,461.148,295,117.135529,37.002548
1700727248,"2023-11-23 08:14:08",B1508,CA8793,2301.24,470.408,295,117.113064,37.010798
1700727263,"2023-11-23 08:14:23",B1508,CA8793,2529.84,472.26,294,117.093103,37.018066
1700727278,"2023-11-23 08:14:38",B1508,CA8793,2804.16,464.852,295,117.072942,37.025345
1700727293,"2023-11-23 08:14:53",B1508,CA8793,3055.62,464.852,294,117.053236,37.032491
1700727308,"2023-11-23 08:15:08",B1508,CA8793,3299.46,466.704,295,117.032577,37.040079
