Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1715608763,"2024-05-13 13:59:23",B5767,CZ8772,121.92,300.024,180,117.216,36.8528
1715608779,"2024-05-13 13:59:39",B5767,CZ8772,320.04,287.06,179,117.21611,36.844208
1715608802,"2024-05-13 14:00:02",B5767,CZ8772,670.56,288.912,196,117.215589,36.826637
1715608817,"2024-05-13 14:00:17",B5767,CZ8772,838.2,281.504,245,117.20671,36.81975
1715608832,"2024-05-13 14:00:32",B5767,CZ8772,1005.84,301.876,272,117.192857,36.818863
1715608847,"2024-05-13 14:00:47",B5767,CZ8772,1150.62,324.1,273,117.178364,36.819375
1715608862,"2024-05-13 14:01:02",B5767,CZ8772,1234.44,366.696,274,117.162002,36.82026
1715608882,"2024-05-13 14:01:22",B5767,CZ8772,1394.46,414.848,274,117.13726,36.82173
1715608897,"2024-05-13 14:01:37",B5767,CZ8772,1600.2,427.812,275,117.1173,36.82273
1715608912,"2024-05-13 14:01:52",B5767,CZ8772,1729.74,459.296,274,117.096233,36.823883
1715608927,"2024-05-13 14:02:07",B5767,CZ8772,1828.8,488.928,274,117.074146,36.825073
1715608947,"2024-05-13 14:02:27",B5767,CZ8772,1828.8,488.928,273,117.043476,36.826675
1715608962,"2024-05-13 14:02:42",B5767,CZ8772,1828.8,487.076,268,117.020359,36.826675
1715608977,"2024-05-13 14:02:57",B5767,CZ8772,1821.18,485.224,268,116.998317,36.826125
1715608993,"2024-05-13 14:03:13",B5767,CZ8772,1828.8,485.224,269,116.97567,36.82558
1715609012,"2024-05-13 14:03:32",B5767,CZ8772,1912.62,490.78,268,116.942041,36.824775
1715609023,"2024-05-13 14:03:43",B5767,CZ8772,2011.68,492.632,268,116.92709,36.82439
1715609037,"2024-05-13 14:03:57",B5767,CZ8772,2141.22,498.188,269,116.902657,36.8237
1715609057,"2024-05-13 14:04:17",B5767,CZ8772,2286,500.04,268,116.87583,36.82287
1715609072,"2024-05-13 14:04:32",B5767,CZ8772,2407.92,503.744,268,116.852047,36.822075
1715609092,"2024-05-13 14:04:52",B5767,CZ8772,2659.38,509.3,268,116.82014,36.821
1715609107,"2024-05-13 14:05:07",B5767,CZ8772,2804.16,535.228,268,116.79571,36.82026
