Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1704869386,"2024-01-10 06:49:46",B1449,MU2642,0,14.816,180,117.212568,36.854522
1704869390,"2024-01-10 06:49:50",B1449,MU2642,0,16.668,180,117.212732,36.854813
1704869407,"2024-01-10 06:50:07",B1449,MU2642,0,20.372,180,117.212747,36.855593
1704869416,"2024-01-10 06:50:16",B1449,MU2642,0,20.372,180,117.21274,36.856041
1704869540,"2024-01-10 06:52:20",B1449,MU2642,0,16.668,180,117.213748,36.862495
1704869646,"2024-01-10 06:54:06",B1449,MU2642,0,33.336,180,117.213762,36.86971
1704869924,"2024-01-10 06:58:44",B1449,MU2642,0,14.816,180,117.215807,36.873411
1704869937,"2024-01-10 06:58:57",B1449,MU2642,0,3.704,180,117.215986,36.873038
1704869951,"2024-01-10 06:59:11",B1449,MU2642,0,5.556,180,117.215986,36.872945
1704872003,"2024-01-10 07:33:23",B1449,MU2642,7193.28,790.804,185,114.88684,34.93227
1704872018,"2024-01-10 07:33:38",B1449,MU2642,7193.28,790.804,185,114.88375,34.90217
1704872033,"2024-01-10 07:33:53",B1449,MU2642,7193.28,788.952,185,114.8806,34.87214
1704872048,"2024-01-10 07:34:08",B1449,MU2642,7193.28,790.804,185,114.87759,34.84323
1704872063,"2024-01-10 07:34:23",B1449,MU2642,7193.28,788.952,185,114.87445,34.81279
1704872078,"2024-01-10 07:34:38",B1449,MU2642,7193.28,790.804,185,114.871533,34.784134
1704872093,"2024-01-10 07:34:53",B1449,MU2642,7193.28,787.1,185,114.868469,34.754039
1704872108,"2024-01-10 07:35:08",B1449,MU2642,7193.28,785.248,185,114.86561,34.7255
1704872123,"2024-01-10 07:35:23",B1449,MU2642,7193.28,783.396,185,114.86263,34.69552
1704872138,"2024-01-10 07:35:38",B1449,MU2642,7193.28,783.396,185,114.85976,34.66667
1704872153,"2024-01-10 07:35:53",B1449,MU2642,7193.28,781.544,185,114.856792,34.637421
1704872168,"2024-01-10 07:36:08",B1449,MU2642,7193.28,781.544,185,114.85382,34.60828
1704872183,"2024-01-10 07:36:23",B1449,MU2642,7193.28,783.396,185,114.85074,34.57814
1704872198,"2024-01-10 07:36:38",B1449,MU2642,7193.28,781.544,185,114.847767,34.549347
1704872213,"2024-01-10 07:36:53",B1449,MU2642,7193.28,783.396,185,114.84472,34.51904
1704872228,"2024-01-10 07:37:08",B1449,MU2642,7193.28,783.396,185,114.84183,34.49071
1704872243,"2024-01-10 07:37:23",B1449,MU2642,7193.28,785.248,185,114.83885,34.46164
1704872258,"2024-01-10 07:37:38",B1449,MU2642,7193.28,783.396,185,114.83568,34.43041
1704872273,"2024-01-10 07:37:53",B1449,MU2642,7193.28,783.396,185,114.83271,34.40136
1704872288,"2024-01-10 07:38:08",B1449,MU2642,7193.28,783.396,185,114.82955,34.3705
1704872303,"2024-01-10 07:38:23",B1449,MU2642,7193.28,787.1,185,114.826641,34.341958
1704872318,"2024-01-10 07:38:38",B1449,MU2642,7193.28,787.1,185,114.82366,34.31332
1704872333,"2024-01-10 07:38:53",B1449,MU2642,7193.28,785.248,185,114.820638,34.283569
1704872348,"2024-01-10 07:39:08",B1449,MU2642,7193.28,788.952,185,114.81766,34.2543
1704872363,"2024-01-10 07:39:23",B1449,MU2642,7193.28,787.1,185,114.81464,34.22466
1704872378,"2024-01-10 07:39:38",B1449,MU2642,7193.28,788.952,185,114.81159,34.19453
1704872393,"2024-01-10 07:39:53",B1449,MU2642,7193.28,792.656,185,114.80867,34.16562
1704872408,"2024-01-10 07:40:08",B1449,MU2642,7193.28,794.508,185,114.8055,34.13351
1704872423,"2024-01-10 07:40:23",B1449,MU2642,7193.28,796.36,185,114.80264,34.10326
1704872438,"2024-01-10 07:40:38",B1449,MU2642,7132.32,798.212,185,114.79986,34.07391
1704872453,"2024-01-10 07:40:53",B1449,MU2642,7048.5,794.508,185,114.79698,34.04503
1704872468,"2024-01-10 07:41:08",B1449,MU2642,6972.3,787.1,185,114.7939,34.01436
1704872483,"2024-01-10 07:41:23",B1449,MU2642,6896.1,781.544,185,114.79115,33.98579
1704872498,"2024-01-10 07:41:38",B1449,MU2642,6819.9,777.84,185,114.7883,33.95641
1704872513,"2024-01-10 07:41:53",B1449,MU2642,6743.7,774.136,185,114.7856,33.92697
1704872528,"2024-01-10 07:42:08",B1449,MU2642,6621.78,770.432,185,114.7828,33.89708
1704872543,"2024-01-10 07:42:23",B1449,MU2642,6499.86,766.728,185,114.78001,33.86699
1704872558,"2024-01-10 07:42:38",B1449,MU2642,6370.32,763.024,184,114.777603,33.838682
1704872573,"2024-01-10 07:42:53",B1449,MU2642,6248.4,763.024,184,114.775085,33.810564
1704872588,"2024-01-10 07:43:08",B1449,MU2642,6118.86,757.468,185,114.77232,33.78195
1704872603,"2024-01-10 07:43:23",B1449,MU2642,6027.42,755.616,185,114.769363,33.75419
1704872618,"2024-01-10 07:43:38",B1449,MU2642,6004.56,751.912,186,114.76627,33.72565
1704872633,"2024-01-10 07:43:53",B1449,MU2642,6004.56,751.912,186,114.76335,33.69827
1704872648,"2024-01-10 07:44:08",B1449,MU2642,6004.56,753.764,185,114.76044,33.6692
1704872663,"2024-01-10 07:44:23",B1449,MU2642,6004.56,753.764,184,114.757862,33.641347
1704872678,"2024-01-10 07:44:38",B1449,MU2642,6004.56,755.616,184,114.75528,33.612625
1704872693,"2024-01-10 07:44:53",B1449,MU2642,6004.56,755.616,184,114.752702,33.584244
1704872707,"2024-01-10 07:45:07",B1449,MU2642,6004.56,755.616,185,114.75071,33.56333
1704872722,"2024-01-10 07:45:22",B1449,MU2642,6004.56,757.468,185,114.747858,33.535492
1704872737,"2024-01-10 07:45:37",B1449,MU2642,6004.56,757.468,186,114.745,33.50771
1704872752,"2024-01-10 07:45:52",B1449,MU2642,6004.56,761.172,185,114.74203,33.47919
1704872767,"2024-01-10 07:46:07",B1449,MU2642,6004.56,761.172,185,114.739081,33.450483
1704872782,"2024-01-10 07:46:22",B1449,MU2642,6004.56,763.024,185,114.736278,33.421714
1704872797,"2024-01-10 07:46:37",B1449,MU2642,6004.56,763.024,185,114.733308,33.390989
1704872812,"2024-01-10 07:46:52",B1449,MU2642,6004.56,763.024,185,114.730561,33.361987
