Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1693640701,"2023-09-02 07:45:01",B6986,SC8881,99.06,303.728,0,117.215998,36.863022
1693640716,"2023-09-02 07:45:16",B6986,SC8881,289.56,305.58,1,117.216174,36.874512
1693640727,"2023-09-02 07:45:27",B6986,SC8881,426.72,311.136,1,117.216349,36.882339
1693640741,"2023-09-02 07:45:41",B6986,SC8881,617.22,309.284,0,117.216478,36.893952
1693640756,"2023-09-02 07:45:56",B6986,SC8881,762,327.804,360,117.216419,36.906893
1693640771,"2023-09-02 07:46:11",B6986,SC8881,914.4,337.064,359,117.216174,36.919189
1693640786,"2023-09-02 07:46:26",B6986,SC8881,1059.18,350.028,0,117.216115,36.93187
1693640797,"2023-09-02 07:46:37",B6986,SC8881,1120.14,374.104,360,117.21612,36.941482
1693640811,"2023-09-02 07:46:51",B6986,SC8881,1226.82,422.256,360,117.216115,36.95549
1693640826,"2023-09-02 07:47:06",B6986,SC8881,1402.08,457.444,0,117.21612,36.973091
1693640841,"2023-09-02 07:47:21",B6986,SC8881,1584.96,483.372,360,117.21606,36.991898
1693640856,"2023-09-02 07:47:36",B6986,SC8881,1889.76,472.26,2,117.216349,37.01033
1693640871,"2023-09-02 07:47:51",B6986,SC8881,2164.08,466.704,0,117.216641,37.027634
1693640886,"2023-09-02 07:48:06",B6986,SC8881,2415.54,468.556,0,117.216699,37.044937
1693640901,"2023-09-02 07:48:21",B6986,SC8881,2636.52,477.816,359,117.216524,37.063019
1693640916,"2023-09-02 07:48:36",B6986,SC8881,2827.02,490.78,358,117.21612,37.080813
1693640931,"2023-09-02 07:48:51",B6986,SC8881,3032.76,494.484,333,117.208776,37.098875
1693640946,"2023-09-02 07:49:06",B6986,SC8881,3238.5,494.484,307,117.193073,37.111816
1693640961,"2023-09-02 07:49:21",B6986,SC8881,3451.86,498.188,280,117.170861,37.11838
1693640976,"2023-09-02 07:49:36",B6986,SC8881,3619.5,522.264,270,117.148411,37.118846
1693640991,"2023-09-02 07:49:51",B6986,SC8881,3779.52,544.488,270,117.12092,37.11882
1693641006,"2023-09-02 07:50:06",B6986,SC8881,3947.16,568.564,270,117.095616,37.118866
1693641021,"2023-09-02 07:50:21",B6986,SC8881,4107.18,590.788,270,117.06815,37.118912
1693641036,"2023-09-02 07:50:36",B6986,SC8881,4274.82,611.16,270,117.040684,37.118912
1693641051,"2023-09-02 07:50:51",B6986,SC8881,4442.46,631.532,270,117.01138,37.1188
1693641066,"2023-09-02 07:51:06",B6986,SC8881,4602.48,651.904,270,116.98099,37.11871
1693641081,"2023-09-02 07:51:21",B6986,SC8881,4770.12,670.424,270,116.949284,37.118613
1693641096,"2023-09-02 07:51:36",B6986,SC8881,4922.52,677.832,270,116.918257,37.118454
1693641111,"2023-09-02 07:51:51",B6986,SC8881,5143.5,681.536,270,116.88635,37.11832
1693641126,"2023-09-02 07:52:06",B6986,SC8881,5364.48,683.388,268,116.856019,37.118148
1693641141,"2023-09-02 07:52:21",B6986,SC8881,5600.7,685.24,259,116.82252,37.11475
1693641156,"2023-09-02 07:52:36",B6986,SC8881,5814.06,690.796,249,116.790979,37.106598
1693641171,"2023-09-02 07:52:51",B6986,SC8881,6004.56,703.76,245,116.762397,37.095756
1693641186,"2023-09-02 07:53:06",B6986,SC8881,6179.82,714.872,258,116.728509,37.087509
1693641201,"2023-09-02 07:53:21",B6986,SC8881,6370.32,722.28,268,116.6957,37.08524
1693641216,"2023-09-02 07:53:36",B6986,SC8881,6545.58,729.688,268,116.66239,37.0844
1693641231,"2023-09-02 07:53:51",B6986,SC8881,6736.08,733.392,267,116.62846,37.08325
1693641246,"2023-09-02 07:54:06",B6986,SC8881,6918.96,735.244,259,116.595333,37.079602
1693641261,"2023-09-02 07:54:21",B6986,SC8881,7101.84,740.8,250,116.56016,37.07104
1693641276,"2023-09-02 07:54:36",B6986,SC8881,7193.28,746.356,244,116.52977,37.05972
1693641291,"2023-09-02 07:54:51",B6986,SC8881,7193.28,746.356,244,116.49878,37.04757
1693641306,"2023-09-02 07:55:06",B6986,SC8881,7185.66,748.208,244,116.468214,37.035517
1693641321,"2023-09-02 07:55:21",B6986,SC8881,7185.66,748.208,244,116.43537,37.02244
1693641336,"2023-09-02 07:55:36",B6986,SC8881,7185.66,748.208,243,116.40482,37.00987
1693641351,"2023-09-02 07:55:51",B6986,SC8881,7185.66,748.208,243,116.37344,36.99701
1693641366,"2023-09-02 07:56:06",B6986,SC8881,7185.66,748.208,244,116.34241,36.98451
1693641381,"2023-09-02 07:56:21",B6986,SC8881,7185.66,748.208,244,116.312314,36.972565
1693641396,"2023-09-02 07:56:36",B6986,SC8881,7185.66,748.208,244,116.279595,36.959777
1693641411,"2023-09-02 07:56:51",B6986,SC8881,7185.66,748.208,244,116.24797,36.94739
1693641426,"2023-09-02 07:57:06",B6986,SC8881,7185.66,748.208,244,116.21607,36.93492
1693641441,"2023-09-02 07:57:21",B6986,SC8881,7185.66,751.912,244,116.18463,36.92253
1693641456,"2023-09-02 07:57:36",B6986,SC8881,7185.66,750.06,244,116.15319,36.91013
1693641471,"2023-09-02 07:57:51",B6986,SC8881,7185.66,751.912,244,116.12179,36.89763
1693641486,"2023-09-02 07:58:06",B6986,SC8881,7185.66,751.912,244,116.0899,36.88497
1693641501,"2023-09-02 07:58:21",B6986,SC8881,7185.66,753.764,244,116.05927,36.87277
1693641516,"2023-09-02 07:58:36",B6986,SC8881,7185.66,753.764,244,116.02804,36.86025
1693641531,"2023-09-02 07:58:51",B6986,SC8881,7185.66,753.764,244,115.99634,36.8476
1693641546,"2023-09-02 07:59:06",B6986,SC8881,7185.66,755.616,243,115.96418,36.83473
1693641561,"2023-09-02 07:59:21",B6986,SC8881,7185.66,757.468,244,115.93254,36.82219
1693641576,"2023-09-02 07:59:36",B6986,SC8881,7185.66,757.468,244,115.90021,36.80951
1693641591,"2023-09-02 07:59:51",B6986,SC8881,7185.66,757.468,244,115.869121,36.797263
1693641606,"2023-09-02 08:00:06",B6986,SC8881,7185.66,759.32,244,115.83651,36.78441
1693641621,"2023-09-02 08:00:21",B6986,SC8881,7185.66,759.32,244,115.80225,36.77092
1693641636,"2023-09-02 08:00:36",B6986,SC8881,7185.66,759.32,244,115.769005,36.757782
1693641651,"2023-09-02 08:00:51",B6986,SC8881,7185.66,759.32,244,115.737461,36.745311
1693641666,"2023-09-02 08:01:06",B6986,SC8881,7185.66,759.32,244,115.706177,36.73288
1693641677,"2023-09-02 08:01:17",B6986,SC8881,7185.66,759.32,244,115.687408,36.725418
1693641690,"2023-09-02 08:01:30",B6986,SC8881,7185.66,759.32,244,115.662952,36.715657
1693641705,"2023-09-02 08:01:45",B6986,SC8881,7185.66,757.468,244,115.6311,36.70294
1693641720,"2023-09-02 08:02:00",B6986,SC8881,7185.66,755.616,244,115.59616,36.68898
1693641735,"2023-09-02 08:02:15",B6986,SC8881,7185.66,755.616,244,115.563927,36.676117
1693641750,"2023-09-02 08:02:30",B6986,SC8881,7185.66,755.616,244,115.53125,36.66316
1693641770,"2023-09-02 08:02:50",B6986,SC8881,7185.66,755.616,244,115.494461,36.648468
1693641785,"2023-09-02 08:03:05",B6986,SC8881,7185.66,755.616,244,115.464592,36.63652
1693641800,"2023-09-02 08:03:20",B6986,SC8881,7185.66,755.616,244,115.43288,36.62381
1693641816,"2023-09-02 08:03:36",B6986,SC8881,7185.66,757.468,244,115.401592,36.611252
1693641830,"2023-09-02 08:03:50",B6986,SC8881,7185.66,755.616,243,115.37012,36.598625
1693641845,"2023-09-02 08:04:05",B6986,SC8881,7185.66,755.616,244,115.33802,36.5858
1693641860,"2023-09-02 08:04:20",B6986,SC8881,7185.66,753.764,244,115.307357,36.573626
1693641875,"2023-09-02 08:04:35",B6986,SC8881,7185.66,755.616,240,115.27571,36.56021
1693641890,"2023-09-02 08:04:50",B6986,SC8881,7185.66,757.468,234,115.24705,36.54481
1693641905,"2023-09-02 08:05:05",B6986,SC8881,7185.66,757.468,229,115.219934,36.527027
1693641920,"2023-09-02 08:05:20",B6986,SC8881,7185.66,757.468,230,115.192469,36.508313
1693641935,"2023-09-02 08:05:35",B6986,SC8881,7185.66,757.468,230,115.164185,36.488994
1693641951,"2023-09-02 08:05:51",B6986,SC8881,7185.66,755.616,230,115.137186,36.470606
1693641965,"2023-09-02 08:06:05",B6986,SC8881,7185.66,753.764,230,115.110226,36.452225
1693641980,"2023-09-02 08:06:20",B6986,SC8881,7185.66,759.32,221,115.085352,36.432573
1693641995,"2023-09-02 08:06:35",B6986,SC8881,7185.66,766.728,208,115.06628,36.408737
1693642010,"2023-09-02 08:06:50",B6986,SC8881,7185.66,772.284,197,115.053562,36.381458
1693642026,"2023-09-02 08:07:06",B6986,SC8881,7185.66,770.432,198,115.04234,36.3526
1693642040,"2023-09-02 08:07:20",B6986,SC8881,7185.66,768.58,197,115.032173,36.326573
1693642055,"2023-09-02 08:07:35",B6986,SC8881,7185.66,770.432,191,115.02411,36.29808
1693642070,"2023-09-02 08:07:50",B6986,SC8881,7185.66,774.136,185,115.019492,36.269593
1693642085,"2023-09-02 08:08:05",B6986,SC8881,7185.66,774.136,185,115.016512,36.239521
1693642100,"2023-09-02 08:08:20",B6986,SC8881,7185.66,770.432,185,115.013765,36.212986
1693642115,"2023-09-02 08:08:35",B6986,SC8881,7185.66,770.432,185,115.01072,36.18301
1693642130,"2023-09-02 08:08:50",B6986,SC8881,7185.66,768.58,185,115.0078,36.15442
1693642145,"2023-09-02 08:09:05",B6986,SC8881,7185.66,766.728,185,115.004883,36.125336
1693642160,"2023-09-02 08:09:20",B6986,SC8881,7185.66,766.728,185,115.00214,36.09721
1693642171,"2023-09-02 08:09:31",B6986,SC8881,7185.66,764.876,185,115.000248,36.077774
1693642185,"2023-09-02 08:09:45",B6986,SC8881,7185.66,763.024,185,114.99729,36.04824
1693642200,"2023-09-02 08:10:00",B6986,SC8881,7185.66,761.172,185,114.99458,36.02087
